Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,7,0,7,0,  ,0,0,2017,0
0,0,0,1,United States of America,0,7,9,7,324460,DEN,0,9,2017,324460
16.92,0,0,2,Costa Rica,0,7,,7,4906,"DEN 1,2",0,830,2017,4906
7.26,0,0,2,El Salvador,0,7,10,7,6378,DEN 2,0,463,2017,6378
1.78,0,0,2,Guatemala,0,7,,7,16914,"DEN 1,2,3,4",0,301,2017,16914
8.38,1.417525773,0,2,Honduras,0,7,,7,9265,"DEN 1,2,3",11,776,2017,9265
2.68,0.403690888,0,2,Mexico,0,7,370,7,129163,DEN 3,14,3468,2017,129163
125.14,,0,2,Nicaragua,0,7,452,7,6218,DEN 2,,7781,2017,6218
13.37,0.547445255,0,2,Panama,0,7,294,7,4099,"DEN 1,2",3,548,2017,4099
22.73,0.27866242,0,3,Bolivia,0,7,348,7,11052,"DEN 1,4",7,2512,2017,11052
11.61,1.281601124,0,3,Colombia,0,7,1469,7,49066,"DEN 1,2,3,4",73,5696,2017,49066
8.34,0.072150072,0.072,3,Ecuador,1,7,1386,7,16625,DEN,1,1386,2017,16625
11.8,0.289702397,0.132,3,Peru,5,7,1181,7,32165,"DEN 2,3",11,3797,2017,32165
3.76,3.497085762,0,3,Venezuela,0,7,,7,31977,DEN 1,42,1201,2017,31977
0.1,0,0,4,Argentina,0,7,11,7,44271,"DEN 1,3",0,46,2017,44271
1.7,0.862068966,0,4,Paraguay,0,7,32,7,6811,DEN 1,1,116,2017,6811
174.93,0.304878049,0,2,Belize,0,7,4,7,375,DEN,2,656,2017,375
0,,,4,Uruguay,0,7,0,7,3457,  ,0,0,2017,3457
1.23,4.545454545,0,5,Dominican Republic,0,7,3,7,10767,DEN,6,132,2017,10767
0.05,0,0,5,Puerto Rico,0,7,2,7,3663,DEN 2,0,2,2017,3663
0.98,0,0,6,Virgin Islands (US),0,7,1,7,102,DEN,0,1,2017,102
0,,,6,Anguilla,0,7,0,7,17,  ,0,0,2017,17
0,,,6,Aruba,,7,,4,115,  ,0,0,2017,115
0,,,6,Bahamas,0,7,0,7,395,  ,0,0,2017,395
17.47,0,0,6,Barbados,0,7,15,4,292,DEN,0,51,2017,292
0,,,6,Bermuda,0,7,0,7,71,  ,0,0,2017,71
20,0,0,6,Virgin Islands (UK),0,7,7,4,35,DEN,0,7,2017,35
3.33,0,0,6,Guadeloupe,0,7,0,7,450,DEN,0,15,2017,450
0.52,0,0,6,Jamaica,0,7,0,7,2890,DEN,0,15,2017,2890
6.75,0,0,6,Martinique,0,7,0,7,385,  ,0,26,2017,385
0,,,6,Montserrat,0,7,0,7,5,  ,0,0,2017,5
111.11,0,0,6,Saint Barthelemy,0,7,0,7,9,DEN,0,10,2017,9
0,,,6,Saint Lucia,0,7,0,7,165,  ,0,0,2017,165
104.76,0,0,6,Saint Martin,0,7,0,7,42,DEN,0,44,2017,42
21.57,0.130675526,0.055,4,Brazil,25,7,6919,7,209288,"DEN 1,2,3,4",59,45150,2017,209288
,,,6,Cayman Islands,,7,,-,58,  ,,,2017,58
,,,6,"Bonaire, Saint Eustatius and Saba",,7,,-,26,  ,,,2017,26
,,,6,Dominica,,7,,-,74,  ,,,2017,74
,,,6,Turks and Caicos Islands,,7,,-,53,  ,,,2017,53
,,,4,Chile,,7,,-,18055,  ,,,2017,18055
,,,6,Saint Vincent and the Grenadines,,7,,-,102,  ,,,2017,102
,,,6,Guyana,,7,,-,778,  ,,,2017,778
,,,6,Haiti,,7,,-,10981,  ,,,2017,10981
,,,5,Cuba,,7,,-,11485,  ,,,2017,11485
,,,6,Antigua and Barbuda,,7,,-,95,  ,,,2017,95
,,,6,French Guiana,,7,,-,283,  ,,,2017,283
,,,6,Trinidad and Tobago,,7,,-,1369,  ,,,2017,1369
,,,6,Saint Kitts and Nevis,,7,,-,53,  ,,,2017,53
,,,6,Suriname,,7,,-,563,  ,,,2017,563
,,,6,Curaçao,,7,,-,150,  ,,,2017,150
,,,6,Grenada,,7,,-,112,  ,,,2017,112
0,0,0,1,North America,0,7,9,-,324460,  ,0,9,2017,324460
0.93,4.47761194,0,5,Latin Caribbean,0,7,5,-,14430,  ,6,134,2017,25915
3.4,0,0,6,Non-Latin Caribbean,0,7,23,-,4973,  ,0,169,2017,19670
17.17,0.132415254,0.055,4,Southern Cone,25,7,6962,-,263827,  ,60,45312,2017,281882
8.36,0.202388181,0,2,Central America Ithsmus and Mexico,0,7,1130,-,177318,  ,30,14823,2017,177318
10.36,0.918311404,0.041,3,Andean Subregion,6,7,4384,-,140885,  ,134,14592,2017,140885
8.1,0.306507283,0.041,7,The Americas,31,7,12513,-,925893,  ,230,75039,2017,970130
