Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,18,0,18,0,  ,0,0,2017,0
0.01,0,0,1,United States of America,0,18,32,18,324460,DEN,0,32,2017,324460
29.6,0,0,2,Costa Rica,0,18,,18,4906,"DEN 1,2",0,1452,2017,4906
19.77,0,0,2,El Salvador,0,18,34,18,6378,DEN 2,0,1261,2017,6378
5.16,0,0,2,Guatemala,0,18,,18,16914,"DEN 1,2,3,4",0,873,2017,16914
19.31,1.788708776,0,2,Honduras,0,18,0,18,9265,"DEN 1,2,3",32,1789,2017,9265
7.67,0.444309805,0.01,2,Mexico,1,18,1047,18,129163,"DEN 1,2,3",44,9903,2017,129163
334.85,,0.005,2,Nicaragua,1,18,1041,18,6218,DEN 2,,20821,2017,6218
56.65,0.258397933,0,2,Panama,0,18,930,18,4099,"DEN 1,2",6,2322,2017,4099
70.33,0.488871735,0.026,3,Bolivia,2,18,799,18,11052,"DEN 1,4",38,7773,2017,11052
23.02,1.08031524,0,3,Colombia,0,18,3308,18,49066,"DEN 1,2,3,4",122,11293,2017,49066
39.48,0.121895475,0.076,3,Ecuador,5,18,6563,18,16625,DEN,8,6563,2017,16625
85.99,0.314533623,0.094,3,Peru,26,18,8399,18,32165,"DEN 2,3",87,27660,2017,32165
9.02,3.778162912,0,3,Venezuela,0,18,,18,31977,DEN 1,109,2885,2017,31977
0.89,0,0,4,Argentina,0,18,156,18,44271,"DEN 1,3",0,393,2017,44271
10.5,0.13986014,0,4,Paraguay,0,18,230,18,6811,DEN 1,1,715,2017,6811
412.53,0.129282482,0,2,Belize,0,18,17,18,375,DEN,2,1547,2017,375
0,,,4,Uruguay,0,18,0,18,3457,  ,0,0,2017,3457
3.1,5.089820359,0,5,Dominican Republic,0,18,3,18,10767,DEN,17,334,2017,10767
0.25,0,0,5,Puerto Rico,0,18,9,18,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,18,1,18,102,DEN,0,1,2017,102
88.24,0,,6,Anguilla,,18,2,12,17,DEN,0,15,2017,17
1.05,0,0,6,Antigua and Barbuda,0,18,0,18,95,DEN,0,1,2017,95
138.26,0,,6,Aruba,,18,16,16,115,DEN,0,159,2017,115
0,,,6,Bahamas,0,18,0,12,395,  ,0,0,2017,395
32.88,0,0,6,Barbados,0,18,21,12,292,DEN,0,96,2017,292
0,,,6,Bermuda,0,18,0,18,71,  ,0,0,2017,71
45.71,0,0,6,Virgin Islands (UK),0,18,16,12,35,DEN,0,16,2017,35
12.07,0,0,6,Cayman Islands,0,18,0,16,58,DEN,0,7,2017,58
13.51,0,0,6,Dominica,0,18,0,8,74,DEN,0,10,2017,74
58.3,0,0,6,French Guiana,0,18,0,17,283,DEN,0,165,2017,283
33.04,0,0,6,Grenada,0,18,37,16,112,DEN,0,37,2017,112
10,0,0,6,Guadeloupe,0,18,0,14,450,DEN,0,45,2017,450
1.07,0,0,6,Jamaica,0,18,0,18,2890,DEN,0,31,2017,2890
16.1,0,0,6,Martinique,0,18,0,18,385,  ,0,62,2017,385
0,,,6,Montserrat,0,18,0,18,5,  ,0,0,2017,5
222.22,0,0,6,Saint Barthelemy,0,18,0,18,9,DEN,0,20,2017,9
6.67,0,0,6,Saint Lucia,0,18,11,12,165,DEN,0,11,2017,165
161.9,0,0,6,Saint Martin,0,18,0,18,42,DEN,0,68,2017,42
1.96,0,0,6,Saint Vincent and the Grenadines,0,18,0,18,102,DEN,0,2,2017,102
4.46,0,0,6,Trinidad and Tobago,0,18,0,15,1369,DEN,0,61,2017,1369
233.96,0,0,6,Turks and Caicos Islands,0,18,124,16,53,DEN,0,124,2017,53
68.63,0.116274212,0.045,4,Brazil,65,18,21907,18,209288,"DEN 1,2,3,4",167,143626,2017,209288
,,,6,"Bonaire, Saint Eustatius and Saba",,18,,-,26,  ,,,2017,26
,,,4,Chile,,18,,-,18055,  ,,,2017,18055
,,,6,Guyana,,18,,-,778,  ,,,2017,778
,,,6,Haiti,,18,,-,10981,  ,,,2017,10981
,,,5,Cuba,,18,,-,11485,  ,,,2017,11485
,,,6,Saint Kitts and Nevis,,18,,-,53,  ,,,2017,53
,,,6,Suriname,,18,,-,563,  ,,,2017,563
,,,6,Curaçao,,18,,-,150,  ,,,2017,150
0.01,0,0,1,North America,0,18,32,-,324460,  ,0,32,2017,324460
2.38,4.956268222,0,5,Latin Caribbean,0,18,12,-,14430,  ,17,343,2017,25915
13.08,0,0,6,Non-Latin Caribbean,0,18,228,-,7119,  ,0,931,2017,19670
54.86,0.116075007,0.045,4,Southern Cone,65,18,22293,-,263827,  ,168,144734,2017,281882
22.54,0.210168135,0.005,2,Central America Ithsmus and Mexico,2,18,3069,-,177318,  ,84,39968,2017,177318
39.87,0.647986613,0.059,3,Andean Subregion,33,18,19069,-,140885,  ,364,56174,2017,140885
26.1,0.261373678,0.041,7,The Americas,100,18,44703,-,928039,  ,633,242182,2017,970130
