Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,27,0,27,0,  ,0,0,2017,0
0.02,0,0,1,United States of America,0,27,56,27,324460,DEN,0,56,2017,324460
56.42,0,0,2,Costa Rica,0,27,,27,4906,"DEN 1,2",0,2768,2017,4906
34.4,0,0,2,El Salvador,0,27,58,27,6378,DEN 2,0,2194,2017,6378
8.5,0,0,2,Guatemala,0,27,,26,16914,"DEN 1,2,3,4",0,1437,2017,16914
35.39,1.64684355,0,2,Honduras,0,27,0,27,9265,"DEN 1,2,3",54,3279,2017,9265
15.23,0.513315715,0.015,2,Mexico,3,27,2412,27,129163,"DEN 1,2,3,4",101,19676,2017,129163
572.85,,0.006,2,Nicaragua,2,27,1421,27,6218,DEN 2,,35620,2017,6218
90.22,0.243374797,0,2,Panama,0,27,1661,27,4099,"DEN 1,2",9,3698,2017,4099
78.09,0.521436848,0.023,3,Bolivia,2,27,841,27,11052,"DEN 1,4",45,8630,2017,11052
33.02,1.080246914,0.049,3,Colombia,8,27,5054,27,49066,"DEN 1,2,3,4",175,16200,2017,49066
57.56,0.083603302,0.042,3,Ecuador,4,27,9569,27,16625,DEN,8,9569,2017,16625
209.78,0.308253183,0.086,3,Peru,58,27,21494,27,32165,"DEN 2,3",208,67477,2017,32165
13.75,4.821469184,0,3,Venezuela,0,27,,27,31977,DEN 1,212,4397,2017,31977
1.24,0,0,4,Argentina,0,27,254,26,44271,"DEN 1,3",0,549,2017,44271
0.03,0,0,4,Chile,0,27,5,26,18055,"DEN 1,3",0,5,2017,18055
536,0.099502488,0,2,Belize,0,27,19,27,375,DEN,2,2010,2017,375
23.21,0,0,4,Paraguay,0,27,287,27,6811,DEN 1,0,1581,2017,6811
0,,,4,Uruguay,0,27,0,27,3457,  ,0,0,2017,3457
2.35,0,0,5,Cuba,0,27,270,25,11485,"DEN 2,3",0,270,2017,11485
5.8,4.967948718,0,5,Dominican Republic,0,27,16,27,10767,DEN,31,624,2017,10767
0.25,0,0,5,Puerto Rico,0,27,9,27,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,27,1,27,102,DEN,0,1,2017,102
88.24,0,,6,Anguilla,,27,2,12,17,DEN,0,15,2017,17
1.05,0,0,6,Antigua and Barbuda,0,27,0,27,95,DEN,0,1,2017,95
598.26,0,,6,Aruba,,27,9,27,115,DEN,0,688,2017,115
1.01,0,0,6,Bahamas,0,27,0,27,395,DEN,0,4,2017,395
51.71,0,0,6,Barbados,0,27,29,20,292,DEN,0,151,2017,292
0,,,6,Bermuda,0,27,0,27,71,  ,0,0,2017,71
80,0,0,6,Virgin Islands (UK),0,27,28,20,35,DEN,0,28,2017,35
20.69,0,0,6,Cayman Islands,0,27,0,24,58,DEN,0,12,2017,58
13.51,0,0,6,Dominica,0,27,0,8,74,DEN,0,10,2017,74
160.78,0,0,6,French Guiana,0,27,0,26,283,DEN,0,455,2017,283
52.68,0,0,6,Grenada,0,27,59,20,112,DEN,0,59,2017,112
18.44,0,0,6,Guadeloupe,0,27,0,26,450,DEN,0,83,2017,450
2.01,0,0,6,Jamaica,0,27,2,27,2890,DEN 3,0,58,2017,2890
19.22,0,0,6,Martinique,0,27,1,27,385,DEN 2,0,74,2017,385
0,,,6,Montserrat,0,27,0,27,5,  ,0,0,2017,5
366.67,0,0,6,Saint Barthelemy,0,27,0,27,9,DEN,0,33,2017,9
7.55,0,0,6,Saint Kitts and Nevis,0,27,0,24,53,DEN,0,4,2017,53
8.48,0,0,6,Saint Lucia,0,27,14,24,165,DEN,0,14,2017,165
333.33,0,0,6,Saint Martin,0,27,0,27,42,DEN,0,140,2017,42
2.94,0,0,6,Saint Vincent and the Grenadines,0,27,0,27,102,DEN,0,3,2017,102
7.16,0,0,6,Trinidad and Tobago,0,27,2,25,1369,DEN,0,98,2017,1369
296.23,0,0,6,Turks and Caicos Islands,0,27,157,24,53,DEN,0,157,2017,53
95.23,0.127941398,0.052,4,Brazil,104,27,32831,27,209288,"DEN 1,2,3,4",255,199310,2017,209288
,,,6,"Bonaire, Saint Eustatius and Saba",,27,,-,26,  ,,,2017,26
,,,6,Guyana,,27,,-,778,  ,,,2017,778
,,,6,Haiti,,27,,-,10981,  ,,,2017,10981
,,,6,Suriname,,27,,-,563,  ,,,2017,563
,,,6,Curaçao,,27,,-,150,  ,,,2017,150
0.02,0,0,1,North America,0,27,56,-,324460,  ,0,56,2017,324460
3.48,3.433001107,0,5,Latin Caribbean,0,27,295,-,25915,  ,31,903,2017,25915
29.11,0,0,6,Non-Latin Caribbean,0,27,304,-,7172,  ,0,2088,2017,19670
71.46,0.12658542,0.052,4,Southern Cone,104,27,33377,-,281882,  ,255,201445,2017,281882
39.86,0.234854701,0.007,2,Central America Ithsmus and Mexico,5,27,5571,-,177318,  ,166,70682,2017,177318
75.43,0.60975036,0.068,3,Andean Subregion,72,27,36958,-,140885,  ,648,106273,2017,140885
39.83,0.28837558,0.047,7,The Americas,181,27,76561,-,957632,  ,1100,381447,2017,970130
