Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,40,0,40,0,  ,0,0,2017,0
0.06,0,0,1,United States of America,0,40,180,40,324460,DEN,0,180,2017,324460
98.29,0,0,2,Costa Rica,0,40,,40,4906,"DEN 1,2",0,4822,2017,4906
51.66,0.121396055,0,2,El Salvador,0,40,172,40,6378,DEN 2,4,3295,2017,6378
18.95,1.029641186,0.406,2,Guatemala,13,40,1010,40,16914,"DEN 1,2,3,4",33,3205,2017,16914
49.2,1.996489688,0,2,Honduras,0,40,0,40,9265,"DEN 1,2,3",91,4558,2017,9265
41.61,0.457691449,0.032,2,Mexico,17,40,8449,40,129163,"DEN 1,2,3",246,53748,2017,129163
858.48,,0.004,2,Nicaragua,2,40,2020,40,6218,DEN 2,,53380,2017,6218
150.3,0.211004707,0,2,Panama,0,40,2996,40,4099,"DEN 1,2,3",13,6161,2017,4099
83.55,0.498158978,0.022,3,Bolivia,2,40,864,40,11052,"DEN 1,4",46,9234,2017,11052
44.12,1.044072808,0.065,3,Colombia,14,40,6784,40,49066,"DEN 1,2,3,4",226,21646,2017,49066
65.4,0.137969095,0.037,3,Ecuador,4,40,10872,40,16625,DEN,15,10872,2017,16625
228.42,0.321215173,0.091,3,Peru,67,40,24810,40,32165,"DEN 2,3",236,73471,2017,32165
21.69,3.978665129,,3,Venezuela,,40,,40,31977,DEN 1,276,6937,2017,31977
1.24,0,0,4,Argentina,0,40,253,40,44271,"DEN 1,3",0,549,2017,44271
0.06,0,0,4,Chile,0,40,10,38,18055,"DEN 1,3",0,10,2017,18055
107.74,0.139254765,0.053,4,Brazil,119,40,38027,40,209288,"DEN 1,2,3,4",314,225486,2017,209288
21.83,0,0,4,Paraguay,0,40,321,40,6811,DEN 1,0,1487,2017,6811
0,,,4,Uruguay,0,40,0,40,3457,  ,0,0,2017,3457
2.35,0,0,5,Cuba,0,40,270,25,11485,"DEN 2,3",0,270,2017,11485
9.62,6.274131274,0.097,5,Dominican Republic,1,40,18,40,10767,DEN,65,1036,2017,10767
0.25,0,0,5,Puerto Rico,0,40,9,40,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,40,1,40,102,DEN,0,1,2017,102
129.41,0,,6,Anguilla,,40,2,40,17,DEN,0,22,2017,17
1.05,0,0,6,Antigua and Barbuda,0,40,0,40,95,DEN,0,1,2017,95
581.74,0,,6,Aruba,,40,401,32,115,DEN,0,669,2017,115
3.54,0,0,6,Bahamas,0,40,0,40,395,DEN,0,14,2017,395
136.3,0,0,6,Barbados,0,40,85,40,292,DEN,0,398,2017,292
0,,,6,Bermuda,0,40,0,40,71,  ,0,0,2017,71
120,0,0,6,Virgin Islands (UK),0,40,42,32,35,DEN,0,42,2017,35
39.66,0,0,6,Cayman Islands,0,40,0,40,58,DEN,0,23,2017,58
44.59,0,0,6,Dominica,0,40,0,28,74,DEN,0,33,2017,74
220.85,0,0,6,French Guiana,0,40,0,37,283,DEN,0,625,2017,283
107.14,0,0,6,Grenada,0,40,120,36,112,DEN,0,120,2017,112
101.11,0,0,6,Guadeloupe,0,40,0,30,450,DEN,0,455,2017,450
0.64,0,0,6,Guyana,0,40,0,38,778,DEN,0,5,2017,778
2.42,0,0,6,Jamaica,0,40,14,40,2890,DEN 3,0,70,2017,2890
23.9,0,0,6,Martinique,0,40,6,40,385,DEN 2,0,92,2017,385
0,,,6,Montserrat,0,40,0,40,5,  ,0,0,2017,5
477.78,0,0,6,Saint Barthelemy,0,40,0,40,9,DEN,0,43,2017,9
16.98,0,0,6,Saint Kitts and Nevis,0,40,0,40,53,DEN,0,9,2017,53
23.03,0,0,6,Saint Lucia,0,40,38,40,165,DEN,0,38,2017,165
373.81,0,0,6,Saint Martin,0,40,0,30,42,DEN,0,157,2017,42
2.94,0,0,6,Saint Vincent and the Grenadines,0,40,0,40,102,DEN,0,3,2017,102
15.05,0,0,6,Trinidad and Tobago,0,40,3,35,1369,DEN,0,206,2017,1369
379.25,0,0,6,Turks and Caicos Islands,0,40,201,40,53,DEN,0,201,2017,53
722.67,0.073800738,0,2,Belize,0,40,35,40,375,DEN,2,2710,2017,375
,,,6,"Bonaire, Saint Eustatius and Saba",,40,,-,26,  ,,,2017,26
,,,6,Haiti,,40,,-,10981,  ,,,2017,10981
,,,6,Suriname,,40,,-,563,  ,,,2017,563
,,,6,Curaçao,,40,,-,150,  ,,,2017,150
0.06,0,0,1,North America,0,40,180,-,324460,  ,0,180,2017,324460
5.07,4.942965779,0.076,5,Latin Caribbean,1,40,297,-,25915,  ,65,1315,2017,25915
40.59,0,0,6,Non-Latin Caribbean,0,40,913,-,7950,  ,0,3227,2017,19670
80.72,0.138002567,0.052,4,Southern Cone,119,40,38611,-,281882,  ,314,227532,2017,281882
74.37,0.294967356,0.024,2,Central America Ithsmus and Mexico,32,40,14682,-,177318,  ,389,131879,2017,177318
86.71,0.654060249,0.071,3,Andean Subregion,87,40,43330,-,140885,  ,799,122160,2017,140885
50.74,0.322233715,0.049,7,The Americas,239,40,98013,-,958410,  ,1567,486293,2017,970130
