Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,31,0,31,0,  ,0,0,2017,0
0.03,0,0,1,United States of America,0,31,86,31,324460,DEN,0,86,2017,324460
73.46,0,0,2,Costa Rica,0,31,,31,4906,"DEN 1,2",0,3604,2017,4906
38.55,0,0,2,El Salvador,0,31,86,31,6378,DEN 2,0,2459,2017,6378
12.19,0.82484231,0,2,Guatemala,0,31,386,31,16914,"DEN 1,2,3,4",17,2061,2017,16914
40.58,1.835106383,0,2,Honduras,0,31,0,31,9265,"DEN 1,2,3",69,3760,2017,9265
19.19,0.528417571,0.036,2,Mexico,9,31,3262,31,129163,"DEN 1,2,3,4",131,24791,2017,129163
680.57,,0.005,2,Nicaragua,2,31,1631,31,6218,DEN 2,,42318,2017,6218
103.24,0.189035917,0,2,Panama,0,31,1943,31,4099,"DEN 1,2",8,4232,2017,4099
79.76,0.510493477,0.023,3,Bolivia,2,31,849,31,11052,"DEN 1,4",45,8815,2017,11052
37.16,1.058404168,0.049,3,Colombia,9,31,5860,31,49066,"DEN 1,2,3,4",193,18235,2017,49066
60.78,0.118764846,0.04,3,Ecuador,4,31,10104,31,16625,DEN,12,10104,2017,16625
221.15,0.328961242,0.089,3,Peru,63,31,23358,31,32165,"DEN 2,3",234,71133,2017,32165
15.69,4.405022922,0,3,Venezuela,0,31,860,31,31977,DEN 1,221,5017,2017,31977
1.25,0,0,4,Argentina,0,31,254,30,44271,"DEN 1,3",0,554,2017,44271
0.03,0,0,4,Chile,0,31,5,26,18055,"DEN 1,3",0,5,2017,18055
604.27,0.088261253,0,2,Belize,0,31,22,31,375,DEN,2,2266,2017,375
19.48,0,0,4,Paraguay,0,31,305,31,6811,DEN 1,0,1327,2017,6811
0,,,4,Uruguay,0,31,0,31,3457,  ,0,0,2017,3457
2.35,0,0,5,Cuba,0,31,270,25,11485,"DEN 2,3",0,270,2017,11485
6.92,5.503355705,0,5,Dominican Republic,0,31,16,31,10767,DEN,41,745,2017,10767
0.25,0,0,5,Puerto Rico,0,31,9,31,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,31,1,31,102,DEN,0,1,2017,102
105.88,0,,6,Anguilla,,31,2,28,17,DEN,0,18,2017,17
1.05,0,0,6,Antigua and Barbuda,0,31,0,31,95,DEN,0,1,2017,95
598.26,0,,6,Aruba,,31,9,28,115,DEN,0,688,2017,115
1.01,0,0,6,Bahamas,0,31,0,31,395,DEN,0,4,2017,395
65.75,0,0,6,Barbados,0,31,29,28,292,DEN,0,192,2017,292
0,,,6,Bermuda,0,31,0,31,71,  ,0,0,2017,71
80,0,0,6,Virgin Islands (UK),0,31,28,20,35,DEN,0,28,2017,35
39.66,0,0,6,Cayman Islands,0,31,0,31,58,DEN,0,23,2017,58
44.59,0,0,6,Dominica,0,31,0,28,74,DEN,0,33,2017,74
160.78,0,0,6,French Guiana,0,31,0,26,283,DEN,0,455,2017,283
71.43,0,0,6,Grenada,0,31,80,28,112,DEN,0,80,2017,112
101.11,0,0,6,Guadeloupe,0,31,0,30,450,DEN,0,455,2017,450
2.42,0,0,6,Jamaica,0,31,11,31,2890,DEN 3,0,70,2017,2890
21.04,0,0,6,Martinique,0,31,2,31,385,DEN 2,0,81,2017,385
0,,,6,Montserrat,0,31,0,31,5,  ,0,0,2017,5
444.44,0,0,6,Saint Barthelemy,0,31,0,31,9,DEN,0,40,2017,9
16.98,0,0,6,Saint Kitts and Nevis,0,31,0,31,53,DEN,0,9,2017,53
8.48,0,0,6,Saint Lucia,0,31,14,24,165,DEN,0,14,2017,165
373.81,0,0,6,Saint Martin,0,31,0,30,42,DEN,0,157,2017,42
2.94,0,0,6,Saint Vincent and the Grenadines,0,31,0,31,102,DEN,0,3,2017,102
7.16,0,0,6,Trinidad and Tobago,0,31,2,25,1369,DEN,0,98,2017,1369
296.23,0,0,6,Turks and Caicos Islands,0,31,157,24,53,DEN,0,157,2017,53
99.82,0.13211747,0.052,4,Brazil,109,31,34700,31,209288,"DEN 1,2,3,4",276,208905,2017,209288
,,,6,"Bonaire, Saint Eustatius and Saba",,31,,-,26,  ,,,2017,26
,,,6,Guyana,,31,,-,778,  ,,,2017,778
,,,6,Haiti,,31,,-,10981,  ,,,2017,10981
,,,6,Suriname,,31,,-,563,  ,,,2017,563
,,,6,Curaçao,,31,,-,150,  ,,,2017,150
0.03,0,0,1,North America,0,31,86,-,324460,  ,0,86,2017,324460
3.95,4.00390625,0,5,Latin Caribbean,0,31,295,-,25915,  ,41,1024,2017,25915
36.35,0,0,6,Non-Latin Caribbean,0,31,335,-,7172,  ,0,2607,2017,19670
74.78,0.130935381,0.052,4,Southern Cone,109,31,35264,-,281882,  ,276,210791,2017,281882
48.21,0.265525026,0.013,2,Central America Ithsmus and Mexico,11,31,7330,-,177318,  ,227,85491,2017,177318
80.42,0.622219869,0.069,3,Andean Subregion,78,31,41031,-,140885,  ,705,113304,2017,140885
43.16,0.302199597,0.048,7,The Americas,198,31,84341,-,957632,  ,1249,413303,2017,970130
