Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,23,0,23,0,  ,0,0,2017,0
0.01,0,0,1,United States of America,0,23,44,23,324460,DEN,0,44,2017,324460
41.5,0,0,2,Costa Rica,0,23,,23,4906,"DEN 1,2",0,2036,2017,4906
27.91,0,0,2,El Salvador,0,23,42,23,6378,DEN 2,0,1780,2017,6378
7.24,0,0,2,Guatemala,0,23,,23,16914,"DEN 1,2,3,4",0,1225,2017,16914
26.67,1.821125051,0,2,Honduras,0,23,0,23,9265,"DEN 1,2,3",45,2471,2017,9265
10.96,0.515864603,0.021,2,Mexico,3,23,1643,23,129163,"DEN 1,2,3",73,14151,2017,129163
455.76,,0.004,2,Nicaragua,1,23,1217,23,6218,DEN 2,,28339,2017,6218
65.77,0.259643917,0,2,Panama,0,23,1166,23,4099,"DEN 1,2",7,2696,2017,4099
76.03,0.523622516,0.024,3,Bolivia,2,23,834,23,11052,"DEN 1,4",44,8403,2017,11052
28.84,1.074053137,0.028,3,Colombia,4,23,4288,23,49066,"DEN 1,2,3,4",152,14152,2017,49066
51.58,0.093283582,0.058,3,Ecuador,5,23,8576,23,16625,DEN,8,8576,2017,16625
192.7,0.295251771,0.089,3,Peru,55,23,18057,23,32165,"DEN 2,3",183,61981,2017,32165
11.6,4.150943396,0,3,Venezuela,0,23,,23,31977,DEN 1,154,3710,2017,31977
1.23,0,0,4,Argentina,0,23,249,22,44271,"DEN 1,3",0,546,2017,44271
0.03,0,0,4,Chile,0,23,5,23,18055,"DEN 1,3",0,5,2017,18055
21.83,0,0,4,Paraguay,0,23,275,23,6811,DEN 1,0,1487,2017,6811
472.53,0.112866817,0,2,Belize,0,23,18,23,375,DEN,2,1772,2017,375
0,,,4,Uruguay,0,23,0,23,3457,  ,0,0,2017,3457
4.66,4.581673307,0,5,Dominican Republic,0,23,16,23,10767,DEN,23,502,2017,10767
0.25,0,0,5,Puerto Rico,0,23,9,23,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,23,1,23,102,DEN,0,1,2017,102
88.24,0,,6,Anguilla,,23,2,12,17,DEN,0,15,2017,17
1.05,0,0,6,Antigua and Barbuda,0,23,0,23,95,DEN,0,1,2017,95
138.26,0,,6,Aruba,,23,16,16,115,DEN,0,159,2017,115
1.01,0,0,6,Bahamas,0,23,0,23,395,DEN,0,4,2017,395
51.71,0,0,6,Barbados,0,23,29,20,292,DEN,0,151,2017,292
0,,,6,Bermuda,0,23,0,23,71,  ,0,0,2017,71
80,0,0,6,Virgin Islands (UK),0,23,28,20,35,DEN,0,28,2017,35
12.07,0,0,6,Cayman Islands,0,23,0,16,58,DEN,0,7,2017,58
13.51,0,0,6,Dominica,0,23,0,8,74,DEN,0,10,2017,74
58.3,0,0,6,French Guiana,0,23,0,17,283,DEN,0,165,2017,283
52.68,0,0,6,Grenada,0,23,59,20,112,DEN,0,59,2017,112
14.44,0,0,6,Guadeloupe,0,23,0,22,450,DEN,0,65,2017,450
1.59,0,0,6,Jamaica,0,23,2,23,2890,DEN 3,0,46,2017,2890
16.88,0,0,6,Martinique,0,23,0,23,385,  ,0,65,2017,385
0,,,6,Montserrat,0,23,0,23,5,  ,0,0,2017,5
266.67,0,0,6,Saint Barthelemy,0,23,0,23,9,DEN,0,24,2017,9
6.67,0,0,6,Saint Lucia,0,23,11,12,165,DEN,0,11,2017,165
233.33,0,0,6,Saint Martin,0,23,0,23,42,DEN,0,98,2017,42
1.96,0,0,6,Saint Vincent and the Grenadines,0,23,0,23,102,DEN,0,2,2017,102
4.46,0,0,6,Trinidad and Tobago,0,23,0,15,1369,DEN,0,61,2017,1369
233.96,0,0,6,Turks and Caicos Islands,0,23,124,16,53,DEN,0,124,2017,53
86.83,0.123810048,0.051,4,Brazil,93,23,29269,23,209288,"DEN 1,2,3,4",225,181730,2017,209288
,,,6,"Bonaire, Saint Eustatius and Saba",,23,,-,26,  ,,,2017,26
,,,6,Guyana,,23,,-,778,  ,,,2017,778
,,,6,Haiti,,23,,-,10981,  ,,,2017,10981
,,,5,Cuba,,23,,-,11485,  ,,,2017,11485
,,,6,Saint Kitts and Nevis,,23,,-,53,  ,,,2017,53
,,,6,Suriname,,23,,-,563,  ,,,2017,563
,,,6,Curaçao,,23,,-,150,  ,,,2017,150
0.01,0,0,1,North America,0,23,44,-,324460,  ,0,44,2017,324460
3.54,4.500978474,0,5,Latin Caribbean,0,23,25,-,14430,  ,23,511,2017,25915
15.4,0,0,6,Non-Latin Caribbean,0,23,272,-,7119,  ,0,1096,2017,19670
65.19,0.122436986,0.051,4,Southern Cone,93,23,29798,-,281882,  ,225,183768,2017,281882
30.72,0.233155866,0.007,2,Central America Ithsmus and Mexico,4,23,4086,-,177318,  ,127,54470,2017,177318
68.72,0.558757307,0.068,3,Andean Subregion,66,23,31755,-,140885,  ,541,96822,2017,140885
35.59,0.272043384,0.048,7,The Americas,163,23,65980,-,946094,  ,916,336711,2017,970130
