Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,49,0,49,0,  ,0,0,2017,0
0.1,0,0,1,United States of America,0,49,328,49,324460,DEN,0,328,2017,324460
112.05,0,0,2,Costa Rica,0,49,,49,4906,"DEN 1,2",0,5497,2017,4906
64.97,0.168918919,0,2,El Salvador,0,49,226,49,6378,DEN 2,7,4144,2017,6378
24.33,1.724975705,0.34,2,Guatemala,14,49,1378,49,16914,"DEN 1,2,3,4",71,4116,2017,16914
54.89,2.41840346,0,2,Honduras,0,49,0,49,9265,"DEN 1,2,3",123,5086,2017,9265
68.47,0.402569206,0.038,2,Mexico,34,49,13721,49,129163,"DEN 1,2,3",356,88432,2017,129163
"1,012.71",,0.003,2,Nicaragua,2,49,2457,49,6218,DEN 2,,62970,2017,6218
206.9,0.235821247,0.012,2,Panama,1,49,4102,49,4099,"DEN 1,2,3",20,8481,2017,4099
88.22,0.471794872,0.021,3,Bolivia,2,49,903,49,11052,"DEN 1,4",46,9750,2017,11052
51.26,0.954160538,0.06,3,Colombia,15,49,6784,49,49066,"DEN 1,2,3,4",240,25153,2017,49066
67.56,0.133547009,0.036,3,Ecuador,4,49,11232,48,16625,DEN,15,11232,2017,16625
234.77,0.323123171,0.093,3,Peru,70,49,25131,49,32165,"DEN 2,3",244,75513,2017,32165
26.02,4.170171854,,3,Venezuela,,49,,49,31977,DEN 1,347,8321,2017,31977
1.25,0,0,4,Argentina,0,49,254,49,44271,"DEN 1,3",0,553,2017,44271
0.06,0,0,4,Chile,0,49,10,38,18055,"DEN 1,3",0,10,2017,18055
117.57,0.146301022,0.053,4,Brazil,131,49,41350,49,209288,"DEN 1,2,3,4",360,246068,2017,209288
25.9,0,0,4,Paraguay,0,49,415,49,6811,"DEN 1, 2",0,1764,2017,6811
0,,,4,Uruguay,0,49,0,49,3457,  ,0,0,2017,3457
2.35,0,0,5,Cuba,0,49,270,25,11485,"DEN 2,3",0,270,2017,11485
12.21,6.692015209,0.076,5,Dominican Republic,1,49,18,49,10767,DEN,88,1315,2017,10767
0.25,0,0,5,Puerto Rico,0,49,9,49,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,49,1,49,102,DEN,0,1,2017,102
129.41,0,,6,Anguilla,,49,2,40,17,DEN,0,22,2017,17
1.05,0,0,6,Antigua and Barbuda,0,49,0,49,95,DEN,0,1,2017,95
581.74,0,,6,Aruba,,49,401,32,115,DEN,0,669,2017,115
3.54,0,0,6,Bahamas,0,49,0,49,395,DEN,0,14,2017,395
136.3,0,0,6,Barbados,0,49,85,40,292,DEN,0,398,2017,292
0,,,6,Bermuda,0,49,0,49,71,  ,0,0,2017,71
191.43,0,0,6,Virgin Islands (UK),0,49,67,48,35,DEN,0,67,2017,35
53.45,0,0,6,Cayman Islands,0,49,0,49,58,DEN,0,31,2017,58
44.59,0,0,6,Dominica,0,49,0,28,74,DEN,0,33,2017,74
220.85,0,0,6,French Guiana,0,49,0,37,283,DEN,0,625,2017,283
174.11,0,0,6,Grenada,0,49,195,44,112,DEN,0,195,2017,112
120,0,0,6,Guadeloupe,0,49,1,46,450,DEN,0,540,2017,450
0.64,0,0,6,Guyana,0,49,0,38,778,DEN,0,5,2017,778
2.42,0,0,6,Jamaica,0,49,14,49,2890,DEN 3,0,70,2017,2890
29.35,0,0,6,Martinique,0,49,8,46,385,DEN 2,0,113,2017,385
0,,,6,Montserrat,0,49,0,49,5,  ,0,0,2017,5
611.11,0,0,6,Saint Barthelemy,0,49,0,46,9,DEN,0,55,2017,9
16.98,0,0,6,Saint Kitts and Nevis,0,49,0,48,53,DEN,0,9,2017,53
23.03,0,0,6,Saint Lucia,0,49,38,40,165,DEN,0,38,2017,165
373.81,0,0,6,Saint Martin,0,49,0,30,42,DEN,0,157,2017,42
2.94,0,0,6,Saint Vincent and the Grenadines,0,49,0,49,102,DEN,0,3,2017,102
15.05,0,0,6,Trinidad and Tobago,0,49,3,35,1369,DEN,0,206,2017,1369
379.25,0,0,6,Turks and Caicos Islands,0,49,201,40,53,DEN,0,201,2017,53
782.4,0.068166326,0,2,Belize,0,49,47,49,375,DEN,2,2934,2017,375
,,,6,"Bonaire, Saint Eustatius and Saba",,49,,-,26,  ,,,2017,26
,,,6,Haiti,,49,,-,10981,  ,,,2017,10981
,,,6,Suriname,,49,,-,563,  ,,,2017,563
,,,6,Curaçao,,49,,-,150,  ,,,2017,150
0.1,0,0,1,North America,0,49,328,-,324460,  ,0,328,2017,324460
6.15,5.520702635,0.063,5,Latin Caribbean,1,49,297,-,25915,  ,88,1594,2017,25915
43.43,0,0,6,Non-Latin Caribbean,0,49,1016,-,7950,  ,0,3453,2017,19670
88.12,0.144930454,0.053,4,Southern Cone,131,49,42029,-,281882,  ,360,248395,2017,281882
102.45,0.318727293,0.028,2,Central America Ithsmus and Mexico,51,49,21931,-,177318,  ,579,181660,2017,177318
92.25,0.686317506,0.07,3,Andean Subregion,91,49,44050,-,140885,  ,892,129969,2017,140885
58.99,0.339406331,0.048,7,The Americas,274,49,109651,-,958410,  ,1919,565399,2017,970130
