Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,41,0,41,0,  ,0,0,2017,0
0.06,0,0,1,United States of America,0,41,190,41,324460,DEN,0,190,2017,324460
100.14,0,0,2,Costa Rica,0,41,,41,4906,"DEN 1,2",0,4913,2017,4906
53.51,0.146498682,0,2,El Salvador,0,41,174,41,6378,DEN 2,5,3413,2017,6378
20.04,0.973738566,0.384,2,Guatemala,13,41,1010,41,16914,"DEN 1,2,3,4",33,3389,2017,16914
50.07,2.026298771,0,2,Honduras,0,41,0,41,9265,"DEN 1,2,3",94,4639,2017,9265
45.44,0.446360121,0.029,2,Mexico,17,41,9251,41,129163,"DEN 1,2,3",262,58697,2017,129163
876.38,,0.004,2,Nicaragua,2,41,2066,41,6218,DEN 2,,54493,2017,6218
155.04,0.220298977,0,2,Panama,0,41,3066,41,4099,"DEN 1,2,3",14,6355,2017,4099
83.85,0.496385022,0.022,3,Bolivia,2,41,867,41,11052,"DEN 1,4",46,9267,2017,11052
45.81,1.009966186,0.062,3,Colombia,14,41,6784,41,49066,"DEN 1,2,3,4",227,22476,2017,49066
65.62,0.137501146,0.037,3,Ecuador,4,41,10929,41,16625,DEN,15,10909,2017,16625
229.34,0.322641868,0.091,3,Peru,67,41,25022,41,32165,"DEN 2,3",238,73766,2017,32165
22.17,4.105530474,0.183,3,Venezuela,13,41,1293,41,31977,DEN 1,291,7088,2017,31977
1.24,0,0,4,Argentina,0,41,253,41,44271,"DEN 1,3",0,549,2017,44271
0.06,0,0,4,Chile,0,41,10,38,18055,"DEN 1,3",0,10,2017,18055
108.52,0.14177777,0.054,4,Brazil,122,41,38338,41,209288,"DEN 1,2,3,4",322,227116,2017,209288
21.85,0,0,4,Paraguay,0,41,324,41,6811,DEN 1,0,1488,2017,6811
0,,,4,Uruguay,0,41,0,41,3457,  ,0,0,2017,3457
2.35,0,0,5,Cuba,0,41,270,25,11485,"DEN 2,3",0,270,2017,11485
10.08,6.082949309,0.092,5,Dominican Republic,1,41,18,41,10767,DEN,66,1085,2017,10767
0.25,0,0,5,Puerto Rico,0,41,9,41,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,41,1,41,102,DEN,0,1,2017,102
129.41,0,,6,Anguilla,,41,2,40,17,DEN,0,22,2017,17
1.05,0,0,6,Antigua and Barbuda,0,41,0,41,95,DEN,0,1,2017,95
581.74,0,,6,Aruba,,41,401,32,115,DEN,0,669,2017,115
3.54,0,0,6,Bahamas,0,41,0,41,395,DEN,0,14,2017,395
136.3,0,0,6,Barbados,0,41,85,40,292,DEN,0,398,2017,292
0,,,6,Bermuda,0,41,0,41,71,  ,0,0,2017,71
120,0,0,6,Virgin Islands (UK),0,41,42,32,35,DEN,0,42,2017,35
39.66,0,0,6,Cayman Islands,0,41,0,40,58,DEN,0,23,2017,58
44.59,0,0,6,Dominica,0,41,0,28,74,DEN,0,33,2017,74
220.85,0,0,6,French Guiana,0,41,0,37,283,DEN,0,625,2017,283
107.14,0,0,6,Grenada,0,41,120,36,112,DEN,0,120,2017,112
101.11,0,0,6,Guadeloupe,0,41,0,30,450,DEN,0,455,2017,450
0.64,0,0,6,Guyana,0,41,0,38,778,DEN,0,5,2017,778
2.42,0,0,6,Jamaica,0,41,14,41,2890,DEN 3,0,70,2017,2890
26.75,0,0,6,Martinique,0,41,6,41,385,DEN 2,0,103,2017,385
0,,,6,Montserrat,0,41,0,41,5,  ,0,0,2017,5
477.78,0,0,6,Saint Barthelemy,0,41,0,41,9,DEN,0,43,2017,9
16.98,0,0,6,Saint Kitts and Nevis,0,41,0,41,53,DEN,0,9,2017,53
23.03,0,0,6,Saint Lucia,0,41,38,40,165,DEN,0,38,2017,165
373.81,0,0,6,Saint Martin,0,41,0,30,42,DEN,0,157,2017,42
2.94,0,0,6,Saint Vincent and the Grenadines,0,41,0,41,102,DEN,0,3,2017,102
15.05,0,0,6,Trinidad and Tobago,0,41,3,35,1369,DEN,0,206,2017,1369
379.25,0,0,6,Turks and Caicos Islands,0,41,201,40,53,DEN,0,201,2017,53
729.6,0.073099415,0,2,Belize,0,41,40,41,375,DEN,2,2736,2017,375
,,,6,"Bonaire, Saint Eustatius and Saba",,41,,-,26,  ,,,2017,26
,,,6,Haiti,,41,,-,10981,  ,,,2017,10981
,,,6,Suriname,,41,,-,563,  ,,,2017,563
,,,6,Curaçao,,41,,-,150,  ,,,2017,150
0.06,0,0,1,North America,0,41,190,-,324460,  ,0,190,2017,324460
5.26,4.838709677,0.073,5,Latin Caribbean,1,41,297,-,25915,  ,66,1364,2017,25915
40.73,0,0,6,Non-Latin Caribbean,0,41,913,-,7950,  ,0,3238,2017,19670
81.3,0.140511339,0.053,4,Southern Cone,122,41,38925,-,281882,  ,322,229163,2017,281882
78.18,0.295740614,0.023,2,Central America Ithsmus and Mexico,32,41,15607,-,177318,  ,410,138635,2017,177318
87.66,0.661506324,0.081,3,Andean Subregion,100,41,44895,-,140885,  ,817,123506,2017,140885
51.76,0.325541831,0.051,7,The Americas,255,41,100827,-,958410,  ,1615,496096,2017,970130
