Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,1,Canada,0,36,0,36,0,  ,0,0,2017,0
0.04,0,0,1,United States of America,0,36,133,36,324460,DEN,0,133,2017,324460
89.65,0,0,2,Costa Rica,0,36,,36,4906,"DEN 1,2",0,4398,2017,4906
45.5,0.068917988,0,2,El Salvador,0,36,136,36,6378,DEN 2,2,2902,2017,6378
15.56,1.140250855,0.342,2,Guatemala,9,36,658,36,16914,"DEN 1,2,3,4",30,2631,2017,16914
46.45,1.858736059,0,2,Honduras,0,36,0,36,9265,"DEN 1,2,3",80,4304,2017,9265
29.12,0.53173105,0.04,2,Mexico,15,36,5660,36,129163,"DEN 1,2,3",200,37613,2017,129163
797.36,,0.004,2,Nicaragua,2,36,1868,36,6218,DEN 2,,49580,2017,6218
129.81,0.206728059,0,2,Panama,0,36,2408,36,4099,"DEN 1,2",11,5321,2017,4099
82.1,0.506942914,0.022,3,Bolivia,2,36,859,36,11052,"DEN 1,4",46,9074,2017,11052
41.56,1.029866117,0.059,3,Colombia,12,36,6784,36,49066,"DEN 1,2,3,4",210,20391,2017,49066
63.5,0.123141044,0.038,3,Ecuador,4,36,10557,36,16625,DEN,13,10557,2017,16625
224.7,0.325151507,0.091,3,Peru,66,36,24311,36,32165,"DEN 2,3",235,72274,2017,32165
18.94,4.077253219,,3,Venezuela,,36,,36,31977,DEN 1,247,6058,2017,31977
1.26,0,0,4,Argentina,0,36,253,36,44271,"DEN 1,3",0,558,2017,44271
0.03,0,0,4,Chile,0,36,5,26,18055,"DEN 1,3",0,5,2017,18055
104.27,0.138389911,0.055,4,Brazil,119,36,36494,36,209288,"DEN 1,2,3,4",302,218224,2017,209288
680.27,0.078400627,0,2,Belize,0,36,28,36,375,DEN,2,2551,2017,375
20.17,0,0,4,Paraguay,0,36,311,36,6811,DEN 1,0,1374,2017,6811
0,,,4,Uruguay,0,36,0,36,3457,  ,0,0,2017,3457
2.35,0,0,5,Cuba,0,36,270,25,11485,"DEN 2,3",0,270,2017,11485
8.19,6.009070295,0.113,5,Dominican Republic,1,36,18,36,10767,DEN,53,882,2017,10767
0.25,0,0,5,Puerto Rico,0,36,9,36,3663,DEN 2,0,9,2017,3663
0.98,0,0,6,Virgin Islands (US),0,36,1,36,102,DEN,0,1,2017,102
111.76,0,,6,Anguilla,,36,2,36,17,DEN,0,19,2017,17
1.05,0,0,6,Antigua and Barbuda,0,36,0,36,95,DEN,0,1,2017,95
581.74,0,,6,Aruba,,36,401,32,115,DEN,0,669,2017,115
3.54,0,0,6,Bahamas,0,36,0,36,395,DEN,0,14,2017,395
105.82,0,0,6,Barbados,0,36,43,36,292,DEN,0,309,2017,292
0,,,6,Bermuda,0,36,0,36,71,  ,0,0,2017,71
120,0,0,6,Virgin Islands (UK),0,36,42,32,35,DEN,0,42,2017,35
39.66,0,0,6,Cayman Islands,0,36,0,36,58,DEN,0,23,2017,58
44.59,0,0,6,Dominica,0,36,0,28,74,DEN,0,33,2017,74
160.78,0,0,6,French Guiana,0,36,0,26,283,DEN,0,455,2017,283
107.14,0,0,6,Grenada,0,36,120,36,112,DEN,0,120,2017,112
101.11,0,0,6,Guadeloupe,0,36,0,30,450,DEN,0,455,2017,450
0.64,0,0,6,Guyana,0,36,0,36,778,DEN,0,5,2017,778
2.53,0,0,6,Jamaica,0,36,14,36,2890,DEN 3,0,73,2017,2890
21.04,0,0,6,Martinique,0,36,3,36,385,DEN 2,0,81,2017,385
0,,,6,Montserrat,0,36,0,36,5,  ,0,0,2017,5
477.78,0,0,6,Saint Barthelemy,0,36,0,36,9,DEN,0,43,2017,9
16.98,0,0,6,Saint Kitts and Nevis,0,36,0,36,53,DEN,0,9,2017,53
16.97,0,0,6,Saint Lucia,0,36,28,32,165,DEN,0,28,2017,165
373.81,0,0,6,Saint Martin,0,36,0,30,42,DEN,0,157,2017,42
2.94,0,0,6,Saint Vincent and the Grenadines,0,36,0,36,102,DEN,0,3,2017,102
15.05,0,0,6,Trinidad and Tobago,0,36,3,35,1369,DEN,0,206,2017,1369
379.25,0,0,6,Turks and Caicos Islands,0,36,201,36,53,DEN,0,201,2017,53
,,,6,"Bonaire, Saint Eustatius and Saba",,36,,-,26,  ,,,2017,26
,,,6,Haiti,,36,,-,10981,  ,,,2017,10981
,,,6,Suriname,,36,,-,563,  ,,,2017,563
,,,6,Curaçao,,36,,-,150,  ,,,2017,150
0.04,0,0,1,North America,0,36,133,-,324460,  ,0,133,2017,324460
4.48,4.565030146,0.086,5,Latin Caribbean,1,36,297,-,25915,  ,53,1161,2017,25915
37.07,0,0,6,Non-Latin Caribbean,0,36,858,-,7950,  ,0,2947,2017,19670
78.1,0.137172342,0.054,4,Southern Cone,119,36,37063,-,281882,  ,302,220161,2017,281882
61.64,0.297346752,0.024,2,Central America Ithsmus and Mexico,26,36,10758,-,177318,  ,325,109300,2017,177318
84.01,0.634537067,0.071,3,Andean Subregion,84,36,42511,-,140885,  ,751,118354,2017,140885
47.17,0.316553701,0.051,7,The Americas,230,36,91620,-,958410,  ,1431,452056,2017,970130
