Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.74,0,0,6,Virgin Islands (US),0,30,9,30,103,DEN,0,9,2016,103
728.07,,,2,Belize,,30,98,30,367,DEN 3,,2672,2016,367
38.82,0,0,4,Uruguay,0,30,26,30,3444,DEN 1,0,1337,2016,3444
683.95,0.055255634,0.04,4,Brazil,577,30,310478,30,209568,"DEN 1,2,3,4",792,1433338,2016,209568
77.42,0.385198541,0.131,3,Venezuela,32,30,4494,30,31519,"DEN 1,2,3,4",94,24403,2016,31519
39.36,0,0,6,Antigua and Barbuda,0,30,3,28,94,DEN 2,0,37,2016,94
175.16,0,0.014,4,Argentina,11,30,41207,30,43847,"DEN 1,4",0,76803,2016,43847
226.97,0,0,6,Bahamas,0,30,76,29,393,DEN,0,892,2016,393
378.35,0,0,6,Barbados,0,30,241,24,291,DEN,0,1101,2016,291
2.82,0,0,6,Bermuda,0,30,0,28,71,DEN,0,2,2016,71
264.39,0.156320561,0,3,Bolivia,0,30,3512,30,10888,"DEN 1,2,4",45,28787,2016,10888
152.94,0,0,6,Virgin Islands (UK),0,30,52,24,34,DEN,0,52,2016,34
,,,1,Canada,0,30,0,30,0,  ,0,0,2016,0
91.23,0,0,6,Cayman Islands,0,30,52,30,57,DEN 3,0,52,2016,57
0.22,0,0,4,Chile,0,30,0,8,18132,DEN 1,0,40,2016,18132
161.06,1.024705222,0.029,3,Colombia,23,30,21899,30,48654,"DEN 1,2,3,4",803,78364,2016,48654
265.68,0,0,2,Costa Rica,0,30,0,30,4857,"DEN 1,2,3",0,12904,2016,4857
12.27,0,0,5,Cuba,0,30,1398,26,11393,"DEN 2,3",0,1398,2016,11393
317.57,0,0,6,Dominica,0,30,0,24,74,DEN,0,235,2016,74
347.3,0,0,6,Dominica,0,30,0,24,74,0,0,257,2016,74
53.1,10.22104332,0.513,5,Dominican Republic,29,30,0,30,10649,DEN,578,5655,2016,10649
71.06,0.27481965,0.026,3,Ecuador,3,30,11512,30,16385,"DEN 1,2,4",32,11644,2016,16385
104.05,2.392494136,0.016,2,El Salvador,1,30,72,30,6146,DEN 2,153,6395,2016,6146
228.26,0,0,6,French Guiana,0,30,15,14,276,"DEN 1,2",0,630,2016,276
103.6,0,0,6,Grenada,0,30,24,28,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,30,23,16,471,DEN 1,0,130,2016,471
28.27,0.594101422,0,2,Guatemala,0,30,326,30,16673,"DEN 1,2,3,4",28,4713,2016,16673
39.3,0,0,6,Guyana,0,30,303,16,771,DEN,0,303,2016,771
216.32,1.303832477,0.011,2,Honduras,2,30,86,30,8190,DEN,231,17717,2016,8190
48.31,0.147710487,0,6,Jamaica,0,30,102,28,2803,"DEN 3,4",2,1354,2016,2803
109.09,0,0,6,Martinique,0,30,24,30,396,"DEN 1,2,3",0,432,2016,396
34.72,3.219451037,0.022,2,Mexico,10,30,6053,30,128632,"DEN 1,2,3,4",1438,44666,2016,128632
80,0,0,6,Montserrat,0,30,0,28,5,DEN,0,4,2016,5
688.6,0,0,6,Aruba,0,30,64,29,114,DEN,0,785,2016,114
846.99,0,0.029,2,Nicaragua,15,30,4361,30,6150,DEN 2,0,52090,2016,6150
66.84,0.149981252,0.112,2,Panama,3,30,750,30,3990,"DEN 1,2,3",4,2667,2016,3990
835.06,0.085473129,0.028,4,Paraguay,16,30,2536,30,6725,"DEN 1,3,4",48,56158,2016,6725
85.48,0.34240271,0.118,3,Peru,32,30,13192,30,31774,"DEN 1,2,3",93,27161,2016,31774
4.81,0,0,5,Puerto Rico,0,30,177,30,3681,"DEN 1,2,3,4",0,177,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,30,91,16,9,DEN 1,0,580,2016,9
44.23,0,0,6,Saint Kitts and Nevis,0,30,0,24,52,DEN,0,23,2016,52
58.82,0,0,6,Anguilla,0,30,0,28,17,DEN,0,10,2016,17
68.29,0,0,6,Saint Lucia,0,30,32,28,164,DEN 1,0,112,2016,164
512.2,0,0,6,Saint Martin,0,30,1,16,41,DEN 2,0,210,2016,41
149.02,0,0,6,Saint Vincent and the Grenadines,0,30,3,28,102,DEN,0,152,2016,102
2.55,0,0,6,Suriname,0,30,1,27,548,DEN 1,0,14,2016,548
29.82,0,0,6,Trinidad and Tobago,0,30,6,24,1365,"DEN 1,3",0,407,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,30,216,24,51,DEN,0,216,2016,51
0.2,0,0,1,United States of America,0,30,633,30,324119,DEN,0,633,2016,324119
,,,6,Haiti,,30,,-,10848,  ,,,2016,10848
0.2,0,0,1,North America,0,30,633,-,324119,  ,0,633,2016,324119
28.11,7.994467497,0.401,5,Latin Caribbean,29,30,1575,-,25723,  ,578,7230,2016,25723
95.61,0.024648755,0,6,Non-Latin Caribbean,0,30,1338,-,8487,  ,2,8114,2016,20700
556.47,0.0535825,0.039,4,Southern Cone,604,30,354247,-,281716,  ,840,1567676,2016,281716
82.18,1.289075537,0.022,2,Central America Ithsmus and Mexico,31,30,11746,-,175005,  ,1854,143824,2016,175005
122.37,0.626324409,0.053,3,Andean Subregion,90,30,54609,-,139220,  ,1067,170359,2016,139220
198.88,0.2287342,0.04,7,The Americas,754,30,424148,-,954270,  ,4341,1897836,2016,966483
