Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
0.31,0,0,1,United States of America,0,52,990,52,324119,DEN,0,990,2016,324119
716.01,0.057379535,0.043,4,Brazil,642,52,316687,52,209568,"DEN 1,2,3,4",861,1500535,2016,209568
"1,284.20",,,2,Belize,,52,121,52,367,DEN 3,,4713,2016,367
480.11,0.09005532,0,2,Costa Rica,0,52,0,52,4857,"DEN 1,2,3",21,23319,2016,4857
5.54,0,0,5,Puerto Rico,0,52,204,52,3681,"DEN 1,2,3,4",0,204,2016,3681
109.57,0,0,6,Antigua and Barbuda,0,52,3,52,94,DEN 2,0,103,2016,94
181.21,0,0.013,4,Argentina,10,52,41211,52,43847,"DEN 1,4",0,79455,2016,43847
20.87,0,0,6,Bahamas,0,52,1,52,393,DEN,0,82,2016,393
492.44,0,0,6,Barbados,0,52,429,52,291,DEN,0,1433,2016,291
2.82,0,0,6,Bermuda,0,52,0,52,71,DEN,0,2,2016,71
291.66,0.176344628,0.003,3,Bolivia,1,52,3552,52,10888,"DEN 1,2,4",56,31756,2016,10888
294.12,0,0,6,Virgin Islands (UK),0,52,108,52,34,DEN,0,100,2016,34
,,,1,Canada,0,52,0,52,0,  ,0,0,2016,0
263.16,0,0,6,Cayman Islands,0,52,2,52,57,DEN 3,0,150,2016,57
0.18,0,0,4,Chile,0,52,0,52,18132,DEN 1,0,33,2016,18132
213.39,1.008456782,0.058,3,Colombia,60,52,45809,52,48654,"DEN 1,2,3,4",1047,103822,2016,48654
16.12,1.579520697,0,5,Cuba,0,52,1836,52,11393,"DEN 2,3",29,1836,2016,11393
474.32,0,0,6,Dominica,0,52,6,52,74,DEN,0,351,2016,74
62.4,9.64635064,0.587,5,Dominican Republic,39,52,0,52,10649,DEN,641,6645,2016,10649
86.36,0.275618375,0.028,3,Ecuador,4,52,14150,52,16385,"DEN 1,2,4",39,14150,2016,16385
143,2.34383889,0.011,2,El Salvador,1,52,124,52,6146,DEN 2,206,8789,2016,6146
189.13,0,0,6,French Guiana,0,52,9,51,276,"DEN 1,2",0,522,2016,276
136.04,0,0,6,Grenada,0,52,76,52,111,DEN 1,0,151,2016,111
37.58,0,0,6,Guadeloupe,0,52,17,51,471,DEN 1,0,177,2016,471
53.04,0.53143374,0.011,2,Guatemala,1,52,330,52,16673,"DEN 1,2,3,4",47,8844,2016,16673
39.3,0,0,6,Guyana,0,52,303,52,771,DEN,0,303,2016,771
280.35,1.363181046,0.013,2,Honduras,3,52,76,52,8190,DEN,313,22961,2016,8190
80.95,0.132216836,0,6,Jamaica,0,52,154,52,2803,"DEN 3,4",3,2269,2016,2803
39.9,0,0,6,Martinique,0,52,13,51,396,"DEN 1,2,3",0,158,2016,396
101.12,0.619671098,0.026,2,Mexico,34,52,17795,52,128632,"DEN 1,2,3,4",806,130069,2016,128632
500,0,0,6,Montserrat,0,52,0,48,5,DEN,0,25,2016,5
"1,157.02",0,0,6,Aruba,0,52,103,52,114,DEN,0,1319,2016,114
"1,436.10",0,0.018,2,Nicaragua,16,52,6599,52,6150,DEN 2,0,88320,2016,6150
197.59,0.152207002,0.114,2,Panama,9,52,1902,52,3990,"DEN 1,2,3",12,7884,2016,3990
"1,044.09",0.068361461,0.023,4,Paraguay,16,52,2556,52,6725,"DEN 1,3,4",48,70215,2016,6725
100.3,0.389105058,0.116,3,Peru,37,52,17055,52,31774,"DEN 1,2,3",124,31868,2016,31774
866.67,0,0,6,Saint Barthelemy,0,52,60,51,9,DEN 1,0,78,2016,9
261.54,0,0,6,Saint Kitts and Nevis,0,52,0,52,52,DEN,0,136,2016,52
294.12,0,0,6,Anguilla,0,52,2,52,17,DEN,0,50,2016,17
119.51,0,0,6,Saint Lucia,0,52,80,52,164,DEN 1,0,196,2016,164
70.73,0,0,6,Saint Martin,0,52,4,51,41,DEN 2,0,29,2016,41
87.25,0,0,6,Saint Vincent and the Grenadines,0,52,7,52,102,DEN,0,89,2016,102
1.09,0,0,6,Suriname,0,52,1,52,548,DEN 1,0,6,2016,548
131.94,0,0,6,Trinidad and Tobago,0,52,9,48,1365,"DEN 1,3",0,1801,2016,1365
949.02,0,0,6,Turks and Caicos Islands,0,52,484,52,51,DEN,0,484,2016,51
10.68,0,0,6,Virgin Islands (US),0,52,11,52,103,DEN,0,11,2016,103
38.82,0,0,4,Uruguay,0,52,60,52,3444,DEN 1,0,1337,2016,3444
92.86,0.392920596,0.133,3,Venezuela,39,52,5833,52,31519,"DEN 1,2,3,4",115,29268,2016,31519
,,,6,Haiti,,52,,-,10848,  ,,,2016,10848
0.31,0,0,1,North America,0,52,990,-,324119,  ,0,990,2016,324119
33.76,7.714450201,0.449,5,Latin Caribbean,39,52,2040,-,25723,  ,670,8685,2016,25723
119.16,0.029925187,0,6,Non-Latin Caribbean,0,52,1882,-,8413,  ,3,10025,2016,20700
586.26,0.055038372,0.04,4,Southern Cone,668,52,360514,-,281716,  ,909,1651575,2016,281716
168.51,0.476434305,0.022,2,Central America Ithsmus and Mexico,64,52,26947,-,175005,  ,1405,294899,2016,175005
151.46,0.654924501,0.067,3,Andean Subregion,141,52,86399,-,139220,  ,1381,210864,2016,139220
228.15,0.200639585,0.042,7,The Americas,912,52,478772,-,954196,  ,4368,2177038,2016,966483
