Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
694.78,0.055493476,0.04,4,Brazil,586,40,312861,40,209568,"DEN 1,2,3,4",808,1456027,2016,209568
"1,093.46",,,2,Belize,,40,120,40,367,DEN 3,,4013,2016,367
5.13,0,0,5,Puerto Rico,0,40,189,40,3681,"DEN 1,2,3,4",0,189,2016,3681
8.74,0,0,6,Virgin Islands (US),0,40,9,40,103,DEN,0,9,2016,103
39.36,0,0,6,Antigua and Barbuda,0,40,3,36,94,DEN 2,0,37,2016,94
176.21,0,0.013,4,Argentina,10,40,41208,40,43847,"DEN 1,4",0,77261,2016,43847
226.97,0,0,6,Bahamas,0,40,76,29,393,DEN,0,892,2016,393
473.88,0,0,6,Barbados,0,40,401,40,291,DEN,0,1379,2016,291
2.82,0,0,6,Bermuda,0,40,0,36,71,DEN,0,2,2016,71
267.98,0.174789225,0.003,3,Bolivia,1,40,3552,40,10888,"DEN 1,2,4",51,29178,2016,10888
247.06,0,0,6,Virgin Islands (UK),0,40,81,40,34,DEN,0,84,2016,34
,,,1,Canada,0,40,0,40,0,  ,0,0,2016,0
189.47,0,0,6,Cayman Islands,0,40,1,36,57,DEN 3,0,108,2016,57
0.24,0,0,4,Chile,0,40,0,40,18132,DEN 1,0,43,2016,18132
191.6,0.999774729,0.04,3,Colombia,37,40,37423,40,48654,"DEN 1,2,3,4",932,93221,2016,48654
397.76,0,0,2,Costa Rica,0,40,0,40,4857,"DEN 1,2,3",0,19319,2016,4857
12.27,0,0,5,Cuba,0,40,1398,38,11393,"DEN 2,3",0,1398,2016,11393
381.08,0,0,6,Dominica,0,40,0,32,74,DEN,0,282,2016,74
429.73,0,0,6,Dominica,0,40,0,32,74,0,0,318,2016,74
57.91,9.891357224,0.519,5,Dominican Republic,32,40,0,40,10649,DEN,610,6167,2016,10649
81.31,0.270209412,0.03,3,Ecuador,4,40,13323,40,16385,"DEN 1,2,4",36,13323,2016,16385
124.37,2.380952381,0.013,2,El Salvador,1,40,109,40,6146,DEN 2,182,7644,2016,6146
189.13,0,0,6,French Guiana,0,40,9,39,276,"DEN 1,2",0,522,2016,276
130.63,0,0,6,Grenada,0,40,60,40,111,DEN 1,0,145,2016,111
37.58,0,0,6,Guadeloupe,0,40,15,39,471,DEN 1,0,177,2016,471
45.88,0.522944176,0.013,2,Guatemala,1,40,330,40,16673,"DEN 1,2,3,4",40,7649,2016,16673
39.3,0,0,6,Guyana,0,40,303,16,771,DEN,0,303,2016,771
253.79,1.299013712,0.01,2,Honduras,2,40,76,40,8190,DEN,270,20785,2016,8190
56.01,0.127388535,0,6,Jamaica,0,40,102,35,2803,"DEN 3,4",2,1570,2016,2803
39.9,0,0,6,Martinique,0,40,13,39,396,"DEN 1,2,3",0,158,2016,396
73.49,0.64426037,0.012,2,Mexico,11,40,11248,40,128632,"DEN 1,2,3,4",609,94527,2016,128632
80,0,0,6,Montserrat,0,40,0,28,5,DEN,0,4,2016,5
806.14,0,0,6,Aruba,0,40,76,39,114,DEN,0,919,2016,114
"1,188.99",0,0.022,2,Nicaragua,16,40,5586,40,6150,DEN 2,0,73123,2016,6150
106.29,0.282952134,0.212,2,Panama,9,40,1200,40,3990,"DEN 1,2,3",12,4241,2016,3990
"1,027.61",0.069457508,0.023,4,Paraguay,16,40,2537,40,6725,"DEN 1,3,4",48,69107,2016,6725
89.57,0.400562193,0.126,3,Peru,36,40,14910,40,31774,"DEN 1,2,3",114,28460,2016,31774
866.67,0,0,6,Saint Barthelemy,0,40,58,39,9,DEN 1,0,78,2016,9
63.46,0,0,6,Saint Kitts and Nevis,0,40,0,36,52,DEN,0,33,2016,52
88.24,0,0,6,Anguilla,0,40,0,32,17,DEN,0,15,2016,17
90.85,0,0,6,Saint Lucia,0,40,49,36,164,DEN 1,0,149,2016,164
103.66,0,0,6,Saint Lucia,0,40,49,36,164,DEN 1,0,170,2016,164
70.73,0,0,6,Saint Martin,0,40,3,39,41,DEN 2,0,29,2016,41
149.02,0,0,6,Saint Vincent and the Grenadines,0,40,3,28,102,DEN,0,152,2016,102
2.55,0,0,6,Suriname,0,40,1,27,548,DEN 1,0,14,2016,548
43.3,0,0,6,Trinidad and Tobago,0,40,6,32,1365,"DEN 1,3",0,591,2016,1365
813.73,0,0,6,Turks and Caicos Islands,0,40,415,40,51,DEN,0,415,2016,51
0.27,0,0,1,United States of America,0,40,878,40,324119,DEN,0,878,2016,324119
38.82,0,0,4,Uruguay,0,40,26,40,3444,DEN 1,0,1337,2016,3444
85.62,0.377959758,0.137,3,Venezuela,37,40,5232,40,31519,"DEN 1,2,3,4",102,26987,2016,31519
,,,6,Haiti,,40,,-,10848,  ,,,2016,10848
0.27,0,0,1,North America,0,40,878,-,324119,  ,0,878,2016,324119
30.14,7.866907403,0.413,5,Latin Caribbean,32,40,1587,-,25723,  ,610,7754,2016,25723
98.89,0.023378141,0,6,Non-Latin Caribbean,0,40,1733,-,8651,  ,2,8555,2016,20700
569.29,0.053374071,0.038,4,Southern Cone,612,40,356632,-,281716,  ,856,1603775,2016,281716
132.17,0.481191175,0.017,2,Central America Ithsmus and Mexico,40,40,18669,-,175005,  ,1113,231301,2016,175005
137.31,0.646025245,0.06,3,Andean Subregion,115,40,74440,-,139220,  ,1235,191169,2016,139220
214.1,0.186744653,0.039,7,The Americas,799,40,453939,-,954434,  ,3816,2043432,2016,966483
