Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
586.65,,,2,Belize,,24,86,24,367,DEN 3,,2153,2016,367
46.75,10.3254319,0.522,5,Dominican Republic,26,24,0,24,10649,DEN,514,4978,2016,10649
38.82,0,0,4,Uruguay,0,24,26,24,3444,DEN 1,0,1337,2016,3444
,,,1,Canada,0,24,0,24,0,  ,0,0,2016,0
68.75,0.410724999,0.134,3,Venezuela,29,24,,24,31519,"DEN 1,2,3,4",89,21669,2016,31519
22.34,0,0,6,Antigua and Barbuda,0,24,3,24,94,DEN 2,0,21,2016,94
170.55,0,0.015,4,Argentina,11,24,39841,24,43847,"DEN 1,4",0,74782,2016,43847
13.74,0,0,6,Bahamas,0,24,0,21,393,DEN,0,54,2016,393
378.35,0,0,6,Barbados,0,24,241,24,291,DEN,0,1101,2016,291
2.82,0,0,6,Bermuda,0,24,0,24,71,DEN,0,2,2016,71
247.09,0.096643497,0,3,Bolivia,0,24,3512,22,10888,"DEN 1,2,4",26,26903,2016,10888
671.78,0.055404574,0.04,4,Brazil,569,24,307510,24,209568,"DEN 1,2,3,4",780,1407826,2016,209568
152.94,0,0,6,Virgin Islands (UK),0,24,52,24,34,DEN,0,52,2016,34
68.42,0,0,6,Cayman Islands,0,24,1,24,57,DEN 3,0,39,2016,57
0.22,0,0,4,Chile,0,24,0,8,18132,DEN 1,0,40,2016,18132
134.93,1.098298475,0.023,3,Colombia,15,24,21899,24,48654,"DEN 1,2,3,4",721,65647,2016,48654
186.43,0,0,2,Costa Rica,0,24,0,24,4857,"DEN 1,2,3",0,9055,2016,4857
10.6,0,0,5,Cuba,0,24,1208,11,11393,"DEN 2,3",0,1208,2016,11393
317.57,0,0,6,Dominica,0,24,0,24,74,DEN,0,235,2016,74
347.3,0,0,6,Dominica,0,24,0,24,74,0,0,257,2016,74
58.01,0.305102578,0.032,3,Ecuador,3,24,9505,24,16385,"DEN 1,2,4",29,9505,2016,16385
93.75,2.395001736,0,2,El Salvador,0,24,71,24,6146,DEN 2,138,5762,2016,6146
228.26,0,0,6,French Guiana,0,24,15,14,276,"DEN 1,2",0,630,2016,276
103.6,0,0,6,Grenada,0,24,17,20,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,24,23,16,471,DEN 1,0,130,2016,471
18.29,0,0,2,Guatemala,0,24,326,23,16673,"DEN 1,2,3,4",0,3050,2016,16673
39.3,0,0,6,Guyana,0,24,303,16,771,DEN,0,303,2016,771
177.09,1.461665747,0.007,2,Honduras,1,24,86,24,8190,DEN,212,14504,2016,8190
29.15,0.244798042,0,6,Jamaica,0,24,68,22,2803,"DEN 3,4",2,817,2016,2803
100.76,0,0,6,Martinique,0,24,28,20,396,"DEN 1,2,3",0,399,2016,396
25.42,3.370649049,0.012,2,Mexico,4,24,4537,24,128632,"DEN 1,2,3,4",1102,32694,2016,128632
80,0,0,6,Montserrat,0,24,0,24,5,DEN,0,4,2016,5
645.61,0,0,6,Aruba,0,24,58,24,114,DEN,0,736,2016,114
463.66,0,0.032,2,Nicaragua,9,24,3047,24,6150,DEN 2,0,28515,2016,6150
28.27,0.177304965,0.089,2,Panama,1,24,564,22,3990,"DEN 1,2,3",2,1128,2016,3990
775.18,0,0.031,4,Paraguay,16,24,2529,24,6725,"DEN 1,3,4",0,52131,2016,6725
78.71,0.319872051,0.104,3,Peru,26,24,11532,24,31774,"DEN 1,2, 3",80,25010,2016,31774
3.97,0,0,5,Puerto Rico,0,24,146,24,3681,"DEN 1,2,3,4",0,146,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,24,91,16,9,DEN 1,0,580,2016,9
44.23,0,0,6,Saint Kitts and Nevis,0,24,0,24,52,DEN,0,23,2016,52
47.06,0,0,6,Anguilla,0,24,0,24,17,DEN,0,8,2016,17
48.78,0,0,6,Saint Lucia,0,24,20,24,164,DEN 1,0,80,2016,164
512.2,0,0,6,Saint Martin,0,24,1,16,41,DEN 2,0,210,2016,41
97.06,0,0,6,Saint Vincent and the Grenadines,0,24,4,20,102,DEN,0,99,2016,102
1.82,0,0,6,Suriname,0,24,1,18,548,DEN 1,0,10,2016,548
29.82,0,0,6,Trinidad and Tobago,0,24,6,24,1365,"DEN 1,3",0,407,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,24,216,24,51,DEN,0,216,2016,51
0.15,0,0,1,United States of America,0,24,471,24,324119,DEN,0,471,2016,324119
8.74,0,0,6,Virgin Islands (US),0,24,9,24,103,DEN,0,9,2016,103
,,,6,Haiti,,24,,-,10848,  ,,,2016,10848
0.15,0,0,1,North America,0,24,471,-,324119,  ,0,471,2016,324119
24.62,8.117498421,0.411,5,Latin Caribbean,26,24,1354,-,25723,  ,514,6332,2016,25723
77.02,0.030595074,0,6,Non-Latin Caribbean,0,24,1157,-,8487,  ,2,6537,2016,20700
545.27,0.050777415,0.039,4,Southern Cone,596,24,349906,-,281716,  ,780,1536116,2016,281716
55.35,1.501120162,0.015,2,Central America Ithsmus and Mexico,15,24,8717,-,175005,  ,1454,96861,2016,175005
106.83,0.635362459,0.049,3,Andean Subregion,73,24,46448,-,139220,  ,945,148734,2016,139220
188.11,0.205843734,0.04,7,The Americas,710,24,408053,-,954270,  ,3695,1795051,2016,966483
