Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.74,0,0,6,Virgin Islands (US),0,27,9,27,103,DEN,0,9,2016,103
652.59,,,2,Belize,,27,92,27,367,DEN 3,,2395,2016,367
38.82,0,0,4,Uruguay,0,27,26,27,3444,DEN 1,0,1337,2016,3444
679.14,0.055295667,0.04,4,Brazil,573,27,309415,27,209568,"DEN 1,2,3,4",787,1423258,2016,209568
73.41,0.393275422,0.13,3,Venezuela,30,27,4494,27,31519,"DEN 1,2,3,4",91,23139,2016,31519
22.34,0,0,6,Antigua and Barbuda,0,27,3,24,94,DEN 2,0,21,2016,94
173.57,0,0.014,4,Argentina,11,27,40466,27,43847,"DEN 1,4",0,76104,2016,43847
13.74,0,0,6,Bahamas,0,27,0,21,393,DEN,0,54,2016,393
378.35,0,0,6,Barbados,0,27,241,24,291,DEN,0,1101,2016,291
2.82,0,0,6,Bermuda,0,27,0,24,71,DEN,0,2,2016,71
263.2,0.136092403,0,3,Bolivia,0,27,3512,27,10888,"DEN 1,2,4",39,28657,2016,10888
152.94,0,0,6,Virgin Islands (UK),0,27,52,24,34,DEN,0,52,2016,34
,,,1,Canada,0,27,0,27,0,  ,0,0,2016,0
68.42,0,0,6,Cayman Islands,0,27,1,24,57,DEN 3,0,39,2016,57
0.22,0,0,4,Chile,0,27,0,8,18132,DEN 1,0,40,2016,18132
149.53,1.066622682,0.026,3,Colombia,19,27,21899,27,48654,"DEN 1,2,3,4",776,72753,2016,48654
220.9,0,0,2,Costa Rica,0,27,0,27,4857,"DEN 1,2,3",0,10729,2016,4857
12.27,0,0,5,Cuba,0,27,1398,26,11393,"DEN 2,3",0,1398,2016,11393
317.57,0,0,6,Dominica,0,27,0,24,74,DEN,0,235,2016,74
347.3,0,0,6,Dominica,0,27,0,24,74,0,0,257,2016,74
50.46,10.27167845,0.521,5,Dominican Republic,28,27,0,27,10649,DEN,552,5374,2016,10649
66.99,0.29154519,0.027,3,Ecuador,3,27,10976,27,16385,"DEN 1,2,4",32,10976,2016,16385
100.42,2.397926118,0.016,2,El Salvador,1,27,71,27,6146,DEN 2,148,6172,2016,6146
228.26,0,0,6,French Guiana,0,27,15,14,276,"DEN 1,2",0,630,2016,276
103.6,0,0,6,Grenada,0,27,17,20,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,27,23,16,471,DEN 1,0,130,2016,471
24.28,0.568041492,0,2,Guatemala,0,27,326,27,16673,"DEN 1,2,3,4",23,4049,2016,16673
39.3,0,0,6,Guyana,0,27,303,16,771,DEN,0,303,2016,771
199.71,1.326730252,0,2,Honduras,0,27,86,27,8190,DEN,217,16356,2016,8190
34.11,0.209205021,0,6,Jamaica,0,27,68,27,2803,"DEN 3,4",2,956,2016,2803
100.76,0,0,6,Martinique,0,27,28,20,396,"DEN 1,2,3",0,399,2016,396
29.6,3.319414901,0.024,2,Mexico,9,27,5623,27,128632,"DEN 1,2,3,4",1264,38079,2016,128632
80,0,0,6,Montserrat,0,27,0,24,5,DEN,0,4,2016,5
645.61,0,0,6,Aruba,0,27,58,24,114,DEN,0,736,2016,114
650.13,0,0.033,2,Nicaragua,13,27,3818,27,6150,DEN 2,0,39983,2016,6150
30.78,0.325732899,0.244,2,Panama,3,27,588,27,3990,"DEN 1,2,3",4,1228,2016,3990
801.8,0.085309991,0.03,4,Paraguay,16,27,2535,27,6725,"DEN 1,3,4",46,53921,2016,6725
83.71,0.323344738,0.102,3,Peru,27,27,12844,27,31774,"DEN 1,2, 3",86,26597,2016,31774
4.29,0,0,5,Puerto Rico,0,27,158,27,3681,"DEN 1,2,3,4",0,158,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,27,91,16,9,DEN 1,0,580,2016,9
44.23,0,0,6,Saint Kitts and Nevis,0,27,0,24,52,DEN,0,23,2016,52
47.06,0,0,6,Anguilla,0,27,0,24,17,DEN,0,8,2016,17
48.78,0,0,6,Saint Lucia,0,27,20,24,164,DEN 1,0,80,2016,164
512.2,0,0,6,Saint Martin,0,27,1,16,41,DEN 2,0,210,2016,41
97.06,0,0,6,Saint Vincent and the Grenadines,0,27,4,20,102,DEN,0,99,2016,102
2.55,0,0,6,Suriname,0,27,1,27,548,DEN 1,0,14,2016,548
29.82,0,0,6,Trinidad and Tobago,0,27,6,24,1365,"DEN 1,3",0,407,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,27,216,24,51,DEN,0,216,2016,51
0.16,0,0,1,United States of America,0,27,572,27,324119,DEN,0,527,2016,324119
,,,6,Haiti,,27,,-,10848,  ,,,2016,10848
0.16,0,0,1,North America,0,27,572,-,324119,  ,0,527,2016,324119
26.94,7.965367965,0.404,5,Latin Caribbean,28,27,1556,-,25723,  ,552,6930,2016,25723
78.71,0.02994012,0,6,Non-Latin Caribbean,0,27,1157,-,8487,  ,2,6680,2016,20700
551.85,0.053580847,0.039,4,Southern Cone,600,27,352442,-,281716,  ,833,1554660,2016,281716
67.99,1.391701893,0.022,2,Central America Ithsmus and Mexico,26,27,10604,-,175005,  ,1656,118991,2016,175005
116.45,0.631623099,0.049,3,Andean Subregion,79,27,53725,-,139220,  ,1024,162122,2016,139220
193.86,0.219848533,0.04,7,The Americas,733,27,420056,-,954270,  ,4067,1849910,2016,966483
