Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
19.27,3.486260743,0.004,2,Mexico,1,18,3429,18,128632,"DEN 1,2,3,4",864,24783,2016,128632
8.74,0,0,6,Virgin Islands (US),0,18,9,18,103,DEN,0,9,2016,103
489.37,,,2,Belize,,18,83,18,367,DEN 3,,1796,2016,367
104.29,1.253399551,0.018,3,Colombia,9,18,18503,18,48654,"DEN 1,2,3,4",636,50742,2016,48654
58.1,0.34127844,0.114,3,Peru,21,18,7475,18,31774,"DEN 1,2, 3",63,18460,2016,31774
38.82,0,0,4,Uruguay,0,18,26,18,3444,DEN 1,0,1337,2016,3444
,,,1,Canada,0,18,0,18,0,  ,0,0,2016,0
59.27,0.438972163,0.15,3,Venezuela,28,18,4002,18,31519,"DEN 1,2,3,4",82,18680,2016,31519
9.57,0,0,6,Antigua and Barbuda,0,18,2,16,94,DEN,0,9,2016,94
154.54,0,0.016,4,Argentina,11,18,35811,18,43847,"DEN 1,4",0,67761,2016,43847
7.38,0,0,6,Bahamas,0,18,0,12,393,DEN,0,29,2016,393
69.42,0,0,6,Barbados,0,18,202,4,291,DEN,0,202,2016,291
1.41,0,0,6,Bermuda,0,18,0,16,71,DEN,0,1,2016,71
235.22,0.292842919,0,3,Bolivia,0,18,0,18,10888,"DEN 1,2,4",75,25611,2016,10888
628.86,0.055619294,0.041,4,Brazil,539,18,292249,18,209568,"DEN 1,2,3,4",733,1317888,2016,209568
42.11,0,0,6,Cayman Islands,0,18,1,16,57,DEN 3,0,24,2016,57
0.22,0,0,4,Chile,0,18,0,8,18132,DEN 1,0,40,2016,18132
146.96,0,0,2,Costa Rica,0,18,0,18,4857,"DEN 1,2,3",0,7138,2016,4857
10.6,0,0,5,Cuba,0,18,1208,11,11393,"DEN 2,3",0,1208,2016,11393
247.3,0,0,6,Dominica,0,18,0,16,74,DEN,0,183,2016,74
40.1,10.98360656,0.562,5,Dominican Republic,24,18,0,18,10649,DEN,469,4270,2016,10649
26.31,0.324750638,0,3,Ecuador,0,18,4629,15,16385,"DEN 1,2,4",14,4311,2016,16385
72.39,2.315126995,0,2,El Salvador,0,18,71,18,6146,DEN 2,103,4449,2016,6146
228.26,0,0,6,French Guiana,0,18,15,14,276,"DEN 1,2",0,630,2016,276
18.02,0,0,6,Grenada,0,18,5,12,111,DEN 1,0,20,2016,111
27.6,0,0,6,Guadeloupe,0,18,23,16,471,DEN 1,0,130,2016,471
12.91,0,0,2,Guatemala,0,18,326,16,16673,"DEN 1,2,3,4",0,2152,2016,16673
39.3,0,0,6,Guyana,0,18,303,16,771,DEN,0,303,2016,771
116.2,1.744247137,0.011,2,Honduras,1,18,51,17,8190,DEN,166,9517,2016,8190
20.69,0.172413793,0,6,Jamaica,0,18,91,16,2803,"DEN 3,4",1,580,2016,2803
85.35,0,0,6,Martinique,0,18,28,16,396,"DEN 1,2,3",0,338,2016,396
0,,,6,Montserrat,0,18,0,12,5,  ,0,0,2016,5
220.99,0,0.052,2,Nicaragua,7,18,1441,16,6150,DEN 2,0,13591,2016,6150
23.08,0.108577633,0,2,Panama,0,18,451,18,3990,"DEN 1,2,3",1,921,2016,3990
555.14,0,0.043,4,Paraguay,16,18,2429,18,6725,"DEN 1,3,4",0,37333,2016,6725
3.26,0,0,5,Puerto Rico,0,18,120,18,3681,"DEN 1,2,3,4",0,120,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,18,91,16,9,DEN 1,0,580,2016,9
34.62,0,0,6,Saint Kitts and Nevis,0,18,0,18,52,DEN,0,18,2016,52
29.41,0,0,6,Anguilla,0,18,0,8,17,DEN,0,5,2016,17
41.46,0,0,6,Saint Lucia,0,18,3,16,164,DEN 1,0,68,2016,164
512.2,0,0,6,Saint Martin,0,18,1,16,41,DEN 2,0,210,2016,41
58.82,0,0,6,Saint Vincent and the Grenadines,0,18,3,12,102,DEN,0,60,2016,102
1.82,0,0,6,Suriname,0,18,1,18,548,DEN 1,0,10,2016,548
19.78,0,0,6,Trinidad and Tobago,0,18,4,18,1365,DEN 1,0,270,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,18,216,16,51,DEN,0,216,2016,51
0.12,0,0,1,United States of America,0,18,377,18,324119,DEN,0,377,2016,324119
,,,6,Aruba,,18,,-,114,  ,,,2016,114
,,,6,Haiti,,18,,-,10848,  ,,,2016,10848
,,,6,Virgin Islands (UK),,18,,-,34,  ,,,2016,34
0.12,0,0,1,North America,0,18,377,-,324119,  ,0,377,2016,324119
21.76,8.37799214,0.429,5,Latin Caribbean,24,18,1328,-,25723,  ,469,5598,2016,25723
47.13,0.025673941,0,6,Non-Latin Caribbean,0,18,998,-,8265,  ,1,3895,2016,20700
505.6,0.051461745,0.04,4,Southern Cone,566,18,330515,-,281716,  ,733,1424359,2016,281716
36.77,1.762319922,0.014,2,Central America Ithsmus and Mexico,9,18,5852,-,175005,  ,1134,64347,2016,175005
84.62,0.738514821,0.049,3,Andean Subregion,58,18,34609,-,139220,  ,870,117804,2016,139220
169.42,0.198406315,0.041,7,The Americas,657,18,373679,-,954048,  ,3207,1616380,2016,966483
