Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
633.24,,,2,Belize,,26,91,26,367,DEN 3,,2324,2016,367
786.72,0,0.03,4,Paraguay,16,26,2532,26,6725,"DEN 1,3,4",0,52907,2016,6725
49.53,10.12514221,0.512,5,Dominican Republic,27,26,0,26,10649,DEN,534,5274,2016,10649
38.82,0,0,4,Uruguay,0,26,26,26,3444,DEN 1,0,1337,2016,3444
677.02,0.055257575,0.04,4,Brazil,571,26,308876,26,209568,"DEN 1,2,3,4",784,1418810,2016,209568
72,0.400987045,0.132,3,Venezuela,30,26,4494,26,31519,"DEN 1,2,3,4",91,22694,2016,31519
22.34,0,0,6,Antigua and Barbuda,0,26,3,24,94,DEN 2,0,21,2016,94
172.66,0,0.015,4,Argentina,11,26,40287,26,43847,"DEN 1,4",0,75705,2016,43847
13.74,0,0,6,Bahamas,0,26,0,21,393,DEN,0,54,2016,393
378.35,0,0,6,Barbados,0,26,241,24,291,DEN,0,1101,2016,291
2.82,0,0,6,Bermuda,0,26,0,24,71,DEN,0,2,2016,71
247.09,0.096643497,0,3,Bolivia,0,26,3512,22,10888,"DEN 1,2,4",26,26903,2016,10888
152.94,0,0,6,Virgin Islands (UK),0,26,52,24,34,DEN,0,52,2016,34
,,,1,Canada,0,26,0,26,0,  ,0,0,2016,0
68.42,0,0,6,Cayman Islands,0,26,1,24,57,DEN 3,0,39,2016,57
0.22,0,0,4,Chile,0,26,0,8,18132,DEN 1,0,40,2016,18132
144.59,1.078891258,0.026,3,Colombia,18,26,21899,26,48654,"DEN 1,2,3,4",759,70350,2016,48654
208.94,0,0,2,Costa Rica,0,26,0,26,4857,"DEN 1,2,3",0,10148,2016,4857
12.27,0,0,5,Cuba,0,26,1398,26,11393,"DEN 2,3",0,1398,2016,11393
317.57,0,0,6,Dominica,0,26,0,24,74,DEN,0,235,2016,74
347.3,0,0,6,Dominica,0,26,0,24,74,0,0,257,2016,74
62.33,0.313356835,0.029,3,Ecuador,3,26,10212,26,16385,"DEN 1,2,4",32,10212,2016,16385
98.32,2.449114678,0.017,2,El Salvador,1,26,71,26,6146,DEN 2,148,6043,2016,6146
228.26,0,0,6,French Guiana,0,26,15,14,276,"DEN 1,2",0,630,2016,276
103.6,0,0,6,Grenada,0,26,17,20,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,26,23,16,471,DEN 1,0,130,2016,471
21.34,0,0,2,Guatemala,0,26,326,25,16673,"DEN 1,2,3,4",0,3558,2016,16673
39.3,0,0,6,Guyana,0,26,303,16,771,DEN,0,303,2016,771
192.82,1.361448835,0.006,2,Honduras,1,26,86,26,8190,DEN,215,15792,2016,8190
29.15,0.244798042,0,6,Jamaica,0,26,68,22,2803,"DEN 3,4",2,817,2016,2803
100.76,0,0,6,Martinique,0,26,28,20,396,"DEN 1,2,3",0,399,2016,396
28.02,3.371534811,0.019,2,Mexico,7,26,5045,26,128632,"DEN 1,2,3,4",1215,36037,2016,128632
80,0,0,6,Montserrat,0,26,0,24,5,DEN,0,4,2016,5
645.61,0,0,6,Aruba,0,26,58,24,114,DEN,0,736,2016,114
499.54,0,0.033,2,Nicaragua,10,26,3059,25,6150,DEN 2,0,30722,2016,6150
30.55,0.328137818,0.246,2,Panama,3,26,619,25,3990,"DEN 1,2,3",4,1219,2016,3990
82.53,0.324142928,0.103,3,Peru,27,26,12352,26,31774,"DEN 1,2, 3",85,26223,2016,31774
4.18,0,0,5,Puerto Rico,0,26,154,26,3681,"DEN 1,2,3,4",0,154,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,26,91,16,9,DEN 1,0,580,2016,9
44.23,0,0,6,Saint Kitts and Nevis,0,26,0,24,52,DEN,0,23,2016,52
47.06,0,0,6,Anguilla,0,26,0,24,17,DEN,0,8,2016,17
48.78,0,0,6,Saint Lucia,0,26,20,24,164,DEN 1,0,80,2016,164
512.2,0,0,6,Saint Martin,0,26,1,16,41,DEN 2,0,210,2016,41
97.06,0,0,6,Saint Vincent and the Grenadines,0,26,4,20,102,DEN,0,99,2016,102
1.82,0,0,6,Suriname,0,26,1,18,548,DEN 1,0,10,2016,548
29.82,0,0,6,Trinidad and Tobago,0,26,6,24,1365,"DEN 1,3",0,407,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,26,216,24,51,DEN,0,216,2016,51
0.16,0,0,1,United States of America,0,26,506,26,324119,DEN,0,506,2016,324119
8.74,0,0,6,Virgin Islands (US),0,26,9,26,103,DEN,0,9,2016,103
,,,6,Haiti,,26,,-,10848,  ,,,2016,10848
0.16,0,0,1,North America,0,26,506,-,324119,  ,0,506,2016,324119
26.54,7.823029593,0.396,5,Latin Caribbean,27,26,1552,-,25723,  ,534,6826,2016,25723
77.02,0.030595074,0,6,Non-Latin Caribbean,0,26,1157,-,8487,  ,2,6537,2016,20700
549.77,0.050619867,0.039,4,Southern Cone,598,26,351721,-,281716,  ,784,1548799,2016,281716
60.48,1.494666629,0.021,2,Central America Ithsmus and Mexico,22,26,9297,-,175005,  ,1582,105843,2016,175005
112.33,0.634983566,0.05,3,Andean Subregion,78,26,52469,-,139220,  ,993,156382,2016,139220
191.23,0.213437171,0.04,7,The Americas,725,26,416702,-,954270,  ,3895,1824893,2016,966483
