Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.74,0,0,6,Virgin Islands (US),0,9,9,9,103,DEN,0,9,2016,103
273.02,,,2,Belize,,9,70,9,367,DEN 3,,1002,2016,367
0.07,0,0,1,United States of America,0,9,241,9,324119,DEN,0,241,2016,324119
45.32,0.413049566,0.133,3,Venezuela,19,9,,9,31519,"DEN 1,2,3,4",59,14284,2016,31519
2.13,0,0,6,Antigua and Barbuda,0,9,2,4,94,DEN,0,2,2016,94
54.76,0,0,4,Argentina,0,9,10280,9,43847,"DEN 1,4",0,24012,2016,43847
69.42,0,0,6,Barbados,0,9,202,4,291,DEN,0,202,2016,291
0,,,6,Bermuda,0,9,0,8,71,  ,0,0,2016,71
327.45,0.061059047,0.042,4,Brazil,287,9,166824,9,209568,"DEN 1,2,3,4",419,686221,2016,209568
,,,1,Canada,0,9,0,9,0,  ,0,0,2016,0
0.22,0,0,4,Chile,0,9,0,8,18132,DEN 1,0,40,2016,18132
54.86,1.397474804,0,3,Colombia,0,9,8690,9,48654,"DEN 1,2,3,4",373,26691,2016,48654
116.57,0,0,2,Costa Rica,0,9,0,9,4857,"DEN1,2,3",0,5662,2016,4857
144.59,0,0,6,Dominica,0,9,0,4,74,DEN,0,107,2016,74
25.28,11.7756315,0.557,5,Dominican Republic,15,9,0,9,10649,DEN,317,2692,2016,10649
20.71,0.206307103,0,3,Ecuador,0,9,3393,9,16385,"DEN 1,2,4",7,3393,2016,16385
41.07,2.258320127,0,2,El Salvador,0,9,52,9,6146,DEN 2,57,2524,2016,6146
197.46,0,0,6,French Guiana,0,9,15,4,276,"DEN 1,2",0,545,2016,276
12.61,0,0,6,Grenada,0,9,5,8,111,DEN 1,0,14,2016,111
1.91,0,0,6,Guadeloupe,0,9,9,4,471,DEN,0,9,2016,471
7.07,0,0,2,Guatemala,0,9,243,8,16673,"DEN 1,2,3,4",0,1179,2016,16673
8.3,0,0,6,Guyana,0,9,64,4,771,DEN,0,64,2016,771
68.33,2.126518942,0.018,2,Honduras,1,9,0,9,8190,DEN,119,5596,2016,8190
12.2,0,0,6,Jamaica,0,9,36,9,2803,DEN,0,342,2016,2803
4.04,0,0,6,Martinique,0,9,16,4,396,DEN,0,16,2016,396
11.36,4.09112677,0,2,Mexico,0,9,2082,9,128632,"DEN1,2,3,4",598,14617,2016,128632
0,,,6,Montserrat,0,9,0,8,5,  ,0,0,2016,5
129.38,0,0.075,2,Nicaragua,6,9,1046,9,6150,DEN,0,7957,2016,6150
13.58,0.184501845,0,2,Panama,0,9,284,9,3990,"DEN 1,2,3",1,542,2016,3990
23.87,0.382283153,0.079,3,Peru,6,9,2339,9,31774,"DEN 1,2, 3",29,7586,2016,31774
61.62,0,0.241,4,Paraguay,10,9,1620,9,6725,"DEN 1,3,4",0,4144,2016,6725
2.28,0,0,5,Puerto Rico,0,9,84,9,3681,"DEN 1,2,3,4",0,84,2016,3681
288.89,0,0,6,Saint Barthelemy,0,9,26,4,9,DEN 1,0,26,2016,9
29.41,0,0,6,Anguilla,0,9,0,8,17,DEN,0,5,2016,17
0,,,6,Saint Martin,0,9,0,4,41,  ,0,0,2016,41
1.96,0,0,6,Saint Vincent and the Grenadines,0,9,2,4,102,DEN,0,2,2016,102
301.96,0,0,6,Turks and Caicos Islands,0,9,154,8,51,DEN,0,154,2016,51
27.18,0,0,4,Uruguay,0,9,18,9,3444,DEN 1,0,936,2016,3444
,,,6,Cayman Islands,,9,,-,57,  ,,,2016,57
,,,6,Aruba,,9,,-,114,  ,,,2016,114
,,,6,Haiti,,9,,-,10848,  ,,,2016,10848
,,,5,Cuba,,9,,-,11393,  ,,,2016,11393
,,,6,Saint Lucia,,9,,-,164,  ,,,2016,164
,,,6,Bahamas,,9,,-,393,  ,,,2016,393
,,,6,Trinidad and Tobago,,9,,-,1365,  ,,,2016,1365
,,,6,Saint Kitts and Nevis,,9,,-,52,  ,,,2016,52
,,,6,Suriname,,9,,-,548,  ,,,2016,548
,,,6,Virgin Islands (UK),,9,,-,34,  ,,,2016,34
,,,3,Bolivia,,9,,-,10888,  ,,,2016,10888
0.07,0,0,1,North America,0,9,241,-,324119,  ,0,241,2016,324119
19.37,11.41930836,0.54,5,Latin Caribbean,15,9,84,-,14330,  ,317,2776,2016,25723
26.33,0,0,6,Non-Latin Caribbean,0,9,540,-,5686,  ,0,1497,2016,20700
253.93,0.058572481,0.042,4,Southern Cone,297,9,178742,-,281716,  ,419,715353,2016,281716
22.33,1.983162312,0.018,2,Central America Ithsmus and Mexico,7,9,3777,-,175005,  ,775,39079,2016,175005
40.48,0.900796859,0.048,3,Andean Subregion,25,9,14422,-,128332,  ,468,51954,2016,139220
87.27,0.244049821,0.042,7,The Americas,344,9,197806,-,929188,  ,1979,810900,2016,966483
