Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
692.73,0.055588237,0.04,4,Brazil,584,38,312421,38,209568,"DEN 1,2,3,4",807,1451746,2016,209568
"1,023.98",,,2,Belize,,38,120,38,367,DEN 3,,3758,2016,367
5.05,0,0,5,Puerto Rico,0,38,186,38,3681,"DEN 1,2,3,4",0,186,2016,3681
8.74,0,0,6,Virgin Islands (US),0,38,9,38,103,DEN,0,9,2016,103
39.36,0,0,6,Antigua and Barbuda,0,38,3,36,94,DEN 2,0,37,2016,94
175.62,0,0.013,4,Argentina,10,38,41207,38,43847,"DEN 1,4",0,77002,2016,43847
226.97,0,0,6,Bahamas,0,38,76,29,393,DEN,0,892,2016,393
424.4,0,0,6,Barbados,0,38,349,36,291,DEN,0,1235,2016,291
2.82,0,0,6,Bermuda,0,38,0,36,71,DEN,0,2,2016,71
266.84,0.12046534,0.003,3,Bolivia,1,38,3552,38,10888,"DEN 1,2,4",35,29054,2016,10888
238.24,0,0,6,Virgin Islands (UK),0,38,81,36,34,DEN,0,81,2016,34
,,,1,Canada,0,38,0,38,0,  ,0,0,2016,0
189.47,0,0,6,Cayman Islands,0,38,1,36,57,DEN 3,0,108,2016,57
0.24,0,0,4,Chile,0,38,0,38,18132,DEN 1,0,43,2016,18132
187.29,1.004126246,0.036,3,Colombia,33,38,37423,38,48654,"DEN 1,2,3,4",915,91124,2016,48654
377.7,0,0,2,Costa Rica,0,38,0,38,4857,"DEN 1,2,3",0,18345,2016,4857
12.27,0,0,5,Cuba,0,38,1398,38,11393,"DEN 2,3",0,1398,2016,11393
381.08,0,0,6,Dominica,0,38,0,32,74,DEN,0,282,2016,74
429.73,0,0,6,Dominica,0,38,0,32,74,0,0,318,2016,74
56.99,9.919261822,0.494,5,Dominican Republic,30,38,0,38,10649,DEN,602,6069,2016,10649
79.66,0.275819798,0.031,3,Ecuador,4,38,13052,38,16385,"DEN 1,2,4",36,13052,2016,16385
127.43,2.298263534,0.013,2,El Salvador,1,38,104,38,6146,DEN 2,180,7832,2016,6146
737.32,0,0,6,French Guiana,0,38,12,35,276,"DEN 1,2",0,2035,2016,276
103.6,0,0,6,Grenada,0,38,24,28,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,38,23,16,471,DEN 1,0,130,2016,471
43.06,0.543251149,0.014,2,Guatemala,1,38,330,38,16673,"DEN 1,2,3,4",39,7179,2016,16673
39.3,0,0,6,Guyana,0,38,303,16,771,DEN,0,303,2016,771
248.11,1.289370079,0.01,2,Honduras,2,38,76,38,8190,DEN,262,20320,2016,8190
56.01,0.127388535,0,6,Jamaica,0,38,102,35,2803,"DEN 3,4",2,1570,2016,2803
109.09,0,0,6,Martinique,0,38,24,30,396,"DEN 1,2,3",0,432,2016,396
65.02,0.680369719,0.013,2,Mexico,11,38,10008,38,128632,"DEN 1,2,3,4",569,83631,2016,128632
80,0,0,6,Montserrat,0,38,0,28,5,DEN,0,4,2016,5
688.6,0,0,6,Aruba,0,38,64,29,114,DEN,0,785,2016,114
"1,127.14",0,0.023,2,Nicaragua,16,38,5190,38,6150,DEN 2,0,69319,2016,6150
96.47,0.337750065,0.234,2,Panama,9,38,1123,38,3990,"DEN 1,2,3",13,3849,2016,3990
"1,025.12",0.069626771,0.023,4,Paraguay,16,38,2537,38,6725,"DEN 1,3,4",48,68939,2016,6725
88.5,0.391166744,0.124,3,Peru,35,38,14694,38,31774,"DEN 1,2,3",110,28121,2016,31774
"6,444.44",0,0,6,Saint Barthelemy,0,38,91,16,9,DEN 1,0,580,2016,9
63.46,0,0,6,Saint Kitts and Nevis,0,38,0,36,52,DEN,0,33,2016,52
88.24,0,0,6,Anguilla,0,38,0,32,17,DEN,0,15,2016,17
90.85,0,0,6,Saint Lucia,0,38,49,36,164,DEN 1,0,149,2016,164
103.66,0,0,6,Saint Lucia,0,38,49,36,164,DEN 1,0,170,2016,164
512.2,0,0,6,Saint Martin,0,38,1,16,41,DEN 2,0,210,2016,41
149.02,0,0,6,Saint Vincent and the Grenadines,0,38,3,28,102,DEN,0,152,2016,102
2.55,0,0,6,Suriname,0,38,1,27,548,DEN 1,0,14,2016,548
43.3,0,0,6,Trinidad and Tobago,0,38,6,32,1365,"DEN 1,3",0,591,2016,1365
537.25,0,0,6,Turks and Caicos Islands,0,38,274,32,51,DEN,0,274,2016,51
0.26,0,0,1,United States of America,0,38,849,38,324119,DEN,0,849,2016,324119
38.82,0,0,4,Uruguay,0,38,26,38,3444,DEN 1,0,1337,2016,3444
84.36,0.368559609,0.135,3,Venezuela,36,38,4775,38,31519,"DEN 1,2,3,4",98,26590,2016,31519
,,,6,Haiti,,38,,-,10848,  ,,,2016,10848
0.26,0,0,1,North America,0,38,849,-,324119,  ,0,849,2016,324119
29.75,7.866196263,0.392,5,Latin Caribbean,30,38,1584,-,25723,  ,602,7653,2016,25723
121.67,0.01900057,0,6,Non-Latin Caribbean,0,38,1545,-,8651,  ,2,10526,2016,20700
567.62,0.053468679,0.038,4,Southern Cone,610,38,356191,-,281716,  ,855,1599067,2016,281716
122.42,0.496188729,0.019,2,Central America Ithsmus and Mexico,40,38,16951,-,175005,  ,1063,214233,2016,175005
135,0.635305761,0.058,3,Andean Subregion,109,38,73496,-,139220,  ,1194,187941,2016,139220
211.67,0.183935902,0.039,7,The Americas,789,38,450616,-,954434,  ,3716,2020269,2016,966483
