Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
48.22,0.764257268,0.016,2,Mexico,10,34,7497,34,128632,"DEN 1,2,3,4",474,62021,2016,128632
8.74,0,0,6,Virgin Islands (US),0,34,9,34,103,DEN,0,9,2016,103
865.67,,,2,Belize,,34,109,34,367,DEN 3,,3177,2016,367
688.81,0.055419624,0.04,4,Brazil,581,34,311609,34,209568,"DEN 1,2,3,4",800,1443532,2016,209568
5.03,0,0,5,Puerto Rico,0,34,185,34,3681,"DEN 1,2,3,4",0,185,2016,3681
176.79,1.01147501,0.037,3,Colombia,32,34,21899,34,48654,"DEN 1,2,3,4",870,86013,2016,48654
87.05,0.36877689,0.123,3,Peru,34,34,14374,34,31774,"DEN 1,2,3",102,27659,2016,31774
55.21,10.08674945,0.51,5,Dominican Republic,30,34,0,34,10649,DEN,593,5879,2016,10649
38.82,0,0,4,Uruguay,0,34,26,34,3444,DEN 1,0,1337,2016,3444
175.38,0,0.014,4,Argentina,11,34,41207,34,43847,"DEN 1,4",0,76898,2016,43847
81.28,0.378625239,0.133,3,Venezuela,34,34,,34,31519,"DEN 1,2,3,4",97,25619,2016,31519
39.36,0,0,6,Antigua and Barbuda,0,34,3,28,94,DEN 2,0,37,2016,94
226.97,0,0,6,Bahamas,0,34,76,29,393,DEN,0,892,2016,393
378.35,0,0,6,Barbados,0,34,241,24,291,DEN,0,1101,2016,291
2.82,0,0,6,Bermuda,0,34,0,28,71,DEN,0,2,2016,71
265.01,0.166354752,0,3,Bolivia,0,34,3512,32,10888,"DEN 1,2,4",48,28854,2016,10888
152.94,0,0,6,Virgin Islands (UK),0,34,52,24,34,DEN,0,52,2016,34
,,,1,Canada,0,34,0,34,0,  ,0,0,2016,0
91.23,0,0,6,Cayman Islands,0,34,52,30,57,DEN 3,0,52,2016,57
0.24,0,0,4,Chile,0,34,0,34,18132,DEN 1,0,43,2016,18132
328.37,0,0,2,Costa Rica,0,34,0,34,4857,"DEN 1,2,3",0,15949,2016,4857
12.27,0,0,5,Cuba,0,34,1398,26,11393,"DEN 2,3",0,1398,2016,11393
381.08,0,0,6,Dominica,0,34,0,32,74,DEN,0,282,2016,74
429.73,0,0,6,Dominica,0,34,0,32,74,0,0,318,2016,74
74.06,0.271963079,0.025,3,Ecuador,3,34,12134,32,16385,"DEN 1,2,4",33,12134,2016,16385
113.2,2.457956016,0.014,2,El Salvador,1,34,95,34,6146,DEN 2,171,6957,2016,6146
228.26,0,0,6,French Guiana,0,34,15,14,276,"DEN 1,2",0,630,2016,276
103.6,0,0,6,Grenada,0,34,24,28,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,34,23,16,471,DEN 1,0,130,2016,471
35.07,0.598597571,0,2,Guatemala,0,34,330,33,16673,"DEN 1,2,3,4",35,5847,2016,16673
39.3,0,0,6,Guyana,0,34,303,16,771,DEN,0,303,2016,771
230.54,1.260526455,0.011,2,Honduras,2,34,64,33,8190,DEN,238,18881,2016,8190
56.01,0.127388535,0,6,Jamaica,0,34,102,33,2803,"DEN 3,4",2,1570,2016,2803
109.09,0,0,6,Martinique,0,34,24,30,396,"DEN 1,2,3",0,432,2016,396
80,0,0,6,Montserrat,0,34,0,28,5,DEN,0,4,2016,5
688.6,0,0,6,Aruba,0,34,64,29,114,DEN,0,785,2016,114
"1,001.19",0,0.018,2,Nicaragua,11,34,4700,34,6150,DEN 2,0,61573,2016,6150
79.35,0.252684776,0.221,2,Panama,7,34,866,34,3990,"DEN 1,2,3",8,3166,2016,3990
"1,011.52",0.070562293,0.024,4,Paraguay,16,34,2536,34,6725,"DEN 1,3,4",48,68025,2016,6725
"6,444.44",0,0,6,Saint Barthelemy,0,34,91,16,9,DEN 1,0,580,2016,9
50,0,0,6,Saint Kitts and Nevis,0,34,0,32,52,DEN,0,26,2016,52
88.24,0,0,6,Anguilla,0,34,0,32,17,DEN,0,15,2016,17
68.29,0,0,6,Saint Lucia,0,34,32,28,164,DEN 1,0,112,2016,164
512.2,0,0,6,Saint Martin,0,34,1,16,41,DEN 2,0,210,2016,41
149.02,0,0,6,Saint Vincent and the Grenadines,0,34,3,28,102,DEN,0,152,2016,102
2.55,0,0,6,Suriname,0,34,1,27,548,DEN 1,0,14,2016,548
43.3,0,0,6,Trinidad and Tobago,0,34,6,32,1365,"DEN 1,3",0,591,2016,1365
537.25,0,0,6,Turks and Caicos Islands,0,34,274,32,51,DEN,0,274,2016,51
0.23,0,0,1,United States of America,0,34,759,34,324119,DEN,0,759,2016,324119
,,,6,Haiti,,34,,-,10848,  ,,,2016,10848
0.23,0,0,1,North America,0,34,759,-,324119,  ,0,759,2016,324119
29.01,7.946931118,0.402,5,Latin Caribbean,30,34,1583,-,25723,  ,593,7462,2016,25723
102.37,0.023020258,0,6,Non-Latin Caribbean,0,34,1396,-,8487,  ,2,8688,2016,20700
564.34,0.053338868,0.038,4,Southern Cone,608,34,355378,-,281716,  ,848,1589835,2016,281716
101.47,0.521481548,0.017,2,Central America Ithsmus and Mexico,31,34,13661,-,175005,  ,926,177571,2016,175005
129.49,0.637900144,0.057,3,Andean Subregion,103,34,51919,-,139220,  ,1150,180279,2016,139220
205.87,0.179120979,0.039,7,The Americas,772,34,424696,-,954270,  ,3519,1964594,2016,966483
