Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.74,0,0,6,Virgin Islands (US),0,19,9,19,103,DEN,0,9,2016,103
500.54,,,2,Belize,,19,84,19,367,DEN 3,,1837,2016,367
75.64,2.344590234,0,2,El Salvador,0,19,69,19,6146,DEN 2,109,4649,2016,6146
60.52,0.440343888,0.152,3,Venezuela,29,19,,19,31519,"DEN 1,2,3,4",84,19076,2016,31519
9.57,0,0,6,Antigua and Barbuda,0,19,2,16,94,DEN,0,9,2016,94
160.36,0,0.016,4,Argentina,11,19,37196,19,43847,"DEN 1,4",0,70311,2016,43847
7.38,0,0,6,Bahamas,0,19,0,12,393,DEN,0,29,2016,393
69.42,0,0,6,Barbados,0,19,202,4,291,DEN,0,202,2016,291
1.41,0,0,6,Bermuda,0,19,0,16,71,DEN,0,1,2016,71
235.22,0.292842919,0,3,Bolivia,0,19,0,18,10888,"DEN 1,2,4",75,25611,2016,10888
641.29,0.055285576,0.041,4,Brazil,545,19,297110,19,209568,"DEN 1,2,3,4",743,1343931,2016,209568
,,,1,Canada,0,19,0,19,0,  ,0,0,2016,0
42.11,0,0,6,Cayman Islands,0,19,1,16,57,DEN 3,0,24,2016,57
0.22,0,0,4,Chile,0,19,0,8,18132,DEN 1,0,40,2016,18132
109.95,1.20943622,0.022,3,Colombia,12,19,19486,19,48654,"DEN 1,2,3,4",647,53496,2016,48654
150.81,0,0,2,Costa Rica,0,19,0,19,4857,"DEN 1,2,3",0,7325,2016,4857
10.6,0,0,5,Cuba,0,19,1208,11,11393,"DEN 2,3",0,1208,2016,11393
247.3,0,0,6,Dominica,0,19,0,16,74,DEN,0,183,2016,74
40.84,10.94504484,0.552,5,Dominican Republic,24,19,0,19,10649,DEN,476,4349,2016,10649
43.98,0.319178462,0,3,Ecuador,0,19,4629,19,16385,"DEN 1,2,4",23,7206,2016,16385
228.26,0,0,6,French Guiana,0,19,15,14,276,"DEN 1,2",0,630,2016,276
18.02,0,0,6,Grenada,0,19,5,12,111,DEN 1,0,20,2016,111
27.6,0,0,6,Guadeloupe,0,19,23,16,471,DEN 1,0,130,2016,471
12.91,0,0,2,Guatemala,0,19,326,16,16673,"DEN 1,2,3,4",0,2152,2016,16673
39.3,0,0,6,Guyana,0,19,303,16,771,DEN,0,303,2016,771
132.64,1.657000829,0.009,2,Honduras,1,19,51,19,8190,DEN,180,10863,2016,8190
20.69,0.172413793,0,6,Jamaica,0,19,91,16,2803,"DEN 3,4",1,580,2016,2803
85.35,0,0,6,Martinique,0,19,28,16,396,"DEN 1,2,3",0,338,2016,396
20.07,3.428372201,0.004,2,Mexico,1,19,3558,19,128632,"DEN 1,2,3,4",885,25814,2016,128632
0,,,6,Montserrat,0,19,0,12,5,  ,0,0,2016,5
220.99,0,0.052,2,Nicaragua,7,19,1441,16,6150,DEN 2,0,13591,2016,6150
23.08,0.108577633,0,2,Panama,0,19,451,18,3990,"DEN 1,2,3",1,921,2016,3990
670.26,0,0.035,4,Paraguay,16,19,2467,19,6725,"DEN 1,3,4",0,45075,2016,6725
63.45,0.327364714,0.114,3,Peru,23,19,8046,19,31774,"DEN 1,2, 3",66,20161,2016,31774
3.31,0,0,5,Puerto Rico,0,19,122,19,3681,"DEN 1,2,3,4",0,122,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,19,91,16,9,DEN 1,0,580,2016,9
34.62,0,0,6,Saint Kitts and Nevis,0,19,0,18,52,DEN,0,18,2016,52
29.41,0,0,6,Anguilla,0,19,0,8,17,DEN,0,5,2016,17
41.46,0,0,6,Saint Lucia,0,19,3,16,164,DEN 1,0,68,2016,164
512.2,0,0,6,Saint Martin,0,19,1,16,41,DEN 2,0,210,2016,41
58.82,0,0,6,Saint Vincent and the Grenadines,0,19,3,12,102,DEN,0,60,2016,102
1.82,0,0,6,Suriname,0,19,1,18,548,DEN 1,0,10,2016,548
19.78,0,0,6,Trinidad and Tobago,0,19,4,18,1365,DEN 1,0,270,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,19,216,16,51,DEN,0,216,2016,51
0.12,0,0,1,United States of America,0,19,389,19,324119,DEN,0,389,2016,324119
38.82,0,0,4,Uruguay,0,19,26,19,3444,DEN 1,0,1337,2016,3444
,,,6,Aruba,,19,,-,114,  ,,,2016,114
,,,6,Haiti,,19,,-,10848,  ,,,2016,10848
,,,6,Virgin Islands (UK),,19,,-,34,  ,,,2016,34
0.12,0,0,1,North America,0,19,389,-,324119,  ,0,389,2016,324119
22.08,8.381757352,0.423,5,Latin Caribbean,24,19,1330,-,25723,  ,476,5679,2016,25723
47.13,0.025673941,0,6,Non-Latin Caribbean,0,19,998,-,8265,  ,1,3895,2016,20700
518.5,0.050866232,0.039,4,Southern Cone,572,19,336799,-,281716,  ,743,1460694,2016,281716
38.37,1.749761735,0.013,2,Central America Ithsmus and Mexico,9,19,5980,-,175005,  ,1175,67152,2016,175005
90.18,0.712863401,0.051,3,Andean Subregion,64,19,32161,-,139220,  ,895,125550,2016,139220
174.35,0.197792539,0.04,7,The Americas,669,19,377657,-,954048,  ,3290,1663359,2016,966483
