Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
700.22,0.055129797,0.04,4,Brazil,586,45,314295,45,209568,"DEN 1,2,3,4",809,1467446,2016,209568
"1,195.64",,,2,Belize,,45,120,45,367,DEN 3,,4388,2016,367
438.5,0,0,2,Costa Rica,0,45,0,45,4857,"DEN 1,2,3",0,21298,2016,4857
5.35,0,0,5,Puerto Rico,0,45,197,45,3681,"DEN 1,2,3,4",0,197,2016,3681
"1,039.05",0.068693114,0.023,4,Paraguay,16,45,2537,45,6725,"DEN 1,3,4",48,69876,2016,6725
38.82,0,0,4,Uruguay,0,45,26,45,3444,DEN 1,0,1337,2016,3444
9.71,0,0,6,Virgin Islands (US),0,45,10,45,103,DEN,0,10,2016,103
103.19,0,0,6,Antigua and Barbuda,0,45,3,44,94,DEN 2,0,97,2016,94
176.98,0,0.013,4,Argentina,10,45,41209,44,43847,"DEN 1,4",0,77601,2016,43847
226.97,0,0,6,Bahamas,0,45,76,29,393,DEN,0,892,2016,393
473.88,0,0,6,Barbados,0,45,401,40,291,DEN,0,1379,2016,291
2.82,0,0,6,Bermuda,0,45,0,44,71,DEN,0,2,2016,71
272.86,0.185129085,0.003,3,Bolivia,1,45,3552,45,10888,"DEN 1,2,4",55,29709,2016,10888
247.06,0,0,6,Virgin Islands (UK),0,45,81,40,34,DEN,0,84,2016,34
,,,1,Canada,0,45,0,45,0,  ,0,0,2016,0
256.14,0,0,6,Cayman Islands,0,45,2,44,57,DEN 3,0,146,2016,57
0.24,0,0,4,Chile,0,45,0,40,18132,DEN 1,0,43,2016,18132
200.45,0.99049494,0.04,3,Colombia,39,45,42512,45,48654,"DEN 1,2,3,4",966,97527,2016,48654
12.27,0,0,5,Cuba,0,45,1398,38,11393,"DEN 2,3",0,1398,2016,11393
381.08,0,0,6,Dominica,0,45,0,32,74,DEN,0,282,2016,74
429.73,0,0,6,Dominica,0,45,0,32,74,0,0,318,2016,74
59.94,9.760300799,0.501,5,Dominican Republic,32,45,0,45,10649,DEN,623,6383,2016,10649
83.41,0.270744914,0.029,3,Ecuador,4,45,13666,45,16385,"DEN 1,2,4",37,13666,2016,16385
135.8,2.372393961,0.012,2,El Salvador,1,45,114,45,6146,DEN 2,198,8346,2016,6146
189.13,0,0,6,French Guiana,0,45,9,39,276,"DEN 1,2",0,522,2016,276
130.63,0,0,6,Grenada,0,45,60,40,111,DEN 1,0,145,2016,111
37.58,0,0,6,Guadeloupe,0,45,15,39,471,DEN 1,0,177,2016,471
50.43,0.51135688,0.012,2,Guatemala,1,45,330,45,16673,"DEN 1,2,3,4",43,8409,2016,16673
39.3,0,0,6,Guyana,0,45,303,16,771,DEN,0,303,2016,771
268.23,1.351966497,0.014,2,Honduras,3,45,76,45,8190,DEN,297,21968,2016,8190
65.11,0.109589041,0,6,Jamaica,0,45,110,43,2803,"DEN 3,4",2,1825,2016,2803
39.9,0,0,6,Martinique,0,45,13,39,396,"DEN 1,2,3",0,158,2016,396
92.39,0.603327135,0.009,2,Mexico,11,45,15196,45,128632,"DEN 1,2,3,4",717,118841,2016,128632
320,0,0,6,Montserrat,0,45,0,44,5,DEN,0,16,2016,5
829.82,0,0,6,Aruba,0,45,78,41,114,DEN,0,946,2016,114
"1,307.84",0,0.02,2,Nicaragua,16,45,6192,45,6150,DEN 2,0,80432,2016,6150
134.41,0.242401641,0.168,2,Panama,9,45,1455,45,3990,"DEN 1,2,3",13,5363,2016,3990
94.14,0.401190198,0.124,3,Peru,37,45,15440,45,31774,"DEN 1,2,3",120,29911,2016,31774
866.67,0,0,6,Saint Barthelemy,0,45,58,39,9,DEN 1,0,78,2016,9
63.46,0,0,6,Saint Kitts and Nevis,0,45,0,36,52,DEN,0,33,2016,52
176.47,0,0,6,Anguilla,0,45,0,44,17,DEN,0,30,2016,17
90.85,0,0,6,Saint Lucia,0,45,49,36,164,DEN 1,0,149,2016,164
103.66,0,0,6,Saint Lucia,0,45,49,36,164,DEN 1,0,170,2016,164
70.73,0,0,6,Saint Martin,0,45,3,39,41,DEN 2,0,29,2016,41
232.35,0,0,6,Saint Vincent and the Grenadines,0,45,7,44,102,DEN,0,237,2016,102
2.55,0,0,6,Suriname,0,45,1,27,548,DEN 1,0,14,2016,548
43.3,0,0,6,Trinidad and Tobago,0,45,6,32,1365,"DEN 1,3",0,591,2016,1365
813.73,0,0,6,Turks and Caicos Islands,0,45,415,40,51,DEN,0,415,2016,51
0.29,0,0,1,United States of America,0,45,933,45,324119,DEN,0,933,2016,324119
89.32,0.380066068,0.135,3,Venezuela,38,45,5326,45,31519,"DEN 1,2,3,4",107,28153,2016,31519
,,,6,Haiti,,45,,-,10848,  ,,,2016,10848
0.29,0,0,1,North America,0,45,933,-,324119,  ,0,933,2016,324119
31.02,7.80897468,0.401,5,Latin Caribbean,32,45,1595,-,25723,  ,623,7978,2016,25723
104.59,0.022104332,0,6,Non-Latin Caribbean,0,45,1749,-,8651,  ,2,9048,2016,20700
573.73,0.053022237,0.038,4,Southern Cone,612,45,358067,-,281716,  ,857,1616303,2016,281716
153.74,0.471296623,0.015,2,Central America Ithsmus and Mexico,41,45,23483,-,175005,  ,1268,269045,2016,175005
142.91,0.645838988,0.06,3,Andean Subregion,119,45,80496,-,139220,  ,1285,198966,2016,139220
220.26,0.19193511,0.038,7,The Americas,804,45,466323,-,954434,  ,4035,2102273,2016,966483
