Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.74,0,0,6,Virgin Islands (US),0,29,9,29,103,DEN,0,9,2016,103
699.18,,,2,Belize,,29,96,29,367,DEN 3,,2566,2016,367
835.06,0.081911749,0.028,4,Paraguay,16,29,2536,29,6725,"DEN 1,3,4",46,56158,2016,6725
52.4,10.2688172,0.52,5,Dominican Republic,29,29,0,29,10649,DEN,573,5580,2016,10649
38.82,0,0,4,Uruguay,0,29,26,29,3444,DEN 1,0,1337,2016,3444
174.32,0,0.014,4,Argentina,11,29,40902,29,43847,"DEN 1,4",0,76435,2016,43847
682.57,0.055367347,0.04,4,Brazil,576,29,310166,29,209568,"DEN 1,2,3,4",792,1430446,2016,209568
76.15,0.387451569,0.129,3,Venezuela,31,29,,29,31519,"DEN 1,2,3,4",93,24003,2016,31519
39.36,0,0,6,Antigua and Barbuda,0,29,3,28,94,DEN 2,0,37,2016,94
226.97,0,0,6,Bahamas,0,29,76,29,393,DEN,0,892,2016,393
378.35,0,0,6,Barbados,0,29,241,24,291,DEN,0,1101,2016,291
2.82,0,0,6,Bermuda,0,29,0,28,71,DEN,0,2,2016,71
263.2,0.136092403,0,3,Bolivia,0,29,3512,27,10888,"DEN 1,2,4",39,28657,2016,10888
152.94,0,0,6,Virgin Islands (UK),0,29,52,24,34,DEN,0,52,2016,34
,,,1,Canada,0,29,0,29,0,  ,0,0,2016,0
68.42,0,0,6,Cayman Islands,0,29,1,24,57,DEN 3,0,39,2016,57
0.22,0,0,4,Chile,0,29,0,8,18132,DEN 1,0,40,2016,18132
157.72,1.045114546,0.027,3,Colombia,21,29,21899,29,48654,"DEN 1,2,3,4",802,76738,2016,48654
249.82,0,0,2,Costa Rica,0,29,0,29,4857,"DEN 1,2,3",0,12134,2016,4857
12.27,0,0,5,Cuba,0,29,1398,26,11393,"DEN 2,3",0,1398,2016,11393
317.57,0,0,6,Dominica,0,29,0,24,74,DEN,0,235,2016,74
347.3,0,0,6,Dominica,0,29,0,24,74,0,0,257,2016,74
70.26,0.277970813,0.026,3,Ecuador,3,29,11512,29,16385,"DEN 1,2,4",32,11512,2016,16385
104.05,2.392494136,0.016,2,El Salvador,1,29,72,29,6146,DEN 2,153,6395,2016,6146
228.26,0,0,6,French Guiana,0,29,15,14,276,"DEN 1,2",0,630,2016,276
103.6,0,0,6,Grenada,0,29,24,28,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,29,23,16,471,DEN 1,0,130,2016,471
26.77,0.58256778,0,2,Guatemala,0,29,326,29,16673,"DEN 1,2,3,4",26,4463,2016,16673
39.3,0,0,6,Guyana,0,29,303,16,771,DEN,0,303,2016,771
205.9,1.316491727,0.006,2,Honduras,1,29,86,28,8190,DEN,222,16863,2016,8190
48.31,0.147710487,0,6,Jamaica,0,29,102,28,2803,"DEN 3,4",2,1354,2016,2803
100.76,0,0,6,Martinique,0,29,28,20,396,"DEN 1,2,3",0,399,2016,396
32.64,3.317772591,0.024,2,Mexico,10,29,5802,29,128632,"DEN 1,2,3,4",1393,41986,2016,128632
80,0,0,6,Montserrat,0,29,0,28,5,DEN,0,4,2016,5
688.6,0,0,6,Aruba,0,29,64,29,114,DEN,0,785,2016,114
650.13,0,0.033,2,Nicaragua,13,29,3818,27,6150,DEN 2,0,39983,2016,6150
30.78,0.325732899,0.244,2,Panama,3,29,588,27,3990,"DEN 1,2,3",4,1228,2016,3990
85.62,0.308766771,0.099,3,Peru,27,29,13192,29,31774,"DEN 1,2,3",84,27205,2016,31774
4.65,0,0,5,Puerto Rico,0,29,171,29,3681,"DEN 1,2,3,4",0,171,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,29,91,16,9,DEN 1,0,580,2016,9
44.23,0,0,6,Saint Kitts and Nevis,0,29,0,24,52,DEN,0,23,2016,52
58.82,0,0,6,Anguilla,0,29,0,28,17,DEN,0,10,2016,17
68.29,0,0,6,Saint Lucia,0,29,32,28,164,DEN 1,0,112,2016,164
512.2,0,0,6,Saint Martin,0,29,1,16,41,DEN 2,0,210,2016,41
149.02,0,0,6,Saint Vincent and the Grenadines,0,29,3,28,102,DEN,0,152,2016,102
2.55,0,0,6,Suriname,0,29,1,27,548,DEN 1,0,14,2016,548
29.82,0,0,6,Trinidad and Tobago,0,29,6,24,1365,"DEN 1,3",0,407,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,29,216,24,51,DEN,0,216,2016,51
0.18,0,0,1,United States of America,0,29,595,29,324119,DEN,0,595,2016,324119
,,,6,Haiti,,29,,-,10848,  ,,,2016,10848
0.18,0,0,1,North America,0,29,595,-,324119,  ,0,595,2016,324119
27.79,8.015107008,0.406,5,Latin Caribbean,29,29,1569,-,25723,  ,573,7149,2016,25723
95.06,0.024789291,0,6,Non-Latin Caribbean,0,29,1291,-,8487,  ,2,8068,2016,20700
555.32,0.053566315,0.039,4,Southern Cone,603,29,353630,-,281716,  ,838,1564416,2016,281716
71.78,1.431323536,0.022,2,Central America Ithsmus and Mexico,28,29,10788,-,175005,  ,1798,125618,2016,175005
120.75,0.624572465,0.049,3,Andean Subregion,82,29,50115,-,139220,  ,1050,168115,2016,139220
196.38,0.227379332,0.04,7,The Americas,742,29,417988,-,954270,  ,4261,1873961,2016,966483
