Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.74,0,0,6,Virgin Islands (US),0,20,9,20,103,DEN,0,9,2016,103
520.71,,,2,Belize,,20,86,20,367,DEN 3,,1911,2016,367
61.97,0.435183289,0.148,3,Venezuela,29,20,4396,20,31519,"DEN 1,2,3,4",85,19532,2016,31519
15.96,0,0,6,Antigua and Barbuda,0,20,3,20,94,DEN 2,0,15,2016,94
167.16,0,0.015,4,Argentina,11,20,38873,20,43847,"DEN 1,4",0,73296,2016,43847
10.69,0,0,6,Bahamas,0,20,0,20,393,DEN,0,42,2016,393
378.35,0,0,6,Barbados,0,20,241,20,291,DEN,0,1101,2016,291
2.82,0,0,6,Bermuda,0,20,0,20,71,DEN,0,2,2016,71
235.22,0.292842919,0,3,Bolivia,0,20,3512,20,10888,"DEN 1,2,4",75,25611,2016,10888
651.26,0.055464946,0.041,4,Brazil,555,20,300848,20,209568,"DEN 1,2,3,4",757,1364826,2016,209568
,,,1,Canada,0,20,0,20,0,  ,0,0,2016,0
54.39,0,0,6,Cayman Islands,0,20,1,20,57,DEN 3,0,31,2016,57
0.22,0,0,4,Chile,0,20,0,8,18132,DEN 1,0,40,2016,18132
115.55,1.213069849,0.021,3,Colombia,12,20,20906,20,48654,"DEN 1,2,3,4",682,56221,2016,48654
155.92,0,0,2,Costa Rica,0,20,0,20,4857,"DEN 1,2,3",0,7573,2016,4857
10.6,0,0,5,Cuba,0,20,1208,11,11393,"DEN 2,3",0,1208,2016,11393
247.3,0,0,6,Dominica,0,20,0,16,74,DEN,0,183,2016,74
42,10.75340935,0.537,5,Dominican Republic,24,20,0,20,10649,DEN,481,4473,2016,10649
46.46,0.341565949,0.026,3,Ecuador,2,20,7612,20,16385,"DEN 1,2,4",26,7612,2016,16385
80.23,2.311904279,0,2,El Salvador,0,20,71,20,6146,DEN 2,114,4931,2016,6146
228.26,0,0,6,French Guiana,0,20,15,14,276,"DEN 1,2",0,630,2016,276
103.6,0,0,6,Grenada,0,20,17,20,111,DEN 1,0,115,2016,111
27.6,0,0,6,Guadeloupe,0,20,23,16,471,DEN 1,0,130,2016,471
14.58,0,0,2,Guatemala,0,20,326,20,16673,"DEN 1,2,3,4",0,2431,2016,16673
39.3,0,0,6,Guyana,0,20,303,16,771,DEN,0,303,2016,771
142.27,1.596292482,0.009,2,Honduras,1,20,86,20,8190,DEN,186,11652,2016,8190
24.9,0.143266476,0,6,Jamaica,0,20,67,20,2803,"DEN 3,4",1,698,2016,2803
100.76,0,0,6,Martinique,0,20,28,20,396,"DEN 1,2,3",0,399,2016,396
20.97,3.414778837,0.004,2,Mexico,1,20,3735,20,128632,"DEN 1,2,3,4",921,26971,2016,128632
40,0,0,6,Montserrat,0,20,0,20,5,DEN,0,2,2016,5
316.63,0,0.036,2,Nicaragua,7,20,2079,20,6150,DEN 2,0,19473,2016,6150
25.29,0,0,2,Panama,0,20,477,20,3990,"DEN 1,2,3",0,1009,2016,3990
720.46,0,0.033,4,Paraguay,16,20,2474,20,6725,"DEN 1,3,4",0,48451,2016,6725
65.38,0.332145952,0.116,3,Peru,24,20,9535,20,31774,"DEN 1,2, 3",69,20774,2016,31774
3.42,0,0,5,Puerto Rico,0,20,126,20,3681,"DEN 1,2,3,4",0,126,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,20,91,16,9,DEN 1,0,580,2016,9
34.62,0,0,6,Saint Kitts and Nevis,0,20,0,18,52,DEN,0,18,2016,52
29.41,0,0,6,Anguilla,0,20,0,8,17,DEN,0,5,2016,17
41.46,0,0,6,Saint Lucia,0,20,3,16,164,DEN 1,0,68,2016,164
512.2,0,0,6,Saint Martin,0,20,1,16,41,DEN 2,0,210,2016,41
97.06,0,0,6,Saint Vincent and the Grenadines,0,20,4,20,102,DEN,0,99,2016,102
1.82,0,0,6,Suriname,0,20,1,18,548,DEN 1,0,10,2016,548
19.78,0,0,6,Trinidad and Tobago,0,20,4,18,1365,DEN 1,0,270,2016,1365
423.53,0,0,6,Turks and Caicos Islands,0,20,216,16,51,DEN,0,216,2016,51
0.13,0,0,1,United States of America,0,20,407,20,324119,DEN,0,407,2016,324119
38.82,0,0,4,Uruguay,0,20,26,20,3444,DEN 1,0,1337,2016,3444
,,,6,Aruba,,20,,-,114,  ,,,2016,114
,,,6,Haiti,,20,,-,10848,  ,,,2016,10848
,,,6,Virgin Islands (UK),,20,,-,34,  ,,,2016,34
0.13,0,0,1,North America,0,20,407,-,324119,  ,0,407,2016,324119
22.58,8.283106595,0.413,5,Latin Caribbean,24,20,1334,-,25723,  ,481,5807,2016,25723
62.14,0.019470405,0,6,Non-Latin Caribbean,0,20,1027,-,8265,  ,1,5136,2016,20700
528.17,0.050875365,0.039,4,Southern Cone,582,20,342221,-,281716,  ,757,1487950,2016,281716
43.4,1.607615436,0.012,2,Central America Ithsmus and Mexico,9,20,6860,-,175005,  ,1221,75951,2016,175005
93.2,0.722157996,0.052,3,Andean Subregion,67,20,45961,-,139220,  ,937,129750,2016,139220
178.71,0.19923742,0.04,7,The Americas,682,20,397810,-,954048,  ,3397,1705001,2016,966483
