Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.74,0,0,6,Virgin Islands (US),0,16,9,16,103,DEN,0,9,2016,103
458.31,,,2,Belize,,16,83,16,367,DEN 3,,1682,2016,367
506.22,0,0.047,4,Paraguay,16,16,2287,16,6725,"DEN 1,3,4",0,34043,2016,6725
94.09,1.317197842,0.011,3,Colombia,5,16,16256,16,48654,"DEN 1,2,3,4",603,45779,2016,48654
52.56,0.32930188,0.114,3,Peru,19,16,6211,16,31774,"DEN 1,2, 3",55,16702,2016,31774
38.82,0,0,4,Uruguay,0,16,26,16,3444,DEN 1,0,1337,2016,3444
138.95,0,0,4,Argentina,0,16,31363,16,43847,"DEN 1,4",0,60925,2016,43847
,,,1,Canada,0,16,0,16,0,  ,0,0,2016,0
56.59,0.431686943,0.151,3,Venezuela,27,16,,16,31519,"DEN 1,2,3,4",77,17837,2016,31519
9.57,0,0,6,Antigua and Barbuda,0,16,2,16,94,DEN,0,9,2016,94
7.38,0,0,6,Bahamas,0,16,0,12,393,DEN,0,29,2016,393
69.42,0,0,6,Barbados,0,16,202,4,291,DEN,0,202,2016,291
1.41,0,0,6,Bermuda,0,16,0,16,71,DEN,0,1,2016,71
588.53,0.056349859,0.041,4,Brazil,500,16,274072,16,209568,"DEN 1,2,3,4",695,1233366,2016,209568
42.11,0,0,6,Cayman Islands,0,16,1,16,57,DEN 3,0,24,2016,57
0.22,0,0,4,Chile,0,16,0,8,18132,DEN 1,0,40,2016,18132
140.4,0,0,2,Costa Rica,0,16,0,16,4857,"DEN 1,2,3",0,6819,2016,4857
10.6,0,0,5,Cuba,0,16,1208,11,11393,"DEN 2,3",0,1208,2016,11393
247.3,0,0,6,Dominica,0,16,0,16,74,DEN,0,183,2016,74
34.98,11.22147651,0.564,5,Dominican Republic,21,16,0,16,10649,DEN,418,3725,2016,10649
26.31,0.324750638,0,3,Ecuador,0,16,4629,15,16385,"DEN 1,2,4",14,4311,2016,16385
63.07,2.038183695,0,2,El Salvador,0,16,60,16,6146,DEN 2,79,3876,2016,6146
228.26,0,0,6,French Guiana,0,16,15,14,276,"DEN 1,2",0,630,2016,276
18.02,0,0,6,Grenada,0,16,5,12,111,DEN 1,0,20,2016,111
27.6,0,0,6,Guadeloupe,0,16,23,16,471,DEN 1,0,130,2016,471
12.91,0,0,2,Guatemala,0,16,326,16,16673,"DEN 1,2,3,4",0,2152,2016,16673
39.3,0,0,6,Guyana,0,16,303,16,771,DEN,0,303,2016,771
108.45,1.801396082,0.011,2,Honduras,1,16,0,16,8190,DEN,160,8882,2016,8190
20.69,0.172413793,0,6,Jamaica,0,16,91,16,2803,"DEN 3,4",1,580,2016,2803
85.35,0,0,6,Martinique,0,16,28,16,396,"DEN 1,2,3",0,338,2016,396
17.73,3.61324271,0.004,2,Mexico,1,16,3160,16,128632,"DEN 1,2,3,4",824,22805,2016,128632
0,,,6,Montserrat,0,16,0,12,5,  ,0,0,2016,5
220.99,0,0.052,2,Nicaragua,7,16,1441,16,6150,DEN 2,0,13591,2016,6150
19.27,0.130039012,0,2,Panama,0,16,412,14,3990,"DEN 1,2,3",1,769,2016,3990
2.96,0,0,5,Puerto Rico,0,16,109,16,3681,"DEN 1,2,3,4",0,109,2016,3681
"6,444.44",0,0,6,Saint Barthelemy,0,16,91,16,9,DEN 1,0,580,2016,9
29.41,0,0,6,Anguilla,0,16,0,8,17,DEN,0,5,2016,17
41.46,0,0,6,Saint Lucia,0,16,3,16,164,DEN 1,0,68,2016,164
512.2,0,0,6,Saint Martin,0,16,1,16,41,DEN 2,0,210,2016,41
58.82,0,0,6,Saint Vincent and the Grenadines,0,16,3,12,102,DEN,0,60,2016,102
423.53,0,0,6,Turks and Caicos Islands,0,16,216,16,51,DEN,0,216,2016,51
0.11,0,0,1,United States of America,0,16,342,16,324119,DEN,0,342,2016,324119
,,,6,Aruba,,16,,-,114,  ,,,2016,114
,,,6,Haiti,,16,,-,10848,  ,,,2016,10848
,,,6,Trinidad and Tobago,,16,,-,1365,  ,,,2016,1365
,,,6,Saint Kitts and Nevis,,16,,-,52,  ,,,2016,52
,,,6,Suriname,,16,,-,548,  ,,,2016,548
,,,6,Virgin Islands (UK),,16,,-,34,  ,,,2016,34
,,,3,Bolivia,,16,,-,10888,  ,,,2016,10888
0.11,0,0,1,North America,0,16,342,-,324119,  ,0,342,2016,324119
19.6,8.290360968,0.417,5,Latin Caribbean,21,16,1317,-,25723,  ,418,5042,2016,25723
57.1,0.027800945,0,6,Non-Latin Caribbean,0,16,993,-,6300,  ,1,3597,2016,20700
472,0.052266996,0.039,4,Southern Cone,516,16,307748,-,281716,  ,695,1329711,2016,281716
34.61,1.75647121,0.015,2,Central America Ithsmus and Mexico,9,16,5482,-,175005,  ,1064,60576,2016,175005
65.95,0.885039407,0.06,3,Andean Subregion,51,16,27096,-,128332,  ,749,84629,2016,139220
157.66,0.197250887,0.04,7,The Americas,597,16,342978,-,941195,  ,2927,1483897,2016,966483
