Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
823.28,,,2,Belize,,34,263,34,348,DEN 2,,2865,2015,348
17.39,0,0,6,Antigua and Barbuda,0,34,6,28,92,DEN,0,16,2015,92
6.73,0,0,4,Argentina,0,34,255,34,42155,"DEN 1,4",0,2839,2015,42155
2.32,0,0,6,Bahamas,0,34,1,30,388,DEN,0,9,2015,388
33.33,0,0,6,Barbados,0,34,16,32,291,DEN 1,0,97,2015,291
0,,,6,Bermuda,0,34,0,32,70,  ,0,0,2015,70
490.91,0,0,6,Virgin Islands (UK),0,34,75,32,33,DEN,0,162,2015,33
,,,1,Canada,0,34,0,34,0,  ,0,0,2015,0
71.43,0,0,6,Cayman Islands,0,34,2,32,56,"DEN 2,3,4",0,40,2015,56
0.04,0,0,4,Chile,0,34,7,9,17924,DEN,0,7,2015,17924
124.07,1.35717889,0.078,3,Colombia,48,34,0,34,49529,"DEN 1,2,3,4",834,61451,2015,49529
96.28,0.124584718,0,2,Costa Rica,0,34,0,34,5002,"DEN 1,2,3",6,4816,2015,5002
33.78,0,0,6,Dominica,0,34,2,24,74,DEN,0,25,2015,74
45.61,1.090983944,1.091,5,Dominican Republic,53,34,0,34,10652,"DEN 2,3,4",53,4858,2015,10652
249.18,0.123664424,0.015,3,Ecuador,6,34,414,34,16226,"DEN 1,2,3,4",50,40432,2015,16226
361.08,0.831788993,0.004,2,El Salvador,1,34,5998,34,6426,"DEN 1,2,3",193,23203,2015,6426
359.92,0,0,6,French Guiana,0,34,311,24,262,"DEN 1,2,4",0,943,2015,262
9.91,0,0,6,Grenada,0,34,11,32,111,DEN,0,11,2015,111
7.45,0,0,6,Guadeloupe,0,34,7,25,470,DEN,0,35,2015,470
68.99,0.124843945,0.036,2,Guatemala,4,34,491,33,16255,"DEN 1,2,3,4",14,11214,2015,16255
17.57,0,0,6,Guyana,0,34,142,24,808,DEN,0,142,2015,808
0.53,0,0,6,Haiti,0,34,0,22,10604,"DEN 1,2,3,4",0,56,2015,10604
438.02,1.978373398,0,2,Honduras,0,34,0,34,8424,DEN,730,36899,2015,8424
1.17,0,0,6,Jamaica,0,34,3,33,2813,DEN 4,0,33,2015,2813
7.39,0,0,6,Martinique,0,34,8,25,406,DEN,0,30,2015,406
85.47,1.987219015,0.01,2,Mexico,11,34,11099,34,125236,"DEN 1,2,3,4",2127,107034,2015,125236
0,,,6,Montserrat,0,34,0,32,5,  ,0,0,2015,5
353.48,0.013564227,0.014,2,Nicaragua,3,34,781,33,6257,"DEN 2,3",3,22117,2015,6257
36.51,0.137362637,0.069,2,Panama,1,34,913,34,3988,"DEN 1,2,3",2,1456,2015,3988
548.47,0.012962099,0.005,4,Paraguay,2,34,5289,33,7033,"DEN 1,2,4",5,38574,2015,7033
32.04,0,0,5,Puerto Rico,0,34,30,34,3680,"DEN 1,2,3,4",0,1179,2015,3680
88.89,0,0,6,Saint Barthelemy,0,34,8,25,9,DEN,0,8,2015,9
9.62,0,0,6,Saint Kitts and Nevis,0,34,1,24,52,DEN,0,5,2015,52
50,0,0,6,Anguilla,0,34,2,28,16,DEN,0,8,2015,16
7.93,0,0,6,Saint Lucia,0,34,9,32,164,DEN 1,0,13,2015,164
246.34,0,0,6,Saint Martin,0,34,42,25,41,DEN,0,101,2015,41
0.97,0,0,6,Saint Vincent and the Grenadines,0,34,1,28,103,DEN,0,1,2015,103
0.36,0,0,6,Suriname,0,34,2,21,548,DEN,0,2,2015,548
2.08,0,0,6,Trinidad and Tobago,0,34,1,4,1347,DEN 1,0,28,2015,1347
192,0,0,6,Turks and Caicos Islands,0,34,96,24,50,DEN,0,96,2015,50
0.08,0,0,1,United States of America,0,34,253,34,325128,DEN,0,253,2015,325128
2.88,0,0,6,Virgin Islands (US),0,34,3,34,104,DEN,0,3,2015,104
0,,,4,Uruguay,0,34,0,34,3430,  ,0,0,2015,3430
52.75,0.521022658,0,3,Venezuela,0,34,0,30,31293,"DEN 1,2,3,4",86,16506,2015,31293
203.95,0.324660885,,3,Bolivia,,34,,34,11025,"DEN 1,4",73,22485,2015,11025
113.21,0.32600068,0.111,3,Peru,39,34,17056,34,31161,"DEN 2,3",115,35276,2015,31161
731.93,0.099890583,0.055,4,Brazil,820,34,409221,34,203657,"DEN 1,2,3,4",1489,1490631,2015,203657
,,,6,Aruba,,34,,-,112,  ,,,2015,112
,,,5,Cuba,,34,,-,11249,  ,,,2015,11249
0.08,0,0,1,North America,0,34,253,-,325128,  ,0,253,2015,325128
42.12,0.877919496,0.878,5,Latin Caribbean,53,34,30,-,14332,  ,53,6037,2015,25581
9.85,0,0,6,Non-Latin Caribbean,0,34,749,-,18917,  ,0,1864,2015,19029
558.74,0.097516336,0.054,4,Southern Cone,822,34,414772,-,274199,  ,1494,1532051,2015,274199
121.91,1.467052155,0.01,2,Central America Ithsmus and Mexico,20,34,19545,-,171936,  ,3075,209604,2015,171936
126.51,0.657394266,0.053,3,Andean Subregion,93,34,17470,-,139234,  ,1158,176150,2015,139234
204.08,0.300110231,0.051,7,The Americas,988,34,452819,-,943746,  ,5780,1925959,2015,955107
