Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
479.02,,,2,Belize,,25,151,25,348,DEN 2,,1667,2015,348
15.22,0,0,6,Antigua and Barbuda,0,25,6,20,92,DEN,0,14,2015,92
6.16,0,0,4,Argentina,0,25,242,25,42155,"DEN 1,4",0,2595,2015,42155
1.29,0,0,6,Bahamas,0,25,1,12,388,DEN,0,5,2015,388
33.33,0,0,6,Barbados,0,25,16,20,291,DEN 1,0,97,2015,291
0,,,6,Bermuda,0,25,0,20,70,  ,0,0,2015,70
696.27,0.099506838,0.055,4,Brazil,773,25,360331,25,203657,"DEN 1,2,3,4",1411,1417993,2015,203657
118.18,0,0,6,Virgin Islands (UK),0,25,27,20,33,DEN,0,39,2015,33
,,,1,Canada,0,25,0,25,0,  ,0,0,2015,0
42.86,0,0,6,Cayman Islands,0,25,1,24,56,"DEN 2,3,4",0,24,2015,56
0.04,0,0,4,Chile,0,25,7,9,17924,DEN,0,7,2015,17924
106.01,1.207435058,0.063,3,Colombia,33,25,0,25,49529,"DEN 1,2,3,4",634,52508,2015,49529
37.7,0,0,2,Costa Rica,0,25,0,25,5002,"DEN 1,2,3",0,1886,2015,5002
33.78,0,0,6,Dominica,0,25,2,24,74,DEN,0,25,2015,74
22.97,1.34859011,1.349,5,Dominican Republic,33,25,0,25,10652,"DEN 2,3,4",33,2447,2015,10652
70.22,0.105318589,0.018,3,Ecuador,2,25,414,17,16226,"DEN 1,2,3,4",12,11394,2015,16226
128.65,0.556429176,0,2,El Salvador,0,25,1566,25,6426,"DEN 1,2,3",46,8267,2015,6426
359.92,0,0,6,French Guiana,0,25,311,24,262,"DEN 1,2,4",0,943,2015,262
6.31,0,0,6,Grenada,0,25,7,20,111,DEN,0,7,2015,111
7.45,0,0,6,Guadeloupe,0,25,7,25,470,DEN,0,35,2015,470
41.88,0.073453798,0.029,2,Guatemala,2,25,3188,25,16255,"DEN 1,2,3,4",5,6807,2015,16255
17.57,0,0,6,Guyana,0,25,142,24,808,DEN,0,142,2015,808
0.53,0,0,6,Haiti,0,25,0,22,10604,"DEN 1,2,3,4",0,56,2015,10604
321.66,2.243790826,0,2,Honduras,0,25,0,25,8424,DEN,608,27097,2015,8424
0.82,0,0,6,Jamaica,0,25,3,25,2813,DEN 4,0,23,2015,2813
7.39,0,0,6,Martinique,0,25,8,25,406,DEN,0,30,2015,406
36.21,2.533962597,0.013,2,Mexico,6,25,5681,25,125236,"DEN 1,2,3,4",1149,45344,2015,125236
0,,,6,Montserrat,0,25,0,24,5,  ,0,0,2015,5
187.5,0,0,2,Nicaragua,0,25,160,23,6257,"DEN 2,3",0,11732,2015,6257
19.28,0,0,2,Panama,0,25,459,25,3988,"DEN 1,2,3",0,769,2015,3988
566.33,0,0,4,Paraguay,0,25,7893,25,7033,"DEN 1,2,4",0,39830,2015,7033
94.57,0.346114693,0.105,3,Peru,31,25,13890,25,31161,"DEN 2,3",102,29470,2015,31161
24.32,0,0,5,Puerto Rico,0,25,25,25,3680,"DEN 1,2,3,4",0,895,2015,3680
88.89,0,0,6,Saint Barthelemy,0,25,8,25,9,DEN,0,8,2015,9
9.62,0,0,6,Saint Kitts and Nevis,0,25,1,24,52,DEN,0,5,2015,52
50,0,0,6,Anguilla,0,25,2,20,16,DEN,0,8,2015,16
6.1,0,0,6,Saint Lucia,0,25,10,24,164,DEN 1,0,10,2015,164
246.34,0,0,6,Saint Martin,0,25,42,25,41,DEN,0,101,2015,41
0,,,6,Saint Vincent and the Grenadines,0,25,0,24,103,  ,0,0,2015,103
0.36,0,0,6,Suriname,0,25,2,21,548,DEN,0,2,2015,548
2.08,0,0,6,Trinidad and Tobago,0,25,1,4,1347,DEN 1,0,28,2015,1347
192,0,0,6,Turks and Caicos Islands,0,25,96,24,50,DEN,0,96,2015,50
0.01,0,0,1,United States of America,0,25,30,25,325128,DEN,0,30,2015,325128
2.88,0,0,6,Virgin Islands (US),0,25,3,25,104,DEN,0,3,2015,104
0,,,4,Uruguay,0,25,0,24,3430,  ,0,0,2015,3430
195.66,0.310602197,,3,Bolivia,,25,,25,11025,"DEN 1,4",67,21571,2015,11025
,,,6,Aruba,,25,,-,112,  ,,,2015,112
,,,3,Venezuela,,25,,-,31293,  ,,,2015,31293
,,,5,Cuba,,25,,-,11249,  ,,,2015,11249
0.01,0,0,1,North America,0,25,30,-,325128,  ,0,30,2015,325128
23.32,0.987432675,0.987,5,Latin Caribbean,33,25,25,-,14332,  ,33,3342,2015,25581
8.99,0,0,6,Non-Latin Caribbean,0,25,696,-,18917,  ,0,1701,2015,19029
532.61,0.096615711,0.053,4,Southern Cone,773,25,368473,-,274199,  ,1411,1460425,2015,274199
60.24,1.745696106,0.008,2,Central America Ithsmus and Mexico,8,25,11205,-,171936,  ,1808,103569,2015,171936
106.49,0.709047093,0.057,3,Andean Subregion,66,25,14304,-,107941,  ,815,114943,2015,139234
184.56,0.241506879,0.052,7,The Americas,880,25,394733,-,912453,  ,4067,1684010,2015,955107
