Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
562.93,,,2,Belize,,28,173,28,348,DEN 2,,1959,2015,348
17.39,0,0,6,Antigua and Barbuda,0,28,6,28,92,DEN,0,16,2015,92
6.3,0,0,4,Argentina,0,28,244,28,42155,"DEN 1,4",0,2655,2015,42155
1.29,0,0,6,Bahamas,0,28,1,12,388,DEN,0,5,2015,388
33.33,0,0,6,Barbados,0,28,16,20,291,DEN 1,0,97,2015,291
0,,,6,Bermuda,0,28,0,20,70,  ,0,0,2015,70
199.72,0.308824197,,3,Bolivia,,28,,28,11025,"DEN 1,4",68,22019,2015,11025
118.18,0,0,6,Virgin Islands (UK),0,28,27,20,33,DEN,0,39,2015,33
,,,1,Canada,0,28,0,28,0,  ,0,0,2015,0
42.86,0,0,6,Cayman Islands,0,28,1,24,56,"DEN 2,3,4",0,24,2015,56
0.04,0,0,4,Chile,0,28,7,9,17924,DEN,0,7,2015,17924
110.85,1.271286768,0.067,3,Colombia,37,28,0,28,49529,"DEN 1,2,3,4",698,54905,2015,49529
52.5,0,0,2,Costa Rica,0,28,0,28,5002,"DEN 1,2,3",0,2626,2015,5002
33.78,0,0,6,Dominica,0,28,2,24,74,DEN,0,25,2015,74
27.98,1.342281879,1.342,5,Dominican Republic,40,28,0,28,10652,"DEN 2,3,4",40,2980,2015,10652
225.77,0.128296118,0.014,3,Ecuador,5,28,414,28,16226,"DEN 1,2,3,4",47,36634,2015,16226
191.63,0.576579503,0,2,El Salvador,0,28,2172,28,6426,"DEN 1,2,3",71,12314,2015,6426
359.92,0,0,6,French Guiana,0,28,311,24,262,"DEN 1,2,4",0,943,2015,262
6.31,0,0,6,Grenada,0,28,7,20,111,DEN,0,7,2015,111
7.45,0,0,6,Guadeloupe,0,28,7,25,470,DEN,0,35,2015,470
54.27,0.068011789,0.045,2,Guatemala,4,28,227,27,16255,"DEN 1,2,3,4",6,8822,2015,16255
17.57,0,0,6,Guyana,0,28,142,24,808,DEN,0,142,2015,808
0.53,0,0,6,Haiti,0,28,0,22,10604,"DEN 1,2,3,4",0,56,2015,10604
372.8,2.063365706,0,2,Honduras,0,28,0,28,8424,DEN,648,31405,2015,8424
1.03,0,0,6,Jamaica,0,28,3,27,2813,DEN 4,0,29,2015,2813
7.39,0,0,6,Martinique,0,28,8,25,406,DEN,0,30,2015,406
49.12,2.288686606,0.018,2,Mexico,11,28,7136,28,125236,"DEN 1,2,3,4",1408,61520,2015,125236
0,,,6,Montserrat,0,28,0,24,5,  ,0,0,2015,5
251.89,0.006344775,0.006,2,Nicaragua,1,28,289,28,6257,"DEN 2,3",1,15761,2015,6257
24.82,0.101010101,0,2,Panama,0,28,589,28,3988,"DEN 1,2,3",1,990,2015,3988
522.78,0.013599151,0.005,4,Paraguay,2,28,3736,27,7033,"DEN 1,2,4",5,36767,2015,7033
105.68,0.312775197,0.097,3,Peru,32,28,15155,28,31161,"DEN 2,3",103,32931,2015,31161
26.74,0,0,5,Puerto Rico,0,28,25,28,3680,"DEN 1,2,3,4",0,984,2015,3680
88.89,0,0,6,Saint Barthelemy,0,28,8,25,9,DEN,0,8,2015,9
9.62,0,0,6,Saint Kitts and Nevis,0,28,1,24,52,DEN,0,5,2015,52
50,0,0,6,Anguilla,0,28,2,28,16,DEN,0,8,2015,16
7.93,0,0,6,Saint Lucia,0,28,10,28,164,DEN 1,0,13,2015,164
246.34,0,0,6,Saint Martin,0,28,42,25,41,DEN,0,101,2015,41
0.97,0,0,6,Saint Vincent and the Grenadines,0,28,1,28,103,DEN,0,1,2015,103
0.36,0,0,6,Suriname,0,28,2,21,548,DEN,0,2,2015,548
2.08,0,0,6,Trinidad and Tobago,0,28,1,4,1347,DEN 1,0,28,2015,1347
192,0,0,6,Turks and Caicos Islands,0,28,96,24,50,DEN,0,96,2015,50
0.07,0,0,1,United States of America,0,28,220,28,325128,DEN,0,220,2015,325128
2.88,0,0,6,Virgin Islands (US),0,28,3,28,104,DEN,0,3,2015,104
0,,,4,Uruguay,0,28,0,28,3430,  ,0,0,2015,3430
48.75,0.550639135,0,3,Venezuela,0,28,0,28,31293,"DEN 1,2,3,4",84,15255,2015,31293
712.18,0.100110176,0.055,4,Brazil,796,28,360331,28,203657,"DEN 1,2,3,4",1452,1450402,2015,203657
,,,6,Aruba,,28,,-,112,  ,,,2015,112
,,,5,Cuba,,28,,-,11249,  ,,,2015,11249
0.07,0,0,1,North America,0,28,220,-,325128,  ,0,220,2015,325128
27.66,1.009081736,1.009,5,Latin Caribbean,40,28,25,-,14332,  ,40,3964,2015,25581
9.06,0,0,6,Non-Latin Caribbean,0,28,697,-,18917,  ,0,1713,2015,19029
543.34,0.097796327,0.054,4,Southern Cone,798,28,364318,-,274199,  ,1457,1489831,2015,274199
78.75,1.576844391,0.012,2,Central America Ithsmus and Mexico,16,28,10586,-,171936,  ,2135,135397,2015,171936
116.17,0.618260956,0.046,3,Andean Subregion,74,28,15569,-,139234,  ,1000,161744,2015,139234
189.97,0.258356857,0.052,7,The Americas,928,28,391415,-,943746,  ,4632,1792869,2015,955107
