Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
608.91,,,2,Belize,,29,189,29,348,DEN 2,,2119,2015,348
17.39,0,0,6,Antigua and Barbuda,0,29,6,28,92,DEN,0,16,2015,92
6.36,0,0,4,Argentina,0,29,244,29,42155,"DEN 1,4",0,2682,2015,42155
1.29,0,0,6,Bahamas,0,29,1,12,388,DEN,0,5,2015,388
33.33,0,0,6,Barbados,0,29,16,20,291,DEN 1,0,97,2015,291
0,,,6,Bermuda,0,29,0,20,70,  ,0,0,2015,70
118.18,0,0,6,Virgin Islands (UK),0,29,27,20,33,DEN,0,39,2015,33
,,,1,Canada,0,29,0,29,0,  ,0,0,2015,0
42.86,0,0,6,Cayman Islands,0,29,1,24,56,"DEN 2,3,4",0,24,2015,56
0.04,0,0,4,Chile,0,29,7,9,17924,DEN,0,7,2015,17924
113.97,1.25068646,0.067,3,Colombia,38,29,0,29,49529,"DEN 1,2,3,4",706,56449,2015,49529
58.3,0,0,2,Costa Rica,0,29,0,29,5002,"DEN 1,2,3",0,2916,2015,5002
33.78,0,0,6,Dominica,0,29,2,24,74,DEN,0,25,2015,74
30.39,1.235712079,1.236,5,Dominican Republic,40,29,0,29,10652,"DEN 2,3,4",40,3237,2015,10652
240.74,0.12031846,0.013,3,Ecuador,5,29,414,29,16226,"DEN 1,2,3,4",47,39063,2015,16226
217.96,0.728259317,0.007,2,El Salvador,1,29,3078,29,6426,"DEN 1,2,3",102,14006,2015,6426
359.92,0,0,6,French Guiana,0,29,311,24,262,"DEN 1,2,4",0,943,2015,262
6.31,0,0,6,Grenada,0,29,7,20,111,DEN,0,7,2015,111
7.45,0,0,6,Guadeloupe,0,29,7,25,470,DEN,0,35,2015,470
51.37,0.071847683,0.048,2,Guatemala,4,29,309,29,16255,"DEN 1,2,3,4",6,8351,2015,16255
17.57,0,0,6,Guyana,0,29,142,24,808,DEN,0,142,2015,808
0.53,0,0,6,Haiti,0,29,0,22,10604,"DEN 1,2,3,4",0,56,2015,10604
387.13,2.011529498,0,2,Honduras,0,29,0,29,8424,DEN,656,32612,2015,8424
1.03,0,0,6,Jamaica,0,29,3,27,2813,DEN 4,0,29,2015,2813
7.39,0,0,6,Martinique,0,29,8,25,406,DEN,0,30,2015,406
54.37,2.242587126,0.016,2,Mexico,11,29,7702,29,125236,"DEN 1,2,3,4",1527,68091,2015,125236
0,,,6,Montserrat,0,29,0,24,5,  ,0,0,2015,5
264.78,0.006036096,0.006,2,Nicaragua,1,29,301,29,6257,"DEN 2,3",1,16567,2015,6257
26.33,0.095238095,0,2,Panama,0,29,624,29,3988,"DEN 1,2,3",1,1050,2015,3988
522.78,0.013599151,0.005,4,Paraguay,2,29,3736,27,7033,"DEN 1,2,4",5,36767,2015,7033
107.3,0.308060416,0.096,3,Peru,32,29,15155,29,31161,"DEN 2,3",103,33435,2015,31161
27.26,0,0,5,Puerto Rico,0,29,25,29,3680,"DEN 1,2,3,4",0,1003,2015,3680
88.89,0,0,6,Saint Barthelemy,0,29,8,25,9,DEN,0,8,2015,9
9.62,0,0,6,Saint Kitts and Nevis,0,29,1,24,52,DEN,0,5,2015,52
50,0,0,6,Anguilla,0,29,2,28,16,DEN,0,8,2015,16
7.93,0,0,6,Saint Lucia,0,29,10,28,164,DEN 1,0,13,2015,164
246.34,0,0,6,Saint Martin,0,29,42,25,41,DEN,0,101,2015,41
0.97,0,0,6,Saint Vincent and the Grenadines,0,29,1,28,103,DEN,0,1,2015,103
0.36,0,0,6,Suriname,0,29,2,21,548,DEN,0,2,2015,548
2.08,0,0,6,Trinidad and Tobago,0,29,1,4,1347,DEN 1,0,28,2015,1347
192,0,0,6,Turks and Caicos Islands,0,29,96,24,50,DEN,0,96,2015,50
0.07,0,0,1,United States of America,0,29,236,29,325128,DEN,0,236,2015,325128
2.88,0,0,6,Virgin Islands (US),0,29,3,29,104,DEN,0,3,2015,104
0,,,4,Uruguay,0,29,0,29,3430,  ,0,0,2015,3430
50.62,0.530336511,0,3,Venezuela,0,29,0,29,31293,"DEN 1,2,3,4",84,15839,2015,31293
200.57,0.307511419,,3,Bolivia,,29,,29,11025,"DEN 1,4",68,22113,2015,11025
716.46,0.100129394,0.055,4,Brazil,801,29,360331,29,203657,"DEN 1,2,3,4",1461,1459112,2015,203657
,,,6,Aruba,,29,,-,112,  ,,,2015,112
,,,5,Cuba,,29,,-,11249,  ,,,2015,11249
0.07,0,0,1,North America,0,29,236,-,325128,  ,0,236,2015,325128
29.58,0.943396226,0.943,5,Latin Caribbean,40,29,25,-,14332,  ,40,4240,2015,25581
9.06,0,0,6,Non-Latin Caribbean,0,29,697,-,18917,  ,0,1713,2015,19029
546.53,0.097826725,0.054,4,Southern Cone,803,29,364318,-,274199,  ,1466,1498568,2015,274199
84.75,1.573652136,0.012,2,Central America Ithsmus and Mexico,17,29,12203,-,171936,  ,2293,145712,2015,171936
119.87,0.603958082,0.045,3,Andean Subregion,75,29,15569,-,139234,  ,1008,166899,2015,139234
192.57,0.264503392,0.051,7,The Americas,935,29,393048,-,943746,  ,4807,1817368,2015,955107
