Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
970.11,,,2,Belize,,37,327,37,348,DEN 2,,3376,2015,348
17.39,0,0,6,Antigua and Barbuda,0,37,6,28,92,DEN,0,16,2015,92
7.29,0,0,4,Argentina,0,37,258,37,42155,"DEN 1,4",0,3074,2015,42155
2.32,0,0,6,Bahamas,0,37,1,30,388,DEN,0,9,2015,388
33.33,0,0,6,Barbados,0,37,16,32,291,DEN 1,0,97,2015,291
0,,,6,Bermuda,0,37,0,32,70,  ,0,0,2015,70
490.91,0,0,6,Virgin Islands (UK),0,37,75,32,33,DEN,0,162,2015,33
,,,1,Canada,0,37,0,37,0,  ,0,0,2015,0
71.43,0,0,6,Cayman Islands,0,37,2,32,56,"DEN 2,3,4",0,40,2015,56
0.04,0,0,4,Chile,0,37,7,9,17924,DEN,0,7,2015,17924
132.32,1.306172274,0.076,3,Colombia,50,37,0,37,49529,"DEN 1,2,3,4",856,65535,2015,49529
122.77,0.097703957,0,2,Costa Rica,0,37,0,37,5002,"DEN 1,2,3",6,6141,2015,5002
33.78,0,0,6,Dominica,0,37,2,24,74,DEN,0,25,2015,74
58.84,1.16464582,1.165,5,Dominican Republic,73,37,0,37,10652,"DEN 2,3,4",73,6268,2015,10652
244.87,0.128360012,0.015,3,Ecuador,6,37,1274,37,16226,"DEN 1,2,3,4",51,39732,2015,16226
467.72,0.841762044,0.007,2,El Salvador,2,37,7887,37,6426,"DEN 1,2,3",253,30056,2015,6426
359.92,0,0,6,French Guiana,0,37,311,37,262,"DEN 1,2,4",0,943,2015,262
9.91,0,0,6,Grenada,0,37,11,32,111,DEN,0,11,2015,111
7.45,0,0,6,Guadeloupe,0,37,14,37,470,DEN,0,35,2015,470
75.55,0.13028255,0.041,2,Guatemala,5,37,468,35,16255,"DEN 1,2,3,4",16,12281,2015,16255
17.57,0,0,6,Guyana,0,37,142,24,808,DEN,0,142,2015,808
0.53,0,0,6,Haiti,0,37,0,22,10604,"DEN 1,2,3,4",0,56,2015,10604
453.99,2.021232089,0,2,Honduras,0,37,0,37,8424,DEN,773,38244,2015,8424
1.17,0,0,6,Jamaica,0,37,3,33,2813,DEN 4,0,33,2015,2813
7.39,0,0,6,Martinique,0,37,8,37,406,DEN,0,30,2015,406
104.79,2.050457562,0.013,2,Mexico,17,37,13953,37,125236,"DEN 1,2,3,4",2691,131239,2015,125236
0,,,6,Montserrat,0,37,0,32,5,  ,0,0,2015,5
421.7,0.015159554,0.015,2,Nicaragua,4,37,721,36,6257,"DEN 2,3",4,26386,2015,6257
41.12,0.12195122,0.061,2,Panama,1,37,801,37,3988,"DEN 1,2,3",2,1640,2015,3988
495.72,0.017209729,0.009,4,Paraguay,3,37,4499,37,7033,"DEN 1,2,4",6,34864,2015,7033
116.61,0.321985855,0.11,3,Peru,40,37,17792,37,31161,"DEN 2,3",117,36337,2015,31161
35.57,0,0,5,Puerto Rico,0,37,39,37,3680,"DEN 1,2,3,4",0,1309,2015,3680
88.89,0,0,6,Saint Barthelemy,0,37,8,37,9,DEN,0,8,2015,9
9.62,0,0,6,Saint Kitts and Nevis,0,37,1,24,52,DEN,0,5,2015,52
50,0,0,6,Anguilla,0,37,2,28,16,DEN,0,8,2015,16
7.93,0,0,6,Saint Lucia,0,37,9,32,164,DEN 1,0,13,2015,164
246.34,0,0,6,Saint Martin,0,37,61,37,41,DEN,0,101,2015,41
0.97,0,0,6,Saint Vincent and the Grenadines,0,37,1,28,103,DEN,0,1,2015,103
0.36,0,0,6,Suriname,0,37,2,21,548,DEN,0,2,2015,548
2.08,0,0,6,Trinidad and Tobago,0,37,1,4,1347,DEN 1,0,28,2015,1347
192,0,0,6,Turks and Caicos Islands,0,37,96,24,50,DEN,0,96,2015,50
0.11,0,0,1,United States of America,0,37,363,37,325128,DEN,0,363,2015,325128
2.88,0,0,6,Virgin Islands (US),0,37,3,37,104,DEN,0,3,2015,104
0,,,4,Uruguay,0,37,0,37,3430,  ,0,0,2015,3430
52.75,0.521022658,0,3,Venezuela,0,37,0,30,31293,"DEN 1,2,3,4",86,16506,2015,31293
206.22,0.329873329,,3,Bolivia,,37,,37,11025,"DEN 1,4",75,22736,2015,11025
739.76,0.100160762,0.055,4,Brazil,833,37,409221,37,203657,"DEN 1,2,3,4",1509,1506578,2015,203657
,,,6,Aruba,,37,,-,112,  ,,,2015,112
,,,5,Cuba,,37,,-,11249,  ,,,2015,11249
0.11,0,0,1,North America,0,37,363,-,325128,  ,0,363,2015,325128
52.87,0.963441996,0.963,5,Latin Caribbean,73,37,39,-,14332,  ,73,7577,2015,25581
9.85,0,0,6,Non-Latin Caribbean,0,37,775,-,18917,  ,0,1864,2015,19029
563.29,0.098088536,0.054,4,Southern Cone,836,37,413985,-,274199,  ,1515,1544523,2015,274199
145.03,1.501826654,0.012,2,Central America Ithsmus and Mexico,29,37,24157,-,171936,  ,3745,249363,2015,171936
129.89,0.655253641,0.053,3,Andean Subregion,96,37,19066,-,139234,  ,1185,180846,2015,139234
210.28,0.328439494,0.052,7,The Americas,1034,37,458385,-,943746,  ,6518,1984536,2015,955107
