Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
36.19,0.127195142,0.085,4,Brazil,62,8,29448,8,202034,"DEN 1,2,3,4",93,73116,2014,202034
0.96,0,0,6,Virgin Islands (US),0,8,1,8,104,DEN,0,1,2014,104
43.75,0,0,6,Anguilla,0,8,2,6,16,"DEN 1,4",0,7,2014,16
0.85,0,0,4,Argentina,0,8,14,8,41803,"DEN 1,4",0,355,2014,41803
1.04,0,0,6,Bahamas,0,8,0,4,383,DEN,0,4,2014,383
0,,,6,Bermuda,0,8,0,8,70,  ,0,0,2014,70
25.86,1.319073084,0,3,Bolivia,0,8,0,8,10848,DEN,37,2805,2014,10848
39.39,0,0,6,Virgin Islands (UK),0,8,0,4,33,DEN,0,13,2014,33
,,,1,Canada,0,8,0,8,0,  ,0,0,2014,0
3.64,0,0,6,Cayman Islands,0,8,0,6,55,DEN,0,2,2014,55
36.45,2.472804755,0,3,Colombia,0,8,6463,8,48930,"DEN 1,2,3,4",441,17834,2014,48930
29.45,,0,2,Costa Rica,0,8,,8,4938,"DEN 1,2,3",,1454,2014,4938
31.51,0,0,6,Dominica,0,8,0,6,73,DEN,0,23,2014,73
12.98,4.242867593,0.732,5,Dominican Republic,10,8,,8,10529,"DEN 1,2,4",58,1367,2014,10529
9.08,0.344589938,0,3,Ecuador,0,8,1451,8,15983,"DEN 1,2,3,4",5,1451,2014,15983
47.15,0.73089701,0,2,El Salvador,0,8,1100,8,6384,"DEN 1,2,3",22,3010,2014,6384
27.06,0,0,6,French Guiana,0,8,69,4,255,"DEN 1,2,4",0,69,2014,255
141.88,1.204819277,0,6,Guadeloupe,0,8,262,7,468,"DEN 1,2,4",8,664,2014,468
16.14,450,0,2,Guatemala,0,8,,8,15860,"DEN 1,2,3,4",11520,2560,2014,15860
14.26,16.38370119,0,2,Honduras,0,8,,8,8261,"DEN 1,2,3",193,1178,2014,8261
1.64,0,0,6,Jamaica,0,8,4,8,2799,DEN,0,46,2014,2799
43.21,0,0,6,Martinique,0,8,175,4,405,"DEN 1,2,4",0,175,2014,405
7.19,6.674907293,0,2,Mexico,0,8,1639,8,123799,"DEN 1,2,3,4",594,8899,2014,123799
0,,,6,Montserrat,0,8,0,8,5,  ,0,0,2014,5
53.3,0,0,2,Nicaragua,0,8,388,8,6169,"DEN 1,2,3,4",0,3288,2014,6169
72.82,0.454704442,0.21,2,Panama,6,8,0,8,3926,"DEN 1,2,3",13,2859,2014,3926
68.62,0.042131873,0.021,4,Paraguay,1,8,268,8,6918,"DEN 1,2,4",2,4747,2014,6918
15.82,0.534100247,0.185,3,Peru,9,8,1924,8,30769,"DEN 1,2,3,4",26,4868,2014,30769
22.2,0.244498778,0,5,Puerto Rico,0,8,140,8,3684,"DEN 1,2,4",2,818,2014,3684
100,0,0,6,Saint Barthelemy,0,8,14,8,35,DEN,0,35,2014,35
355,0.704225352,0,6,Saint Martin,0,8,142,4,40,DEN,1,142,2014,40
0.3,0,0,6,Trinidad and Tobago,0,8,1,6,1344,DEN,0,4,2014,1344
0.02,0,0,1,United States of America,0,8,73,8,322583,DEN,0,73,2014,322583
0,,,4,Uruguay,0,8,0,8,3419,  ,0,0,2014,3419
44.65,0.31215971,0,3,Venezuela,0,8,0,8,30851,DEN,43,13775,2014,30851
180.59,,,2,Belize,,8,25,8,340,DEN,,614,2014,340
,,,6,"Bonaire, Saint Eustatius and Saba",,8,,-,225,  ,,,2014,225
,,,6,Turks and Caicos Islands,,8,,-,49,  ,,,2014,49
,,,6,Aruba,,8,,-,111,  ,,,2014,111
,,,4,Chile,,8,,-,17773,  ,,,2014,17773
,,,6,Saint Vincent and the Grenadines,,8,,-,103,  ,,,2014,103
,,,6,Guyana,,8,,-,804,  ,,,2014,804
,,,6,Haiti,,8,,-,10461,  ,,,2014,10461
,,,5,Cuba,,8,,-,11259,  ,,,2014,11259
,,,6,Saint Lucia,,8,,-,163,  ,,,2014,163
,,,6,Antigua and Barbuda,,8,,-,91,  ,,,2014,91
,,,6,Barbados,,8,,-,290,  ,,,2014,290
,,,6,Saint Kitts and Nevis,,8,,-,52,  ,,,2014,52
,,,6,Suriname,,8,,-,544,  ,,,2014,544
,,,6,Curaçao,,8,,-,148,  ,,,2014,148
,,,6,Grenada,,8,,-,110,  ,,,2014,110
0.02,0,0,1,North America,0,8,73,-,322583,  ,0,73,2014,322583
15.37,2.745995423,0.458,5,Latin Caribbean,10,8,140,-,14213,  ,60,2185,2014,25472
19.47,0.759493671,0,6,Non-Latin Caribbean,0,8,670,-,6085,  ,9,1185,2014,19236
30.77,0.121455419,0.081,4,Southern Cone,63,8,29730,-,254174,  ,95,78218,2014,271947
14.06,51.72240382,0.025,2,Central America Ithsmus and Mexico,6,8,3152,-,169677,  ,12342,23862,2014,169677
29.65,1.355166573,0.022,3,Andean Subregion,9,8,9838,-,137381,  ,552,40733,2014,137381
16.18,8.928180724,0.06,7,The Americas,88,8,43603,-,904113,  ,13058,146256,2014,946296
