Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
,,,6,Antigua and Barbuda,,20,,-,91,  ,,,2014,91
3.03,0,0,4,Argentina,0,20,285,20,41803,"DEN 1,4",0,1266,2014,41803
3.39,0,0,6,Bahamas,0,20,1,20,383,DEN,0,13,2014,383
,,,6,Barbados,,20,,-,290,  ,,,2014,290
0,,,6,Bermuda,0,20,0,20,70,  ,0,0,2014,70
121.73,1.597879591,0,3,Bolivia,0,20,1158,20,10848,DEN 4,211,13205,2014,10848
192.22,0.116132953,0.069,4,Brazil,268,20,162457,20,202034,"DEN 1,2,3,4",451,388348,2014,202034
357.65,,,2,Belize,,20,51,20,340,DEN,,1216,2014,340
39.39,0,0,6,Virgin Islands (UK),0,20,0,4,33,DEN,0,13,2014,33
,,,1,Canada,0,20,0,20,0,  ,0,0,2014,0
3.64,0,0,6,Cayman Islands,0,20,0,6,55,DEN,0,2,2014,55
,,,4,Chile,,20,,-,17773,  ,,,2014,17773
86.41,2.123835202,0.038,3,Colombia,16,20,17402,20,48930,"DEN 1,2,3,4",898,42282,2014,48930
51.19,,0,2,Costa Rica,0,20,,20,4938,"DEN 1,2,3",,2528,2014,4938
,,,5,Cuba,,20,,-,11259,  ,,,2014,11259
31.51,0,0,6,Dominica,0,20,0,6,73,DEN,0,23,2014,73
25.55,4.200743494,0.52,5,Dominican Republic,14,20,,20,10529,"DEN 1,2,4",113,2690,2014,10529
39.89,0.282308657,0,3,Ecuador,0,20,6376,20,15983,"DEN 1,2,3,4",18,6376,2014,15983
156.95,0.788423154,0.01,2,El Salvador,1,20,3684,20,6384,"DEN 1,2,3",79,10020,2014,6384
462.75,0.593220339,0,6,French Guiana,0,20,321,18,255,"DEN 1,2,4",7,1180,2014,255
,,,6,Grenada,,20,,-,110,  ,,,2014,110
141.88,1.204819277,0,6,Guadeloupe,0,20,601,18,468,"DEN 1,2,4",8,664,2014,468
40.35,1050,0.031,2,Guatemala,2,20,,20,15860,"DEN 1,2,3,4",67200,6400,2014,15860
,,,6,Guyana,,20,,-,804,  ,,,2014,804
,,,6,Haiti,,20,,-,10461,  ,,,2014,10461
47.19,13.41713699,0,2,Honduras,0,20,,20,8261,"DEN 1,2,3",523,3898,2014,8261
2.86,0,0,6,Jamaica,0,20,6,20,2799,DEN,0,80,2014,2799
414.81,0.654761905,0.119,6,Martinique,2,20,586,18,405,"DEN 1,2,4",11,1680,2014,405
18.2,6.024149871,0,2,Mexico,0,20,4136,20,123799,"DEN 1,2,3,4",1357,22526,2014,123799
0,,,6,Montserrat,0,20,0,20,5,  ,0,0,2014,5
,,,6,Curaçao,,20,,-,148,  ,,,2014,148
,,,6,Aruba,,20,,-,111,  ,,,2014,111
,,,6,"Bonaire, Saint Eustatius and Saba",,20,,-,225,  ,,,2014,225
129.45,0,0,2,Nicaragua,0,20,587,20,6169,"DEN 1,2,3,4",0,7986,2014,6169
96.97,0.446545837,0.21,2,Panama,8,20,2045,20,3926,"DEN 1,2,3",17,3807,2014,3926
120.97,0.035846577,0.024,4,Paraguay,2,20,902,20,6918,"DEN 1,2,4",3,8369,2014,6918
30.67,0.476795931,0.223,3,Peru,21,20,5848,20,30769,"DEN 1,2,3,4",45,9438,2014,30769
50.11,0.108342362,0,5,Puerto Rico,0,20,332,20,3684,"DEN 1,2,4",2,1846,2014,3684
100,0,0,6,Saint Barthelemy,0,20,31,18,35,DEN,0,35,2014,35
,,,6,Saint Kitts and Nevis,,20,,-,52,  ,,,2014,52
43.75,0,0,6,Anguilla,0,20,2,6,16,"DEN 1,4",0,7,2014,16
,,,6,Saint Lucia,,20,,-,163,  ,,,2014,163
650,0.384615385,0,6,Saint Martin,0,20,260,18,40,DEN,1,260,2014,40
,,,6,Saint Vincent and the Grenadines,,20,,-,103,  ,,,2014,103
,,,6,Suriname,,20,,-,544,  ,,,2014,544
0.3,0,0,6,Trinidad and Tobago,0,20,1,6,1344,DEN,0,4,2014,1344
,,,6,Turks and Caicos Islands,,20,,-,49,  ,,,2014,49
0.04,0,0,1,United States of America,0,20,144,20,322583,DEN,0,144,2014,322583
4.81,0,0,6,Virgin Islands (US),0,20,5,20,104,DEN,0,5,2014,104
0,,,4,Uruguay,0,20,0,20,3419,  ,0,0,2014,3419
72.98,0.381967577,0,3,Venezuela,0,20,70,20,30851,"DEN 1,2,3,4",86,22515,2014,30851
0.04,0,0,1,North America,0,20,144,-,322583,  ,0,144,2014,322583
31.91,2.535273369,0.309,5,Latin Caribbean,14,20,332,-,14213,  ,115,4536,2014,25472
65.18,0.680786687,0.05,6,Non-Latin Caribbean,2,20,1814,-,6085,  ,27,3966,2014,19236
156.58,0.114075224,0.068,4,Southern Cone,270,20,163644,-,254174,  ,454,397983,2014,271947
34.41,118.4906048,0.019,2,Central America Ithsmus and Mexico,11,20,10503,-,169677,  ,69176,58381,2014,169677
68.29,1.340922657,0.039,3,Andean Subregion,37,20,30854,-,137381,  ,1258,93816,2014,137381
61.81,12.71057539,0.06,7,The Americas,334,20,207291,-,904113,  ,71030,558826,2014,946296
