Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
167.51,1.16662998,0,3,Bolivia,0,22,1158,21,10848,DEN 4,212,18172,2014,10848
4.81,0,0,6,Virgin Islands (US),0,22,5,22,104,DEN,0,5,2014,104
43.75,0,0,6,Anguilla,0,22,2,6,16,"DEN 1,4",0,7,2014,16
3.29,0,0,4,Argentina,0,22,418,22,41803,"DEN 1,4",0,1377,2014,41803
3.39,0,0,6,Bahamas,0,22,1,20,383,DEN,0,13,2014,383
0,,,6,Bermuda,0,22,0,22,70,  ,0,0,2014,70
212.72,0.116810197,0.068,4,Brazil,293,22,179847,22,202034,"DEN 1,2,3,4",502,429757,2014,202034
39.39,0,0,6,Virgin Islands (UK),0,22,0,4,33,DEN,0,13,2014,33
,,,1,Canada,0,22,0,22,0,  ,0,0,2014,0
3.64,0,0,6,Cayman Islands,0,22,0,6,55,DEN,0,2,2014,55
92.75,2.256401216,0.044,3,Colombia,20,22,19939,22,48930,"DEN 1,2,3,4",1024,45382,2014,48930
58.16,,0,2,Costa Rica,0,22,,22,4938,"DEN 1,2,3",,2872,2014,4938
31.51,0,0,6,Dominica,0,22,0,6,73,DEN,0,23,2014,73
28.75,4.327717212,0.562,5,Dominican Republic,17,22,,22,10529,"DEN 1,2,4",131,3027,2014,10529
46.19,0.257382823,0,3,Ecuador,0,22,7382,22,15983,"DEN 1,2,3,4",19,7382,2014,15983
184.35,0.705242586,0.008,2,El Salvador,1,22,4265,22,6384,"DEN 1,2,3",83,11769,2014,6384
462.75,0.593220339,0,6,French Guiana,0,22,321,18,255,"DEN 1,2,4",7,1180,2014,255
141.88,1.204819277,0,6,Guadeloupe,0,22,601,18,468,"DEN 1,2,4",8,664,2014,468
44.39,1150,0.043,2,Guatemala,3,22,,22,15860,"DEN 1,2,3,4",80960,7040,2014,15860
56.12,12.51078516,0,2,Honduras,0,22,,22,8261,"DEN 1,2,3",580,4636,2014,8261
3.14,0,0,6,Jamaica,0,22,8,22,2799,DEN,0,88,2014,2799
414.81,0.654761905,0.119,6,Martinique,2,22,586,18,405,"DEN 1,2,4",11,1680,2014,405
20.89,5.79614879,0,2,Mexico,0,22,4671,22,123799,"DEN 1,2,3,4",1499,25862,2014,123799
0,,,6,Montserrat,0,22,0,22,5,  ,0,0,2014,5
142.26,0,0,2,Nicaragua,0,22,620,22,6169,"DEN 1,2,3,4",0,8776,2014,6169
104.53,0.414230019,0.195,2,Panama,8,22,2070,22,3926,"DEN 1,2,3",17,4104,2014,3926
121.31,0.035748332,0.024,4,Paraguay,2,22,1052,22,6918,"DEN 1,2,4",3,8392,2014,6918
32.41,0.471272436,0.221,3,Peru,22,22,6199,22,30769,"DEN 1,2,3,4",47,9973,2014,30769
55.29,0.098183603,0,5,Puerto Rico,0,22,345,22,3684,"DEN 1,2,4",2,2037,2014,3684
100,0,0,6,Saint Barthelemy,0,22,31,18,35,DEN,0,35,2014,35
650,0.384615385,0,6,Saint Martin,0,22,260,18,40,DEN,1,260,2014,40
2.76,0,0,6,Suriname,0,22,4,22,544,DEN 2,0,15,2014,544
0.3,0,0,6,Trinidad and Tobago,0,22,1,6,1344,DEN,0,4,2014,1344
0.05,0,0,1,United States of America,0,22,164,22,322583,DEN,0,164,2014,322583
0,,,4,Uruguay,0,22,0,22,3419,  ,0,0,2014,3419
77.29,0.37325952,0,3,Venezuela,0,22,70,22,30851,"DEN 1,2,3,4",89,23844,2014,30851
383.24,,,2,Belize,,22,51,22,340,DEN,,1303,2014,340
,,,6,"Bonaire, Saint Eustatius and Saba",,22,,-,225,  ,,,2014,225
,,,6,Turks and Caicos Islands,,22,,-,49,  ,,,2014,49
,,,6,Aruba,,22,,-,111,  ,,,2014,111
,,,4,Chile,,22,,-,17773,  ,,,2014,17773
,,,6,Saint Vincent and the Grenadines,,22,,-,103,  ,,,2014,103
,,,6,Guyana,,22,,-,804,  ,,,2014,804
,,,6,Haiti,,22,,-,10461,  ,,,2014,10461
,,,5,Cuba,,22,,-,11259,  ,,,2014,11259
,,,6,Saint Lucia,,22,,-,163,  ,,,2014,163
,,,6,Antigua and Barbuda,,22,,-,91,  ,,,2014,91
,,,6,Barbados,,22,,-,290,  ,,,2014,290
,,,6,Saint Kitts and Nevis,,22,,-,52,  ,,,2014,52
,,,6,Curaçao,,22,,-,148,  ,,,2014,148
,,,6,Grenada,,22,,-,110,  ,,,2014,110
0.05,0,0,1,North America,0,22,164,-,322583,  ,0,164,2014,322583
35.63,2.626382306,0.336,5,Latin Caribbean,17,22,345,-,14213,  ,133,5064,2014,25472
60.17,0.676861369,0.05,6,Non-Latin Caribbean,2,22,1820,-,6629,  ,27,3989,2014,19236
172.92,0.114896502,0.067,4,Southern Cone,295,22,181317,-,254174,  ,505,439526,2014,271947
39.11,125.2810343,0.018,2,Central America Ithsmus and Mexico,12,22,11677,-,169677,  ,83139,66362,2014,169677
76.25,1.327885598,0.04,3,Andean Subregion,42,22,34748,-,137381,  ,1391,104753,2014,137381
68.52,13.74427692,0.059,7,The Americas,368,22,230071,-,904657,  ,85195,619858,2014,946296
