Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
205.91,1.486323141,0,3,Bolivia,0,38,1158,38,10848,DEN 4,332,22337,2014,10848
15.38,0,0,6,Virgin Islands (US),0,38,16,38,104,DEN,0,16,2014,104
468.75,0,0,6,Anguilla,0,38,8,32,16,"DEN 1,4",0,75,2014,16
39.56,0,0,6,Antigua and Barbuda,0,38,6,38,91,DEN,0,36,2014,91
3.7,0,0,4,Argentina,0,38,489,38,41803,"DEN 1,4",0,1546,2014,41803
275.68,0,0,6,Aruba,0,38,12,36,111,DEN 1,0,306,2014,111
14.36,0,0,6,Bahamas,0,38,1,36,383,"DEN 1,2",0,55,2014,383
187.59,0.367647059,0,6,Barbados,0,38,121,36,290,DEN 1,2,544,2014,290
0,,,6,Bermuda,0,38,0,38,70,  ,0,0,2014,70
261.38,0.124034237,0.074,4,Brazil,389,38,212465,38,202034,"DEN 1,2,3,4",655,528080,2014,202034
248.48,0,0,6,Virgin Islands (UK),0,38,52,32,33,DEN,0,82,2014,33
,,,1,Canada,0,38,0,38,0,  ,0,0,2014,0
32.73,0,0,6,Cayman Islands,0,38,0,28,55,DEN,0,18,2014,55
158.99,2.511697259,0.072,3,Colombia,56,38,34532,38,48930,"DEN 1,2,3,4",1954,77796,2014,48930
162.39,,0,2,Costa Rica,0,38,,38,4938,"DEN 1,2,3",,8019,2014,4938
131.08,0,0,6,Curaçao,0,38,20,36,148,DEN,0,194,2014,148
217.81,0,0,6,Dominica,0,38,9,32,73,DEN 4,0,159,2014,73
44.31,5.551982851,0.922,5,Dominican Republic,43,38,,38,10529,"DEN 1,2,4",259,4665,2014,10529
87.48,0.421971106,0.064,3,Ecuador,9,38,13982,38,15983,"DEN 1,2,3,4",59,13982,2014,15983
674.97,0.362032954,0.012,2,El Salvador,5,38,13219,38,6384,"DEN 1,2,3",156,43090,2014,6384
462.75,0.593220339,0,6,French Guiana,0,38,321,18,255,"DEN 1,2,4",7,1180,2014,255
34.55,0,0,6,Grenada,0,38,1,32,110,DEN,0,38,2014,110
141.88,1.204819277,0,6,Guadeloupe,0,38,601,18,468,"DEN 1,2,4",8,664,2014,468
76.67,1950,0.082,2,Guatemala,10,38,,38,15860,"DEN 1,2,3,4",237120,12160,2014,15860
102.24,0,0,6,Guyana,0,38,822,36,804,DEN 4,0,822,2014,804
256.41,7.322254745,0.009,2,Honduras,2,38,,38,8261,"DEN 1,2,3",1551,21182,2014,8261
9.86,0,0,6,Jamaica,0,38,57,38,2799,DEN,0,276,2014,2799
414.81,0.654761905,0.119,6,Martinique,2,38,586,18,405,"DEN 1,2,4",11,1680,2014,405
54.93,6.309101872,0.032,2,Mexico,22,38,14737,38,123799,"DEN 1,2,3,4",4290,67997,2014,123799
140,0,0,6,Montserrat,0,38,0,32,5,DEN,0,7,2014,5
352.46,0,0,2,Nicaragua,0,38,1405,38,6169,"DEN 1,2,3,4",0,21743,2014,6169
115.94,0.417398946,0.176,2,Panama,8,38,2350,35,3926,"DEN 1,2,3",19,4552,2014,3926
128.01,0.056458898,0.056,4,Paraguay,5,38,1480,38,6918,"DEN 1,2,4",5,8856,2014,6918
46.62,0.460122699,0.174,3,Peru,25,38,9087,38,30769,"DEN 1,2,3,4",66,14344,2014,30769
153.12,0.035454707,0,5,Puerto Rico,0,38,439,38,3684,"DEN 1,2,4",2,5641,2014,3684
100,0,0,6,Saint Barthelemy,0,38,31,18,35,DEN,0,35,2014,35
119.23,0,0,6,Saint Kitts and Nevis,0,38,6,32,52,DEN,0,62,2014,52
60.12,0,0,6,Saint Lucia,0,38,34,32,163,DEN 4,0,98,2014,163
650,0.384615385,0,6,Saint Martin,0,38,260,18,40,DEN,1,260,2014,40
94.17,0,0,6,Saint Vincent and the Grenadines,0,38,4,32,103,DEN,0,97,2014,103
2.76,0,0,6,Suriname,0,38,4,22,544,DEN 2,0,15,2014,544
3.27,0,0,6,Trinidad and Tobago,0,38,6,23,1344,"DEN 1,4",0,44,2014,1344
97.96,0,0,6,Turks and Caicos Islands,0,38,48,32,49,DEN 1,0,48,2014,49
0.13,0,0,1,United States of America,0,38,421,38,322583,DEN,0,421,2014,322583
0,,,4,Uruguay,0,38,0,38,3419,  ,0,0,2014,3419
168.11,0.269931553,0,3,Venezuela,0,38,70,38,30851,"DEN 1,2,3,4",140,51865,2014,30851
869.71,,,2,Belize,,38,210,38,340,DEN,,2957,2014,340
,,,6,"Bonaire, Saint Eustatius and Saba",,38,,-,225,  ,,,2014,225
,,,4,Chile,,38,,-,17773,  ,,,2014,17773
,,,6,Haiti,,38,,-,10461,  ,,,2014,10461
,,,5,Cuba,,38,,-,11259,  ,,,2014,11259
0.13,0,0,1,North America,0,38,421,-,322583,  ,0,421,2014,322583
72.51,2.532505337,0.417,5,Latin Caribbean,43,38,439,-,14213,  ,261,10306,2014,25472
79.66,0.425781824,0.029,6,Non-Latin Caribbean,2,38,3026,-,8550,  ,29,6811,2014,19236
211.86,0.122566771,0.073,4,Southern Cone,394,38,214434,-,254174,  ,660,538482,2014,271947
107.09,133.8117777,0.026,2,Central America Ithsmus and Mexico,47,38,31921,-,169677,  ,243136,181700,2014,169677
131.26,1.414675806,0.05,3,Andean Subregion,90,38,58829,-,137381,  ,2551,180324,2014,137381
101.26,26.86548793,0.063,7,The Americas,576,38,309070,-,906578,  ,246637,918044,2014,946296
