Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
79.42,0.124647093,0.076,4,Brazil,122,13,67627,13,202034,"DEN 1,2,3,4",200,160453,2014,202034
0.96,0,0,6,Virgin Islands (US),0,13,1,13,104,DEN,0,1,2014,104
43.75,0,0,6,Anguilla,0,13,2,6,16,"DEN 1,4",0,7,2014,16
1.33,0,0,4,Argentina,0,13,27,13,41803,"DEN 1,4",0,558,2014,41803
1.04,0,0,6,Bahamas,0,13,0,4,383,DEN,0,4,2014,383
0,,,6,Bermuda,0,13,0,13,70,  ,0,0,2014,70
54.56,0.658895084,0,3,Bolivia,0,13,43,12,10848,DEN 4,39,5919,2014,10848
39.39,0,0,6,Virgin Islands (UK),0,13,0,4,33,DEN,0,13,2014,33
,,,1,Canada,0,13,0,13,0,  ,0,0,2014,0
3.64,0,0,6,Cayman Islands,0,13,0,6,55,DEN,0,2,2014,55
56.34,2.485035371,0.022,3,Colombia,6,13,11148,13,48930,"DEN 1,2,3,4",685,27565,2014,48930
38.17,,0,2,Costa Rica,0,13,,13,4938,"DEN 1,2,3",,1885,2014,4938
31.51,0,0,6,Dominica,0,13,0,6,73,DEN,0,23,2014,73
18.25,4.110301769,0.676,5,Dominican Republic,13,13,,13,10529,"DEN 1,2,4",79,1922,2014,10529
18.39,0.306226608,0,3,Ecuador,0,13,2939,13,15983,"DEN 1,2,3,4",9,2939,2014,15983
87.12,0.89895721,0.018,2,El Salvador,1,13,2060,13,6384,"DEN 1,2,3",50,5562,2014,6384
462.75,0.593220339,0,6,French Guiana,0,13,219,9,255,"DEN 1,2,4",7,1180,2014,255
141.88,1.204819277,0,6,Guadeloupe,0,13,262,7,468,"DEN 1,2,4",8,664,2014,468
26.23,700,0,2,Guatemala,0,13,,13,15860,"DEN 1,2,3,4",29120,4160,2014,15860
27.26,13.94316163,0,2,Honduras,0,13,,13,8261,"DEN 1,2,3",314,2252,2014,8261
2.22,0,0,6,Jamaica,0,13,4,13,2799,DEN,0,62,2014,2799
414.81,0.654761905,0,6,Martinique,0,13,175,12,405,"DEN 1,2,4",11,1680,2014,405
12.09,6.380704216,0,2,Mexico,0,13,2810,13,123799,"DEN 1,2,3,4",955,14967,2014,123799
0,,,6,Montserrat,0,13,0,13,5,  ,0,0,2014,5
88.86,0,0,2,Nicaragua,0,13,503,13,6169,"DEN 1,2,3,4",0,5482,2014,6169
72.82,0.454704442,0.21,2,Panama,6,13,0,8,3926,"DEN 1,2,3",13,2859,2014,3926
90.23,0.048061519,0.032,4,Paraguay,2,13,481,13,6918,"DEN 1,2,4",3,6242,2014,6918
23.79,0.437218199,0.137,3,Peru,10,13,3873,13,30769,"DEN 1,2,3,4",32,7319,2014,30769
33.93,0.16,0,5,Puerto Rico,0,13,296,13,3684,"DEN 1,2,4",2,1250,2014,3684
100,0,0,6,Saint Barthelemy,0,13,14,13,35,DEN,0,35,2014,35
355,0.704225352,0,6,Saint Martin,0,13,142,4,40,DEN,1,142,2014,40
0.3,0,0,6,Trinidad and Tobago,0,13,1,6,1344,DEN,0,4,2014,1344
0.03,0,0,1,United States of America,0,13,99,13,322583,DEN,0,99,2014,322583
0,,,4,Uruguay,0,13,0,13,3419,  ,0,0,2014,3419
59.27,0.311747976,0,3,Venezuela,0,13,70,13,30851,"DEN 1,2,3,4",57,18284,2014,30851
251.47,,,2,Belize,,13,32,13,340,DEN,,855,2014,340
,,,6,"Bonaire, Saint Eustatius and Saba",,13,,-,225,  ,,,2014,225
,,,6,Turks and Caicos Islands,,13,,-,49,  ,,,2014,49
,,,6,Aruba,,13,,-,111,  ,,,2014,111
,,,4,Chile,,13,,-,17773,  ,,,2014,17773
,,,6,Saint Vincent and the Grenadines,,13,,-,103,  ,,,2014,103
,,,6,Guyana,,13,,-,804,  ,,,2014,804
,,,6,Haiti,,13,,-,10461,  ,,,2014,10461
,,,5,Cuba,,13,,-,11259,  ,,,2014,11259
,,,6,Saint Lucia,,13,,-,163,  ,,,2014,163
,,,6,Antigua and Barbuda,,13,,-,91,  ,,,2014,91
,,,6,Barbados,,13,,-,290,  ,,,2014,290
,,,6,Saint Kitts and Nevis,,13,,-,52,  ,,,2014,52
,,,6,Suriname,,13,,-,544,  ,,,2014,544
,,,6,Curaçao,,13,,-,148,  ,,,2014,148
,,,6,Grenada,,13,,-,110,  ,,,2014,110
0.03,0,0,1,North America,0,13,99,-,322583,  ,0,99,2014,322583
22.32,2.553593947,0.41,5,Latin Caribbean,13,13,296,-,14213,  ,81,3172,2014,25472
62.73,0.707361802,0,6,Non-Latin Caribbean,0,13,820,-,6085,  ,27,3817,2014,19236
65.8,0.12137301,0.074,4,Southern Cone,124,13,68135,-,254174,  ,203,167253,2014,271947
22.41,80.09047394,0.018,2,Central America Ithsmus and Mexico,7,13,5405,-,169677,  ,30452,38022,2014,169677
45.15,1.325250701,0.026,3,Andean Subregion,16,13,18073,-,137381,  ,822,62026,2014,137381
30.35,11.51102996,0.058,7,The Americas,160,13,92828,-,904113,  ,31585,274389,2014,946296
