Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
1.83,1.165299957,0,3,Andean Subregion,0,1,282,-,126533,  ,27,2317,2014,137381
,,,6,Anguilla,,1,,-,16,  ,,,2014,16
,,,6,Antigua and Barbuda,,1,,-,91,  ,,,2014,91
0.09,,,4,Argentina,,1,,1,41803,"DEN 1,4",,38,2014,41803
,,,6,Aruba,,1,,-,111,  ,,,2014,111
,,,6,Bahamas,,1,,-,383,  ,,,2014,383
,,,6,Barbados,,1,,-,290,  ,,,2014,290
25.59,,,2,Belize,,1,4,1,340,DEN,,87,2014,340
0,,,6,Bermuda,0,1,0,1,70,  ,0,0,2014,70
,,,3,Bolivia,,1,,-,10848,  ,,,2014,10848
,,,6,"Bonaire, Saint Eustatius and Saba",,1,,-,225,  ,,,2014,225
2.26,0.10940919,0.109,4,Brazil,5,1,1420,1,202034,"DEN 1,2,3,4",5,4570,2014,202034
,,,1,Canada,0,1,0,1,0,  ,0,0,2014,0
,,,6,Cayman Islands,,1,,-,55,  ,,,2014,55
1.03,20.16364699,0,2,Central America Ithsmus and Mexico,0,1,219,-,165751,  ,345,1711,2014,169677
,,,4,Chile,,1,,-,17773,  ,,,2014,17773
2.02,2.222222222,0,3,Colombia,0,1,240,1,48930,"DEN 1,2,3,4",22,990,2014,48930
4.84,,0,2,Costa Rica,0,1,,1,4938,"DEN 1,2,3",,239,2014,4938
,,,5,Cuba,,1,,-,11259,  ,,,2014,11259
,,,6,Curaçao,,1,,-,148,  ,,,2014,148
,,,6,Dominica,,1,,-,73,  ,,,2014,73
1.96,4.368932039,0,5,Dominican Republic,0,1,,1,10529,"DEN 1,2,4",9,206,2014,10529
0.44,0,0,3,Ecuador,0,1,,1,15983,"DEN 1,2,3,4",0,71,2014,15983
4.14,,0,2,El Salvador,0,1,156,1,6384,"DEN 1,2,3",,264,2014,6384
,,,6,French Guiana,,1,,-,255,  ,,,2014,255
,,,6,Grenada,,1,,-,110,  ,,,2014,110
,,,6,Guadeloupe,,1,,-,468,  ,,,2014,468
2.02,100,0,2,Guatemala,0,1,0,1,15860,"DEN 1,2,3,4",320,320,2014,15860
,,,6,Guyana,,1,,-,804,  ,,,2014,804
,,,6,Haiti,,1,,-,10461,  ,,,2014,10461
1.94,15.625,0,2,Honduras,0,1,0,1,8261,"DEN 1,2,3",25,160,2014,8261
0.07,0,0,6,Jamaica,0,1,1,1,2799,DEN,0,2,2014,2799
2.25,2.8125,0,5,Latin Caribbean,0,1,0,-,14213,  ,9,320,2014,25472
,,,6,Martinique,,1,,-,405,  ,,,2014,405
0.17,0,0,2,Mexico,0,1,2,1,123799,  ,0,214,2014,123799
0,,,6,Montserrat,0,1,0,1,5,  ,0,0,2014,5
6.92,0,0,2,Nicaragua,0,1,57,1,6169,"DEN 1,2,3,4",0,427,2014,6169
0.07,0,0,6,Non-Latin Caribbean,0,1,1,-,2978,  ,0,2,2014,19236
0,0,0,1,North America,0,1,9,-,322583,  ,0,9,2014,322583
,,,2,Panama,,1,,-,3926,  ,,,2014,3926
5.85,0.24691358,0.247,4,Paraguay,1,1,6,1,6918,"DEN 1,2,4",1,405,2014,6918
0.48,0,0,3,Peru,0,1,42,1,30769,"DEN 1,2,3,4",0,148,2014,30769
3.09,0,0,5,Puerto Rico,0,1,0,1,3684,"DEN 1,2,4",0,114,2014,3684
,,,6,Saint Barthelemy,,1,,-,35,  ,,,2014,35
,,,6,Saint Kitts and Nevis,,1,,-,52,  ,,,2014,52
,,,6,Saint Lucia,,1,,-,163,  ,,,2014,163
,,,6,Saint Martin,,1,,-,40,  ,,,2014,40
,,,6,Saint Vincent and the Grenadines,,1,,-,103,  ,,,2014,103
1.97,0.119688809,0.12,4,Southern Cone,6,1,1426,-,254174,  ,6,5013,2014,271947
,,,6,Suriname,,1,,-,544,  ,,,2014,544
1.06,4.129321383,0.064,7,The Americas,6,1,1937,-,886232,  ,387,9372,2014,946296
,,,6,Trinidad and Tobago,,1,,-,1344,  ,,,2014,1344
,,,6,Turks and Caicos Islands,,1,,-,49,  ,,,2014,49
0,0,0,1,United States of America,0,1,9,1,322583,DEN,0,9,2014,322583
0,,,4,Uruguay,0,1,0,1,3419,  ,0,0,2014,3419
3.59,0.451263538,0,3,Venezuela,0,1,0,1,30851,DEN,5,1108,2014,30851
,,,6,Virgin Islands (UK),,1,,-,33,  ,,,2014,33
0,,,6,Virgin Islands (US),0,1,0,1,104,DEN,0,0,2014,104
