Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
8.73,0.136123873,0.102,4,Brazil,18,3,5985,3,202034,"DEN 1,2,3,4",24,17631,2014,202034
0.96,0,0,6,Virgin Islands (US),0,3,1,3,104,DEN,0,1,2014,104
0.27,0,0,4,Argentina,0,3,0,3,41803,"DEN 1,4",0,114,2014,41803
0,,,6,Bermuda,0,3,0,3,70,  ,0,0,2014,70
2.36,0,0,3,Bolivia,0,3,0,2,10848,DEN,0,256,2014,10848
,,,1,Canada,0,3,0,3,0,  ,0,0,2014,0
16.05,1.745000637,0,3,Colombia,0,3,1608,3,48930,"DEN 1,2,3,4",137,7851,2014,48930
13.77,,0,2,Costa Rica,0,3,,3,4938,"DEN 1,2,3",,680,2014,4938
5.64,4.377104377,0.505,5,Dominican Republic,3,3,,3,10529,"DEN 1,2,4",26,594,2014,10529
2.56,0.244498778,0,3,Ecuador,0,3,409,3,15983,"DEN 1,2,3,4",1,409,2014,15983
15.82,0.198019802,0,2,El Salvador,0,3,156,3,6384,"DEN 1,2,3",2,1010,2014,6384
6.05,200,0,2,Guatemala,0,3,,3,15860,"DEN 1,2,3,4",1920,960,2014,15860
5.63,13.33333333,0,2,Honduras,0,3,,3,8261,"DEN 1,2,3",62,465,2014,8261
0.68,0,0,6,Jamaica,0,3,4,3,2799,DEN,0,19,2014,2799
1.87,2.849740933,0,2,Mexico,0,3,195,3,123799,"DEN 1,2",66,2316,2014,123799
0,,,6,Montserrat,0,3,0,3,5,  ,0,0,2014,5
20.02,0,0,2,Nicaragua,0,3,139,3,6169,"DEN 1,2,3,4",0,1235,2014,6169
25.48,0.113442995,0.057,4,Paraguay,1,3,23,3,6918,"DEN 1,2,4",2,1763,2014,6918
4.02,0.404530744,0,3,Peru,0,3,408,3,30769,"DEN 1,2,3,4",5,1236,2014,30769
9.64,0,0,5,Puerto Rico,0,3,57,3,3684,"DEN 1,2,4",0,355,2014,3684
0.01,0,0,1,United States of America,0,3,35,3,322583,DEN,0,35,2014,322583
0,,,4,Uruguay,0,3,0,3,3419,  ,0,0,2014,3419
16.75,0.406425392,0,3,Venezuela,0,3,0,3,30851,DEN,21,5167,2014,30851
80,,,2,Belize,,3,10,3,340,DEN,,272,2014,340
,,,6,Cayman Islands,,3,,-,55,  ,,,2014,55
,,,6,"Bonaire, Saint Eustatius and Saba",,3,,-,225,  ,,,2014,225
,,,6,Dominica,,3,,-,73,  ,,,2014,73
,,,6,Turks and Caicos Islands,,3,,-,49,  ,,,2014,49
,,,6,Aruba,,3,,-,111,  ,,,2014,111
,,,6,Guadeloupe,,3,,-,468,  ,,,2014,468
,,,4,Chile,,3,,-,17773,  ,,,2014,17773
,,,6,Saint Vincent and the Grenadines,,3,,-,103,  ,,,2014,103
,,,6,Saint Martin,,3,,-,40,  ,,,2014,40
,,,6,Guyana,,3,,-,804,  ,,,2014,804
,,,6,Haiti,,3,,-,10461,  ,,,2014,10461
,,,5,Cuba,,3,,-,11259,  ,,,2014,11259
,,,6,Saint Lucia,,3,,-,163,  ,,,2014,163
,,,6,Antigua and Barbuda,,3,,-,91,  ,,,2014,91
,,,6,Barbados,,3,,-,290,  ,,,2014,290
,,,6,Anguilla,,3,,-,16,  ,,,2014,16
,,,2,Panama,,3,,-,3926,  ,,,2014,3926
,,,6,French Guiana,,3,,-,255,  ,,,2014,255
,,,6,Bahamas,,3,,-,383,  ,,,2014,383
,,,6,Saint Barthelemy,,3,,-,35,  ,,,2014,35
,,,6,Trinidad and Tobago,,3,,-,1344,  ,,,2014,1344
,,,6,Saint Kitts and Nevis,,3,,-,52,  ,,,2014,52
,,,6,Suriname,,3,,-,544,  ,,,2014,544
,,,6,Virgin Islands (UK),,3,,-,33,  ,,,2014,33
,,,6,Martinique,,3,,-,405,  ,,,2014,405
,,,6,Curaçao,,3,,-,148,  ,,,2014,148
,,,6,Grenada,,3,,-,110,  ,,,2014,110
0.01,0,0,1,North America,0,3,35,-,322583,  ,0,35,2014,322583
6.68,2.739726027,0.316,5,Latin Caribbean,3,3,57,-,14213,  ,26,949,2014,25472
0.67,0,0,6,Non-Latin Caribbean,0,3,5,-,2978,  ,0,20,2014,19236
7.68,0.133278655,0.097,4,Southern Cone,19,3,6008,-,254174,  ,26,19508,2014,271947
4.19,29.54742001,0,2,Central America Ithsmus and Mexico,0,3,500,-,165751,  ,2050,6938,2014,169677
10.86,1.099269388,0,3,Andean Subregion,0,3,2425,-,137381,  ,164,14919,2014,137381
4.72,5.3482499,0.052,7,The Americas,22,3,9030,-,897080,  ,2266,42369,2014,946296
