Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
112.34,1.690325757,0,3,Bolivia,0,16,1158,16,10848,DEN 4,206,12187,2014,10848
4.81,0,0,6,Virgin Islands (US),0,16,5,16,104,DEN,0,5,2014,104
43.75,0,0,6,Anguilla,0,16,2,6,16,"DEN 1,4",0,7,2014,16
1.87,0,0,4,Argentina,0,16,33,16,41803,"DEN 1,4",0,783,2014,41803
1.04,0,0,6,Bahamas,0,16,0,4,383,DEN,0,4,2014,383
0,,,6,Bermuda,0,16,0,16,70,  ,0,0,2014,70
128.54,0.117443656,0.07,4,Brazil,181,16,108801,16,202034,"DEN 1,2,3,4",305,259699,2014,202034
39.39,0,0,6,Virgin Islands (UK),0,16,0,4,33,DEN,0,13,2014,33
,,,1,Canada,0,16,0,16,0,  ,0,0,2014,0
3.64,0,0,6,Cayman Islands,0,16,0,6,55,DEN,0,2,2014,55
68.74,2.090022595,0.033,3,Colombia,11,16,13499,16,48930,"DEN 1,2,3,4",703,33636,2014,48930
42.91,,0,2,Costa Rica,0,16,,16,4938,"DEN 1,2,3",,2119,2014,4938
31.51,0,0,6,Dominica,0,16,0,6,73,DEN,0,23,2014,73
21.36,4.046242775,0.622,5,Dominican Republic,14,16,,16,10529,"DEN 1,2,4",91,2249,2014,10529
27.44,0.296465222,0,3,Ecuador,0,16,4385,16,15983,"DEN 1,2,3,4",13,4385,2014,15983
114.79,0.996179039,0.014,2,El Salvador,1,16,2747,16,6384,"DEN 1,2,3",73,7328,2014,6384
462.75,0.593220339,0,6,French Guiana,0,16,219,9,255,"DEN 1,2,4",7,1180,2014,255
141.88,1.204819277,0,6,Guadeloupe,0,16,262,7,468,"DEN 1,2,4",8,664,2014,468
32.28,850,0.02,2,Guatemala,1,16,,16,15860,"DEN 1,2,3,4",43520,5120,2014,15860
34,14.66714133,0,2,Honduras,0,16,,16,8261,"DEN 1,2,3",412,2809,2014,8261
2.47,0,0,6,Jamaica,0,16,4,16,2799,DEN,0,69,2014,2799
414.81,0.654761905,0,6,Martinique,0,16,175,12,405,"DEN 1,2,4",11,1680,2014,405
14.66,6.230031949,0,2,Mexico,0,16,3408,16,123799,"DEN 1,2,3,4",1131,18154,2014,123799
0,,,6,Montserrat,0,16,0,16,5,  ,0,0,2014,5
103.83,0,0,2,Nicaragua,0,16,526,16,6169,"DEN 1,2,3,4",0,6405,2014,6169
93.53,0.462962963,0.218,2,Panama,8,16,2007,16,3926,"DEN 1,2,3",17,3672,2014,3926
106.84,0.040589907,0.027,4,Paraguay,2,16,610,16,6918,"DEN 1,2,4",3,7391,2014,6918
27.32,0.475850583,0.214,3,Peru,18,16,4750,16,30769,"DEN 1,2,3,4",40,8406,2014,30769
41.1,0.132100396,0,5,Puerto Rico,0,16,316,16,3684,"DEN 1,2,4",2,1514,2014,3684
100,0,0,6,Saint Barthelemy,0,16,14,16,35,DEN,0,35,2014,35
355,0.704225352,0,6,Saint Martin,0,16,142,4,40,DEN,1,142,2014,40
0.3,0,0,6,Trinidad and Tobago,0,16,1,6,1344,DEN,0,4,2014,1344
0.04,0,0,1,United States of America,0,16,119,16,322583,DEN,0,119,2014,322583
0,,,4,Uruguay,0,16,0,16,3419,  ,0,0,2014,3419
65.39,0.361833953,0,3,Venezuela,0,16,70,16,30851,"DEN 1,2,3,4",73,20175,2014,30851
297.65,,,2,Belize,,16,41,16,340,DEN,,1012,2014,340
,,,6,"Bonaire, Saint Eustatius and Saba",,16,,-,225,  ,,,2014,225
,,,6,Turks and Caicos Islands,,16,,-,49,  ,,,2014,49
,,,6,Aruba,,16,,-,111,  ,,,2014,111
,,,4,Chile,,16,,-,17773,  ,,,2014,17773
,,,6,Saint Vincent and the Grenadines,,16,,-,103,  ,,,2014,103
,,,6,Guyana,,16,,-,804,  ,,,2014,804
,,,6,Haiti,,16,,-,10461,  ,,,2014,10461
,,,5,Cuba,,16,,-,11259,  ,,,2014,11259
,,,6,Saint Lucia,,16,,-,163,  ,,,2014,163
,,,6,Antigua and Barbuda,,16,,-,91,  ,,,2014,91
,,,6,Barbados,,16,,-,290,  ,,,2014,290
,,,6,Saint Kitts and Nevis,,16,,-,52,  ,,,2014,52
,,,6,Suriname,,16,,-,544,  ,,,2014,544
,,,6,Curaçao,,16,,-,148,  ,,,2014,148
,,,6,Grenada,,16,,-,110,  ,,,2014,110
0.04,0,0,1,North America,0,16,119,-,322583,  ,0,119,2014,322583
26.48,2.471432368,0.372,5,Latin Caribbean,14,16,316,-,14213,  ,93,3763,2014,25472
62.91,0.705329154,0,6,Non-Latin Caribbean,0,16,824,-,6085,  ,27,3828,2014,19236
105.39,0.11497986,0.068,4,Southern Cone,183,16,109444,-,254174,  ,308,267873,2014,271947
27.48,96.8553594,0.021,2,Central America Ithsmus and Mexico,10,16,8729,-,169677,  ,45153,46619,2014,169677
57.35,1.313635152,0.037,3,Andean Subregion,29,16,23862,-,137381,  ,1035,78789,2014,137381
44.35,11.62519857,0.059,7,The Americas,236,16,143294,-,904113,  ,46616,400991,2014,946296
