Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
195.63,1.53614174,0,3,Bolivia,0,29,1158,28,10848,DEN 4,326,21222,2014,10848
11.54,0,0,6,Virgin Islands (US),0,29,12,29,104,DEN,0,12,2014,104
462.5,0,0,6,Anguilla,0,29,7,29,16,"DEN 1,4",0,74,2014,16
39.56,0,0,6,Antigua and Barbuda,0,29,6,29,91,DEN,0,36,2014,91
3.53,0,0,4,Argentina,0,29,488,29,41803,"DEN 1,4",0,1476,2014,41803
196.4,0,0,6,Aruba,0,29,12,28,111,DEN 1,0,218,2014,111
3.39,0,0,6,Bahamas,0,29,1,20,383,DEN,0,13,2014,383
0,,,6,Bermuda,0,29,0,29,70,  ,0,0,2014,70
242.89,0.121453695,0.074,4,Brazil,361,29,203356,29,202034,"DEN 1,2,3,4",596,490722,2014,202034
39.39,0,0,6,Virgin Islands (UK),0,29,0,4,33,DEN,0,13,2014,33
,,,1,Canada,0,29,0,29,0,  ,0,0,2014,0
32.73,0,0,6,Cayman Islands,0,29,0,28,55,DEN,0,18,2014,55
122.56,2.472903118,0.052,3,Colombia,31,29,25464,29,48930,"DEN 1,2,3,4",1483,59970,2014,48930
100.95,,0,2,Costa Rica,0,29,,29,4938,"DEN 1,2,3",,4985,2014,4938
212.33,0,0,6,Dominica,0,29,9,24,73,DEN 4,0,155,2014,73
37.86,4.666332163,0.778,5,Dominican Republic,31,29,,29,10529,"DEN 1,2,4",186,3986,2014,10529
70.72,0.309652305,0.035,3,Ecuador,4,29,11303,29,15983,"DEN 1,2,3,4",35,11303,2014,15983
344.22,0.518771331,0.009,2,El Salvador,2,29,7429,29,6384,"DEN 1,2,3",114,21975,2014,6384
462.75,0.593220339,0,6,French Guiana,0,29,321,18,255,"DEN 1,2,4",7,1180,2014,255
27.27,0,0,6,Grenada,0,29,1,24,110,DEN,0,30,2014,110
141.88,1.204819277,0,6,Guadeloupe,0,29,601,18,468,"DEN 1,2,4",8,664,2014,468
58.51,1500,0.086,2,Guatemala,8,29,,29,15860,"DEN 1,2,3,4",139200,9280,2014,15860
18.03,0,0,6,Guyana,0,29,4,28,804,DEN 4,0,145,2014,804
128.19,8.441926346,0,2,Honduras,0,29,,29,8261,"DEN 1,2,3",894,10590,2014,8261
4.18,0,0,6,Jamaica,0,29,17,29,2799,DEN,0,117,2014,2799
414.81,0.654761905,0.119,6,Martinique,2,29,586,18,405,"DEN 1,2,4",11,1680,2014,405
33.86,5.401278748,0,2,Mexico,0,29,7591,29,123799,"DEN 1,2,3,4",2264,41916,2014,123799
0,,,6,Montserrat,0,29,0,28,5,  ,0,0,2014,5
230.64,0,0,2,Nicaragua,0,29,1039,29,6169,"DEN 1,2,3,4",0,14228,2014,6169
111.31,0.389016018,0.183,2,Panama,8,29,2260,29,3926,"DEN 1,2,3",17,4370,2014,3926
126.9,0.056954095,0.057,4,Paraguay,5,29,1168,29,6918,"DEN 1,2,4",5,8779,2014,6918
40.68,0.423457974,0.184,3,Peru,23,29,7694,29,30769,"DEN 1,2,3,4",53,12516,2014,30769
85.42,0.06355259,0,5,Puerto Rico,0,29,397,29,3684,"DEN 1,2,4",2,3147,2014,3684
100,0,0,6,Saint Barthelemy,0,29,31,18,35,DEN,0,35,2014,35
13.46,0,0,6,Saint Kitts and Nevis,0,29,0,28,52,DEN,0,7,2014,52
16.56,0,0,6,Saint Lucia,0,29,27,24,163,DEN 4,0,27,2014,163
650,0.384615385,0,6,Saint Martin,0,29,260,18,40,DEN,1,260,2014,40
2.76,0,0,6,Suriname,0,29,4,22,544,DEN 2,0,15,2014,544
3.27,0,0,6,Trinidad and Tobago,0,29,6,23,1344,"DEN 1,4",0,44,2014,1344
79.59,0,0,6,Turks and Caicos Islands,0,29,39,28,49,DEN 1,0,39,2014,49
0.09,0,0,1,United States of America,0,29,277,29,322583,DEN,0,277,2014,322583
0,,,4,Uruguay,0,29,0,29,3419,  ,0,0,2014,3419
103.7,0.350087522,0,3,Venezuela,0,29,70,29,30851,"DEN 1,2,3,4",112,31992,2014,30851
152.76,0.451467269,0,6,Barbados,0,29,101,24,290,DEN 1,2,443,2014,290
546.18,,,2,Belize,,29,116,29,340,DEN,,1857,2014,340
,,,6,"Bonaire, Saint Eustatius and Saba",,29,,-,225,  ,,,2014,225
,,,4,Chile,,29,,-,17773,  ,,,2014,17773
,,,6,Saint Vincent and the Grenadines,,29,,-,103,  ,,,2014,103
,,,6,Haiti,,29,,-,10461,  ,,,2014,10461
,,,5,Cuba,,29,,-,11259,  ,,,2014,11259
,,,6,Curaçao,,29,,-,148,  ,,,2014,148
0.09,0,0,1,North America,0,29,277,-,322583,  ,0,277,2014,322583
50.19,2.635637179,0.435,5,Latin Caribbean,31,29,397,-,14213,  ,188,7133,2014,25472
62.96,0.555023923,0.038,6,Non-Latin Caribbean,2,29,2045,-,8299,  ,29,5225,2014,19236
197.1,0.119965587,0.073,4,Southern Cone,366,29,205012,-,254174,  ,601,500977,2014,271947
64.36,130.4832373,0.016,2,Central America Ithsmus and Mexico,18,29,18435,-,169677,  ,142489,109201,2014,169677
99.72,1.466391247,0.042,3,Andean Subregion,58,29,45689,-,137381,  ,2009,137003,2014,137381
83.83,19.12515662,0.063,7,The Americas,475,29,271855,-,906327,  ,145316,759816,2014,946296
