Incidence Rate (c),(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Deaths,EW,Confirmed,Epidemiological Week (a),Pop (no usar),Serotype,Severe Dengue (d),Total of Dengue Cases (b),Year,Population x 1000
208.61,1.564295183,0,3,Bolivia,0,46,1158,42,10848,DEN 4,354,22630,2014,10848
15.38,0,0,6,Virgin Islands (US),0,46,16,46,104,DEN,0,16,2014,104
531.25,0,0,6,Anguilla,0,46,8,46,16,"DEN 1,4",0,85,2014,16
40.66,0,0,6,Antigua and Barbuda,0,46,17,46,91,"DEN 1,4",0,37,2014,91
3.88,0,0,4,Argentina,0,46,490,46,41803,"DEN 1,4",0,1621,2014,41803
275.68,0,0,6,Aruba,0,46,12,36,111,DEN 1,0,306,2014,111
35.51,0,0,6,Bahamas,0,46,11,40,383,"DEN 1,2",0,136,2014,383
595.86,0.115740741,0,6,Barbados,0,46,299,40,290,DEN 1,2,1728,2014,290
0,,,6,Bermuda,0,46,0,46,70,  ,0,0,2014,70
281.36,0.119800298,0.071,4,Brazil,406,46,218337,46,202034,"DEN 1,2,3,4",681,568446,2014,202034
621.21,0,0,6,Virgin Islands (UK),0,46,59,44,33,DEN,0,205,2014,33
,,,1,Canada,0,46,0,46,0,  ,0,0,2014,0
190.91,0,0,6,Cayman Islands,0,46,4,44,55,"DEN 1,3",0,105,2014,55
0.14,0,0,4,Chile,0,46,25,42,17773,DEN,0,25,2014,17773
196.39,2.538113325,0.08,3,Colombia,77,46,41968,46,48930,"DEN 1,2,3,4",2439,96095,2014,48930
198.95,,0,2,Costa Rica,0,46,,46,4938,"DEN 1,2,3",,9824,2014,4938
131.08,0,0,6,Curaçao,0,46,20,36,148,DEN,0,194,2014,148
217.81,0,0,6,Dominica,0,46,9,32,73,DEN 4,0,159,2014,73
53.6,6.201275691,0.904,5,Dominican Republic,51,46,,46,10529,"DEN 1,2,4",350,5644,2014,10529
92.94,0.42409963,0.061,3,Ecuador,9,46,14855,46,15983,"DEN 1,2,3,4",63,14855,2014,15983
810.79,0.343888256,0.01,2,El Salvador,5,46,15798,46,6384,"DEN 1,2,3",178,51761,2014,6384
462.75,0.593220339,0,6,French Guiana,0,46,321,18,255,"DEN 1,2,4",7,1180,2014,255
34.55,0,0,6,Grenada,0,46,1,32,110,DEN,0,38,2014,110
141.88,1.204819277,0,6,Guadeloupe,0,46,601,18,468,"DEN 1,2,4",8,664,2014,468
92.81,2350,0.068,2,Guatemala,10,46,,46,15860,"DEN 1,2,3,4",345920,14720,2014,15860
102.24,0,0,6,Guyana,0,46,822,36,804,DEN 4,0,822,2014,804
438.66,5.739831117,0.014,2,Honduras,5,46,,46,8261,"DEN 1,2,3",2080,36238,2014,8261
27.22,0,0,6,Jamaica,0,46,72,46,2799,DEN,0,762,2014,2799
414.81,0.654761905,0.119,6,Martinique,2,46,710,43,405,"DEN 1,2,4",11,1680,2014,405
89.12,6.60485099,0.03,2,Mexico,33,46,26853,46,123799,"DEN 1,2,3,4",7287,110328,2014,123799
140,0,0,6,Montserrat,0,46,0,32,5,DEN,0,7,2014,5
480.89,0,0,2,Nicaragua,0,46,1760,46,6169,"DEN 1,2,3,4",0,29666,2014,6169
124.99,0.387201956,0.183,2,Panama,9,46,2601,46,3926,"DEN 1,2,3",19,4907,2014,3926
131.06,0.055145031,0.055,4,Paraguay,5,46,2254,46,6918,"DEN 1,2,4",5,9067,2014,6918
54.65,0.487659828,0.167,3,Peru,28,46,10019,46,30769,"DEN 1,2,3,4",82,16815,2014,30769
202.01,0.026874496,0,5,Puerto Rico,0,46,465,46,3684,"DEN 1,2,4",2,7442,2014,3684
142.86,0,0,6,Saint Barthelemy,0,46,50,43,35,DEN,0,50,2014,35
119.23,0,0,6,Saint Kitts and Nevis,0,46,6,32,52,DEN,0,62,2014,52
68.71,0,0,6,Saint Lucia,0,46,69,43,163,DEN 4,0,112,2014,163
990,0.252525253,0,6,Saint Martin,0,46,396,43,40,DEN,1,396,2014,40
113.59,0,0,6,Saint Vincent and the Grenadines,0,46,8,46,103,DEN,0,117,2014,103
3.49,0,0,6,Suriname,0,46,4,44,544,DEN 2,0,19,2014,544
9.52,0,0,6,Trinidad and Tobago,0,46,16,44,1344,"DEN 1,4",0,128,2014,1344
97.96,0,0,6,Turks and Caicos Islands,0,46,48,32,49,DEN 1,0,48,2014,49
0.19,0,0,1,United States of America,0,46,600,46,322583,DEN,0,600,2014,322583
0,,,4,Uruguay,0,46,0,46,3419,  ,0,0,2014,3419
243.17,0.249266862,0,3,Venezuela,0,46,70,44,30851,"DEN 1,2,3,4",187,75020,2014,30851
"1,310.59",,,2,Belize,,46,360,46,340,DEN,,4456,2014,340
,,,6,"Bonaire, Saint Eustatius and Saba",,46,,-,225,  ,,,2014,225
,,,6,Haiti,,46,,-,10461,  ,,,2014,10461
,,,5,Cuba,,46,,-,11259,  ,,,2014,11259
0.19,0,0,1,North America,0,46,600,-,322583,  ,0,600,2014,322583
92.07,2.6898976,0.39,5,Latin Caribbean,51,46,465,-,14213,  ,352,13086,2014,25472
105.92,0.320229682,0.022,6,Non-Latin Caribbean,2,46,3579,-,8550,  ,29,9056,2014,19236
212.97,0.118447611,0.071,4,Southern Cone,411,46,221106,-,271947,  ,686,579159,2014,271947
154.35,135.7327224,0.024,2,Central America Ithsmus and Mexico,62,46,47372,-,169677,  ,355484,261900,2014,169677
164.08,1.386331877,0.051,3,Andean Subregion,114,46,68070,-,137381,  ,3125,225415,2014,137381
117.84,33.02154945,0.059,7,The Americas,640,46,341192,-,924351,  ,359676,1089216,2014,946296
