YEAR,WEEK,5,11,17,18,25,27,54,68,73
2015,1,0,1,0,0,0,0,0,0,0
2015,2,0,1,0,0,0,0,0,1,0
2015,3,0,5,0,1,0,0,0,1,2
2015,5,0,0,0,0,0,1,1,0,0
2015,7,0,1,0,0,0,0,0,0,2
2015,8,0,3,0,0,0,0,0,1,1
2015,9,2,0,0,0,0,0,0,0,0
2015,10,0,1,0,0,0,0,0,0,0
2015,11,8,0,0,0,0,0,0,0,1
2015,12,0,2,0,0,0,0,0,0,0
2015,13,1,1,0,0,0,0,0,0,0
2015,14,2,1,0,4,0,0,0,0,1
2015,15,0,3,1,0,0,0,0,0,0
2015,16,0,1,0,0,0,0,0,2,0
2015,18,0,0,0,1,0,0,0,0,0
2015,19,1,0,0,0,0,0,0,2,0
2015,20,0,1,0,1,0,0,0,0,0
2015,21,0,0,0,0,1,0,0,0,0
2015,24,0,0,0,0,0,0,0,2,0
2015,27,0,0,1,0,0,0,0,0,0
2015,28,0,1,0,0,0,0,0,0,0
2015,29,0,0,0,0,0,0,0,0,1
2015,30,9,0,0,1,0,0,0,0,0
2015,31,6,0,0,0,0,0,0,1,0
2015,32,6,0,0,0,0,0,0,0,0
2015,33,2,0,0,0,0,0,0,0,14
2015,34,0,1,0,0,0,0,0,1,0
2015,35,1,0,0,0,0,0,0,0,0
2015,36,0,0,0,0,0,0,0,2,0
2015,37,0,0,0,0,0,0,0,1,0
2015,38,0,0,0,0,0,0,0,0,1
2015,39,2,0,0,0,0,0,0,0,1
2015,40,0,0,0,1,0,0,0,0,0
2015,41,0,0,0,0,0,0,0,0,1
2015,43,1,0,0,0,0,0,0,0,1
2015,44,5,0,0,0,0,0,0,0,0
2015,45,17,0,0,0,0,0,0,0,0
2015,46,10,0,0,0,0,0,0,0,1
2015,47,11,0,0,0,0,0,0,0,1
2015,48,0,0,0,0,1,0,0,0,0
2015,49,1,0,0,0,0,0,0,0,0
2015,50,3,0,0,0,0,0,0,0,0
2015,51,5,0,0,0,0,0,0,0,0
2015,52,0,0,0,0,0,0,0,0,3
