YEAR,WEEK,5,8,9,11,13,14,15,17,18,19,20,23,25,27,41,44,47,48,50,52,54,63,66,68,70,73,76,81,85,86,88,91,94,95,99
2015,1,719,401,484,509,7,67,7,1021,4,0,71,1329,753,0,2083,518,274,377,7,1,1457,1,0,66,1413,839,317,31,7,1,29,11,0,0,0
2015,2,432,240,728,452,46,26,3,102,6,2,92,1705,1524,0,3258,461,106,382,5,0,1032,1,1,110,1007,2694,288,25,10,2,110,0,0,0,0
2015,3,637,313,465,122,63,49,9,201,9,1,118,1740,1009,0,3594,1307,411,268,7,1,785,3,2,178,908,2249,444,43,63,2,15,0,0,0,0
2015,4,991,61,293,79,3,23,9,167,13,1,309,1827,1323,0,2402,760,240,115,4,0,525,0,0,155,697,2265,904,320,131,1,10,0,0,0,0
2015,5,748,67,357,187,85,4,2,132,12,0,907,1145,1440,0,2113,421,159,69,233,3,372,1,0,185,433,2254,830,168,122,0,29,0,0,0,0
2015,6,887,49,313,167,9,61,0,96,14,8,188,1091,843,0,1624,276,90,112,272,2,269,0,1,146,346,3450,1648,203,311,0,229,0,0,0,0
2015,7,465,82,204,128,2,18,3,49,5,154,146,722,581,0,1514,128,84,43,274,1,228,0,10,158,221,2677,1892,232,349,2,2,0,0,0,0
2015,8,716,78,210,174,0,11,3,78,92,114,109,454,832,0,1143,91,115,30,276,6,185,3,7,194,142,2574,2337,231,399,5,38,0,0,0,0
2015,9,780,73,252,132,3,3,3,46,127,167,92,328,284,23,1023,31,50,5,595,38,137,0,28,223,131,2179,4613,224,558,1,9,0,0,0,0
2015,10,798,23,112,106,2,6,10,30,147,145,83,277,702,14,865,20,29,3,724,39,89,0,36,172,363,1798,3867,235,579,2,14,0,0,1,0
2015,11,390,55,102,106,0,4,1,39,186,174,65,274,384,5,828,9,6,9,692,143,55,0,61,196,197,1249,4745,248,600,7,21,0,0,0,0
2015,12,390,35,78,141,4,3,54,44,237,165,60,154,388,4,617,23,3,0,776,333,50,0,54,167,93,882,4724,207,533,3,6,0,0,6,0
2015,13,260,17,52,93,0,4,8,32,299,139,75,67,191,0,422,148,5,2,522,117,38,0,40,245,44,614,3193,138,381,5,1,0,0,25,0
2015,14,292,30,63,336,1,13,0,24,541,150,97,113,352,9,547,34,8,2,836,207,59,3,40,274,41,910,5026,150,519,10,4,0,0,51,0
2015,15,260,31,64,304,0,2,37,49,651,143,173,75,322,10,436,15,6,1,965,224,51,4,46,334,14,665,4785,156,470,14,4,0,0,61,0
2015,16,276,26,61,102,0,3,14,59,518,121,166,39,257,13,359,8,4,2,812,286,32,1,47,281,37,683,5110,149,583,10,6,0,0,96,5
2015,17,277,57,37,59,1,0,12,121,442,123,133,43,181,11,292,6,3,1,661,227,37,4,47,251,213,608,6821,194,631,9,5,0,0,87,6
2015,18,348,22,69,103,11,6,14,11,347,122,77,29,171,8,356,8,4,3,661,105,46,0,67,295,22,622,6652,205,639,9,2,0,0,110,18
2015,19,242,51,35,63,2,3,7,37,324,114,15,33,223,67,315,2,5,3,1167,76,34,42,142,309,14,544,5224,190,839,7,6,0,0,90,3
2015,20,211,5,46,67,1,3,5,20,301,146,21,22,225,13,318,3,5,1,964,54,22,57,185,311,4,610,5259,163,533,6,4,0,0,75,2
2015,21,216,4,50,31,1,1,13,10,259,60,32,57,158,9,328,0,2,0,1106,35,13,78,179,372,40,444,4960,211,652,9,12,0,0,82,0
2015,22,205,2,54,15,7,0,16,5,258,133,61,30,148,15,239,1,2,0,989,28,12,96,197,295,18,460,4047,240,569,6,3,0,3,122,2
2015,23,152,2,42,11,2,0,25,16,129,128,89,34,131,5,143,0,1,0,390,56,22,62,111,298,15,317,3426,198,709,14,5,0,1,109,3
2015,24,134,6,10,9,2,0,11,16,104,143,49,28,81,4,198,0,59,0,374,18,25,156,344,259,31,434,3695,182,552,7,7,0,0,103,1
2015,25,103,15,83,9,2,1,4,14,128,99,19,27,68,7,120,12,56,0,442,16,18,351,449,352,10,249,3297,154,558,1,2,0,0,89,1
2015,26,141,5,53,10,4,0,4,11,225,52,27,40,68,20,88,3,34,0,333,7,10,318,246,278,12,184,2764,126,345,13,5,0,0,55,0
2015,27,139,1,34,12,1,0,11,5,112,67,19,21,88,0,140,1,74,0,393,6,11,428,293,303,10,186,2733,88,421,19,0,0,0,73,1
2015,28,165,2,50,18,1,0,5,18,69,35,10,14,35,0,98,1,42,4,400,13,11,291,207,264,18,142,2039,75,312,14,11,0,0,38,2
2015,29,157,14,46,20,2,0,7,4,70,37,7,7,52,49,46,0,12,0,318,1,9,278,166,248,22,138,2869,42,150,13,11,0,0,40,1
2015,30,140,1,58,7,5,0,5,17,50,73,13,22,55,46,90,0,9,1,182,2,6,300,166,289,12,250,1588,67,145,4,50,0,0,46,4
2015,31,101,7,65,2,0,0,4,2,34,27,1,14,46,20,106,0,4,1,168,0,6,189,75,180,14,182,1056,34,101,7,34,0,0,29,1
2015,32,118,6,61,2,1,0,5,24,52,34,2,7,27,6,75,0,6,0,111,1,6,163,82,223,11,126,856,42,142,1,205,0,0,33,2
2015,33,51,0,41,2,0,0,17,14,60,23,1,9,71,8,61,0,9,0,78,0,7,122,88,192,6,150,750,30,69,2,37,0,0,36,4
2015,34,84,1,63,3,0,0,13,13,48,17,3,15,62,49,83,0,4,0,97,1,4,134,79,210,23,108,618,25,48,3,24,0,0,47,0
2015,35,88,2,52,1,0,0,10,14,40,29,7,9,44,5,50,0,2,2,90,0,4,102,99,231,9,72,422,15,54,1,25,0,0,35,0
